"swapped_idx","alphabet_idx","true_chord","true_ic","true_ent","swapped_chord","swapped_ic","swapped_ent","dist"
117,13,"I",2.39056861652163,4.17913978575021,"-VII",2.40147049604913,4.17913978575021,0.010901879527494
40,6,"II",6.18654576581412,3.68498426105693,"VI",6.17303613662049,3.68498426105693,0.0135096291936341
49,6,"II",6.18654576581412,3.68498426105693,"VI",6.17303613662049,3.68498426105693,0.0135096291936341
54,6,"II",6.18654576581412,3.68498426105693,"VI",6.17303613662049,3.68498426105693,0.0135096291936341
67,6,"II",6.18654576581412,3.68498426105693,"VI",6.17303613662049,3.68498426105693,0.0135096291936341
72,6,"II",6.18654576581412,3.68498426105693,"VI",6.17303613662049,3.68498426105693,0.0135096291936341
85,6,"II",6.18654576581412,3.68498426105693,"VI",6.17303613662049,3.68498426105693,0.0135096291936341
90,6,"II",6.18654576581412,3.68498426105693,"VI",6.17303613662049,3.68498426105693,0.0135096291936341
131,6,"II",6.18654576581412,3.68498426105693,"VI",6.17303613662049,3.68498426105693,0.0135096291936341
136,6,"II",6.18654576581412,3.68498426105693,"VI",6.17303613662049,3.68498426105693,0.0135096291936341
149,6,"II",6.18654576581412,3.68498426105693,"VI",6.17303613662049,3.68498426105693,0.0135096291936341
154,6,"II",6.18654576581412,3.68498426105693,"VI",6.17303613662049,3.68498426105693,0.0135096291936341
8,4,"IV",4.08988785948436,3.76855101419432,"V",4.11217062586668,3.76855101419432,0.0222827663823182
18,4,"IV",3.79661893040251,4.37077716054197,"V",3.81890169678483,4.37077716054197,0.0222827663823182
10,12,"-III",6.87500126122245,3.47809939461297,"i",6.84838955148012,3.47809939461297,0.0266117097423315
175,12,"-III",8.6188559457427,1.40263189331266,"i",8.59224423600037,1.40263189331266,0.0266117097423315
175,18,"-III",8.6188559457427,1.40263189331266,"III",8.64603979339297,1.40263189331266,0.0271838476502708
10,18,"-III",6.87500126122245,3.47809939461297,"III",6.90218510887272,3.47809939461297,0.0271838476502717
122,7,"II",5.46665817560761,4.53044318437456,"iii",5.42066320029801,4.53044318437456,0.045994975309597
122,14,"II",5.46665817560761,4.53044318437456,"-III",5.40559157008615,4.53044318437456,0.0610666055214573
97,10,"I",3.90345142653865,5.12715860417679,"II",3.96688281650148,5.12715860417679,0.0634313899628363
101,10,"I",3.90345142653865,5.12715860417679,"II",3.96688281650148,5.12715860417679,0.0634313899628363
47,7,"II",5.89664729360699,4.5371259470532,"iii",5.9727174806869,4.5371259470532,0.0760701870799103
52,7,"II",5.89664729360699,4.5371259470532,"iii",5.9727174806869,4.5371259470532,0.0760701870799103
65,7,"II",5.89664729360699,4.5371259470532,"iii",5.9727174806869,4.5371259470532,0.0760701870799103
70,7,"II",5.89664729360699,4.5371259470532,"iii",5.9727174806869,4.5371259470532,0.0760701870799103
83,7,"II",5.89664729360699,4.5371259470532,"iii",5.9727174806869,4.5371259470532,0.0760701870799103
88,7,"II",5.89664729360699,4.5371259470532,"iii",5.9727174806869,4.5371259470532,0.0760701870799103
95,7,"II",5.89664729360699,4.5371259470532,"iii",5.9727174806869,4.5371259470532,0.0760701870799103
129,7,"II",5.89664729360699,4.5371259470532,"iii",5.9727174806869,4.5371259470532,0.0760701870799103
134,7,"II",5.89664729360699,4.5371259470532,"iii",5.9727174806869,4.5371259470532,0.0760701870799103
147,7,"II",5.89664729360699,4.5371259470532,"iii",5.9727174806869,4.5371259470532,0.0760701870799103
152,7,"II",5.89664729360699,4.5371259470532,"iii",5.9727174806869,4.5371259470532,0.0760701870799103
9,4,"I",2.4604471021767,4.25185577239742,"V",2.36573886812193,4.25185577239742,0.09470823405477
19,4,"I",2.4604471021767,4.25185577239742,"V",2.36573886812193,4.25185577239742,0.09470823405477
117,15,"I",2.39056861652163,4.17913978575021,"-VI",2.4891842203865,4.17913978575021,0.0986156038648693
