"Comparison","Row","Orig_Symbol","Orig_Order","Orig_IC","Orig_Entropy","Swap_Symbol","Swap_Order","Swap_IC","Swap_Entropy","Distance"
1,25,"IV",8,5.43034308578937,1.81667465918449,"IV",8,5.43034308578937,1.81667465918449,
1,26,"I",8,3.53434831843476,4.22809782936473,"I",8,3.53434831843476,4.22809782936473,
1,27,"IV",6,2.80458851301041,4.75803313069677,"IV",6,2.80458851301041,4.75803313069677,
1,28,"V",7,1.61755821787979,3.99556142853681,"V",7,1.61755821787979,3.99556142853681,
1,29,"vi",8,5.00317244631449,3.98665665511297,"vi",8,5.00317244631449,3.98665665511297,
1,30,"V",5,3.56084564584862,4.62415993049535,"-VII",5,3.61533358311318,4.62415993049535,0.0544879372645659
1,31,"V",5,4.75817228294242,4.25100493555336,"V",4,4.5600891627967,3.89587024016731,
1,32,"I",4,3.7236621272754,4.77602615862619,"I",3,5.23584749846093,2.20202488159753,
1,33,"IV",4,4.25943130127649,5.04351782407719,"IV",3,4.56797450495743,5.33259853749784,
1,34,"V",5,3.60315854058383,4.33393917572086,"V",4,4.32547941317847,4.74468710903633,
1,35,"I",5,2.31569312018291,4.51095958483348,"I",4,3.07782927340321,4.98224393104847,
,,,,,,,,,,
2,56,"IV",8,5.43034308578937,1.81667465918449,"IV",8,5.43034308578937,1.81667465918449,
2,57,"I",8,3.53434831843476,4.22809782936473,"I",8,3.53434831843476,4.22809782936473,
2,58,"IV",6,2.80458851301041,4.75803313069677,"IV",6,2.80458851301041,4.75803313069677,
2,59,"V",7,1.61755821787979,3.99556142853681,"V",7,1.61755821787979,3.99556142853681,
2,60,"vi",8,5.00317244631449,3.98665665511297,"vi",8,5.00317244631449,3.98665665511297,
2,61,"V",5,3.56084564584862,4.62415993049535,"-VII",5,3.61533358311318,4.62415993049535,0.0544879372645659
2,62,"V",5,4.75817228294242,4.25100493555336,"V",4,4.5600891627967,3.89587024016731,
2,63,"I",4,3.7236621272754,4.77602615862619,"I",3,5.23584749846093,2.20202488159753,
2,64,"IV",4,4.25943130127649,5.04351782407719,"IV",3,4.56797450495743,5.33259853749784,
2,65,"V",5,3.60315854058383,4.33393917572086,"V",4,4.32547941317847,4.74468710903633,
2,66,"I",5,2.31569312018291,4.51095958483348,"I",4,3.07782927340321,4.98224393104847,
,,,,,,,,,,
3,29,"vi",8,5.00317244631449,3.98665665511297,"vi",8,5.00317244631449,3.98665665511297,
3,30,"V",5,3.56084564584862,4.62415993049535,"V",5,3.56084564584862,4.62415993049535,
3,31,"V",5,4.75817228294242,4.25100493555336,"V",5,4.75817228294242,4.25100493555336,
3,32,"I",4,3.7236621272754,4.77602615862619,"I",4,3.7236621272754,4.77602615862619,
3,33,"IV",4,4.25943130127649,5.04351782407719,"IV",4,4.25943130127649,5.04351782407719,
3,34,"V",5,3.60315854058383,4.33393917572086,"IV",5,3.6675043993863,4.33393917572086,0.0643458588024748
3,35,"I",5,2.31569312018291,4.51095958483348,"I",5,2.823587717358,4.77204234473582,
3,36,"IV",6,2.89083311847834,4.81115782726749,"IV",6,4.10305644489292,4.29661508876061,
3,37,"V",7,1.05863932717595,3.26995220526323,"V",6,3.39344848739327,4.10726961452651,
3,38,"I",8,1.57581496216554,3.98415314529162,"I",6,2.7613533148551,4.80082277271257,
3,39,"IV",9,2.36603766536567,4.7942719063777,"IV",7,1.96571481404861,4.48791110203231,
,,,,,,,,,,
4,60,"vi",8,5.00317244631449,3.98665665511297,"vi",8,5.00317244631449,3.98665665511297,
4,61,"V",5,3.56084564584862,4.62415993049535,"V",5,3.56084564584862,4.62415993049535,
4,62,"V",5,4.75817228294242,4.25100493555336,"V",5,4.75817228294242,4.25100493555336,
4,63,"I",4,3.7236621272754,4.77602615862619,"I",4,3.7236621272754,4.77602615862619,
4,64,"IV",4,4.25943130127649,5.04351782407719,"IV",4,4.25943130127649,5.04351782407719,
4,65,"V",5,3.60315854058383,4.33393917572086,"IV",5,3.6675043993863,4.33393917572086,0.0643458588024748
4,66,"I",5,2.31569312018291,4.51095958483348,"I",5,2.823587717358,4.77204234473582,
4,67,"IV",6,2.89083311847834,4.81115782726749,"IV",6,4.10305644489292,4.29661508876061,
4,68,"V",7,1.05863932717595,3.26995220526323,"V",6,3.39344848739327,4.10726961452651,
4,69,"I",8,1.57581496216554,3.98415314529162,"I",6,2.7613533148551,4.80082277271257,
4,70,"IV",9,2.36603766536567,4.7942719063777,"IV",7,1.96571481404861,4.48791110203231,
,,,,,,,,,,
