"Row","Symbol","Order","Information_content","Entropy"
1,"r",0,2.53054875818109,5.47628334935551
2,"V",1,4.58769826412004,4.04468961505837
3,"VII",2,7.07522633479289,4.44598505506519
4,"ii",2,6.8610712627006,4.8171461576715
5,"ii",1,4.71355348006459,5.44875072027528
6,"ii",2,4.05412039975358,5.31885789317785
7,"V",3,3.28324153980829,5.0937812015268
8,"V",4,2.92211511532862,4.92077835140355
9,"V",5,1.57357322609392,3.89220746164457
10,"I",6,1.64936886402758,4.0655819905289
11,"I",7,2.41358890633192,4.63296600407614
12,"ii",8,5.11624242444818,4.79298245857197
13,"V",6,2.1556793786119,4.39135645847543
14,"I",7,2.34114981038684,3.99221072000318
15,"I",7,2.20740086118263,4.57524802381476
16,"ii",8,1.22810380382178,3.51933862509733
17,"V",9,1.0748153906009,3.30169526537046
18,"I",10,1.78265687306869,4.02636519080432
19,"I",10,1.69553564535288,4.27857414345035
20,"I",10,3.28500537773622,3.39000516874446
21,"I",9,2.24442815112229,3.96015002168087
22,"ii",9,1.86042237168989,4.12518312885588
23,"V",8,1.20844243390595,3.40447965607038
24,"I",10,2.03458601896546,4.14089102310223
25,"vi",9,3.68370798821669,3.99829003940352
26,"ii",6,1.20257437141716,3.65736767921486
27,"IV",6,5.80536141947376,2.2352800389083
28,"ii",4,5.08827169403493,4.32232005386275
29,"V",3,2.50388668142981,4.62861991357615
30,"V",4,4.24823487938519,4.70180595890278
31,"ii",4,4.76166303976102,3.93807967985754
32,"V",4,2.23088064889641,4.55455188842196
33,"I",5,2.66801378418867,4.8171542139058
34,"I",6,2.8787334983934,5.09797761550256
35,"IV",7,4.0929545896533,4.4496515689636
36,"V",6,2.80886227882505,4.87756898182955
37,"I",7,2.12878422467886,3.89830451198475
38,"I",7,3.19780326938908,4.91218122083444
39,"I",8,3.49843338200217,4.72901657039416
40,"I",8,2.00245516191801,4.23971981948321
41,"ii",9,3.62242642515612,4.67203334373979
42,"V",8,2.76520156719906,3.53854927110264
43,"I",8,1.74043282421633,4.19195430245694
44,"vi",9,3.68370798821669,4.02716084377445
45,"ii",6,1.20257437141716,3.65736767921486
46,"IV",6,5.80536141947376,2.2352800389083
47,"ii",4,5.08827169403493,4.32232005386275
48,"V",3,2.50388668142981,4.62861991357615
49,"V",4,4.24823487938519,4.70180595890278
50,"ii",4,4.76166303976102,3.93807967985754
51,"V",4,2.23088064889641,4.55455188842196
52,"iii",5,5.04885063817256,4.8171542139058
53,"VI",4,5.82599449620276,3.6273842411467
54,"ii",3,3.32590520891632,4.94369890048426
55,"V",4,1.83719108406536,4.10506645139673
56,"I",5,2.06973568936073,3.76256265547916
57,"VI",5,5.58777194098669,5.04259918363667
58,"ii",5,2.28698954261248,4.04655307269353
59,"V",4,0.146659780344733,0.932097440938199
60,"iii",7,5.81504409655989,4.33987984941883
61,"VI",3,5.59387603389287,4.05140126139475
62,"ii",3,3.32590520891632,4.94369890048426
63,"V",4,1.83719108406536,4.10506645139673
64,"I",5,2.06973568936073,3.76256265547916
65,"I",5,3.21395870062292,5.04259918363667
66,"ii",6,3.9800257286335,4.75631252948562
67,"V",6,2.66572059086972,4.1620932212124
68,"I",6,2.31991614824198,4.42257593302443
69,"I",7,2.00066951799453,4.43827143849199
70,"ii",8,2.03089202407924,4.21248420424942
71,"V",9,1.65116782730385,3.8918150108194
72,"I",10,1.742772161963,3.85035771930343
73,"I",10,1.69553564535288,4.27857414345035
74,"I",10,3.28500537773622,3.39000516874446
75,"I",9,2.24442815112229,3.96015002168087
76,"ii",9,1.86042237168989,4.12518312885588
77,"V",8,1.20844243390595,3.40447965607038
78,"I",10,2.03458601896546,4.14089102310223
79,"vi",9,3.68370798821669,3.99829003940352
80,"ii",6,1.20257437141716,3.65736767921486
81,"IV",6,5.80536141947376,2.2352800389083
82,"ii",4,5.08827169403493,4.32232005386275
83,"V",3,2.50388668142981,4.62861991357615
84,"V",4,4.24823487938519,4.70180595890278
85,"ii",4,4.76166303976102,3.93807967985754
86,"V",4,2.23088064889641,4.55455188842196
87,"iii",5,5.04885063817256,4.8171542139058
88,"VI",4,5.82599449620276,3.6273842411467
89,"ii",3,3.32590520891632,4.94369890048426
90,"V",4,1.83719108406536,4.10506645139673
91,"I",5,2.06973568936073,3.76256265547916
92,"VI",5,5.58777194098669,5.04259918363667
93,"ii",5,2.28698954261248,4.04655307269353
94,"V",4,0.146659780344733,0.932097440938199
95,"iii",7,5.81504409655989,4.33987984941883
96,"VI",3,5.59387603389287,4.05140126139475
97,"ii",3,3.32590520891632,4.94369890048426
98,"V",4,1.83719108406536,4.10506645139673
99,"I",5,2.06973568936073,3.76256265547916
100,"I",5,3.21395870062292,5.04259918363667
101,"ii",6,3.9800257286335,4.75631252948562
102,"V",6,2.66572059086972,4.1620932212124
103,"I",6,2.31991614824198,4.42257593302443
104,"vi",7,4.90431827535047,4.43827143849199
105,"ii",6,1.57466473080846,4.05678871315911
106,"IV",6,5.80536141947376,2.2352800389083
107,"ii",4,5.08827169403493,4.32232005386275
108,"V",3,2.50388668142981,4.62861991357615
109,"V",4,4.24823487938519,4.70180595890278
110,"ii",4,4.76166303976102,3.93807967985754
111,"V",4,2.23088064889641,4.55455188842196
112,"iii",5,5.04885063817256,4.8171542139058
113,"VI",4,5.82599449620276,3.6273842411467
114,"ii",3,3.32590520891632,4.94369890048426
115,"V",4,1.83719108406536,4.10506645139673
116,"I",5,2.06973568936073,3.76256265547916
117,"VI",5,5.58777194098669,5.04259918363667
118,"ii",5,2.28698954261248,4.04655307269353
119,"V",4,0.146659780344733,0.932097440938199
120,"iii",7,5.81504409655989,4.33987984941883
121,"VI",3,5.59387603389287,4.05140126139475
122,"ii",3,3.32590520891632,4.94369890048426
123,"V",4,1.83719108406536,4.10506645139673
124,"I",5,2.06973568936073,3.76256265547916
125,"VI",5,5.58777194098669,5.04259918363667
