"Row","Symbol","Order","Information_content","Entropy"
1,"r",0,2.53085509538171,5.47634857876957
2,"IV",1,4.80290618807671,4.04465863263071
3,"V",2,4.20599210136605,5.18542835453721
4,"-III",3,6.12167253490288,4.45141733952999
5,"ii",3,6.19107078118988,4.69516703948572
6,"IV",2,4.48207568315838,5.30894418976129
7,"V",3,2.45309286721932,4.5196305748578
8,"-III",4,6.45175200647281,4.02714858371539
9,"ii",3,6.19107078118988,4.69516703948572
10,"IV",2,4.48207568315838,5.30894418976129
11,"V",3,2.45309286721932,4.5196305748578
12,"IV",4,5.07885499814172,4.02714858371539
13,"V",4,2.58363947318797,4.6828138945767
14,"IV",5,2.96281250064618,4.74564235085062
15,"V",6,1.58133504861835,4.01074634027541
16,"IV",7,2.85237835966502,4.33054413461692
17,"V",7,1.82260372168027,4.11468690460982
18,"IV",8,1.91706469787596,4.06571795810021
19,"V",9,1.60129529178441,3.66422634961205
20,"IV",10,1.37969181720713,3.66751398729223
21,"V",10,0.97206666007764,2.93005856240338
22,"IV",10,1.37969181720713,3.66751398729223
23,"iii",10,5.13566450676214,2.93005856240338
24,"ii",5,2.34883744448054,3.79142103688266
25,"V",5,2.01399807007558,3.72897582630256
26,"IV",6,3.9821796486721,4.58902172594977
27,"V",5,2.53048993504149,4.48152633113705
28,"IV",5,3.52821785050155,3.85606493390348
29,"V",5,2.08475949426925,4.37202897269765
30,"IV",6,2.20768223987386,4.53450844979841
31,"V",7,1.69464271028336,3.88276786573942
32,"IV",8,1.78149830960648,4.13712192959686
33,"V",9,2.23765762606278,3.91283891358544
34,"IV",9,1.98394823825828,4.1551256755226
35,"V",10,0.97206666007764,2.93005856240338
36,"IV",10,1.37969181720713,3.66751398729223
37,"V",10,0.97206666007764,2.93005856240338
38,"IV",10,1.37969181720713,3.66751398729223
39,"iii",10,5.13566450676214,2.93005856240338
40,"ii",5,2.34883744448054,3.79142103688266
41,"V",5,2.01399807007558,3.72897582630256
42,"IV",6,3.9821796486721,4.58902172594977
43,"V",5,2.53048993504149,4.48152633113705
44,"I",5,3.6592404780016,3.85606493390348
45,"I",5,3.44054143830182,5.06239636205793
46,"I",6,3.54193354295205,4.65642613381533
47,"I",6,2.29970661703448,4.5126983804905
48,"IV",7,2.8444096363611,4.63304749385736
49,"iii",8,5.38491036026807,4.04246655491447
50,"ii",6,2.53103388611932,4.611090030064
51,"vi",5,5.77720855193875,3.44053542646073
52,"IV",4,1.68213271231267,4.40740207247283
53,"V",4,4.36580980105158,3.418721065615
54,"I",4,2.60337286453283,4.82063455509336
55,"I",5,3.98686162772711,4.88394654061633
56,"I",5,3.34037128119197,4.97034168591211
57,"I",6,2.45959556461747,4.65608358836378
58,"IV",7,3.11567852641278,4.69780162642864
59,"iii",8,5.34480422343001,4.17733782791462
60,"ii",6,2.53103388611932,4.611090030064
61,"V",5,3.4645044498308,3.44053542646073
62,"IV",5,3.21843094738607,4.33617326341474
63,"V",6,1.59480277988629,4.00361255804134
64,"IV",5,3.52821785050155,3.85606493390348
65,"V",5,2.08475949426925,4.37202897269765
66,"IV",6,2.20768223987386,4.53450844979841
67,"V",7,1.69464271028336,3.88276786573942
68,"IV",8,1.78149830960648,4.13712192959686
69,"V",9,2.23765762606278,3.91283891358544
70,"IV",9,1.98394823825828,4.1551256755226
71,"V",10,0.97206666007764,2.93005856240338
72,"IV",10,1.37969181720713,3.66751398729223
73,"V",10,0.97206666007764,2.93005856240338
74,"IV",10,1.37969181720713,3.66751398729223
75,"iii",10,5.13566450676214,2.93005856240338
76,"ii",5,2.34883744448054,3.79142103688266
77,"V",5,2.01399807007558,3.72897582630256
78,"IV",6,3.9821796486721,4.58902172594977
79,"V",5,2.53048993504149,4.48152633113705
80,"I",5,3.6592404780016,3.85606493390348
81,"I",5,3.44054143830182,5.06239636205793
82,"I",6,3.54193354295205,4.65642613381533
83,"I",6,2.29970661703448,4.5126983804905
84,"IV",7,2.8444096363611,4.63304749385736
85,"iii",8,5.38491036026807,4.04246655491447
86,"ii",6,2.53103388611932,4.611090030064
87,"vi",5,5.77720855193875,3.44053542646073
88,"IV",4,1.68213271231267,4.40740207247283
89,"V",4,4.36580980105158,3.418721065615
90,"I",4,2.60337286453283,4.82063455509336
91,"I",5,3.98686162772711,4.88394654061633
92,"I",5,3.34037128119197,4.97034168591211
93,"I",6,2.45959556461747,4.65608358836378
94,"IV",7,3.11567852641278,4.69780162642864
95,"iii",8,5.34480422343001,4.17733782791462
96,"ii",6,2.53103388611932,4.611090030064
97,"vi",5,5.77720855193875,3.44053542646073
98,"ii",4,4.99136518402387,4.40740207247283
99,"vi",3,2.81309127610123,4.94191179218237
100,"ii",4,1.41408135693926,3.89196478762454
101,"vi",5,2.00014119885694,4.39235133409572
102,"ii",6,1.41408135693926,3.89196478762454
103,"V",7,4.78483853345402,4.50860617225609
104,"IV",3,4.39599433383475,5.2308453281545
105,"V",4,3.30616547264182,4.14664322064636
106,"-III",4,6.18356312152418,4.80277448278026
107,"ii",3,6.19107078118988,4.69516703948572
108,"IV",2,4.48207568315838,5.30894418976129
109,"V",3,2.45309286721932,4.5196305748578
110,"-III",4,6.45175200647281,4.02714858371539
111,"ii",3,6.19107078118988,4.69516703948572
112,"IV",2,4.48207568315838,5.30894418976129
113,"V",3,2.45309286721932,4.5196305748578
114,"IV",4,5.07885499814172,4.02714858371539
115,"V",4,2.58363947318797,4.6828138945767
116,"IV",5,2.96281250064618,4.74564235085062
117,"V",6,1.58133504861835,4.01074634027541
118,"IV",7,2.85237835966502,4.33054413461692
119,"V",7,1.82260372168027,4.11468690460982
120,"IV",8,1.91706469787596,4.06571795810021
121,"V",9,1.60129529178441,3.66422634961205
122,"IV",10,1.37969181720713,3.66751398729223
123,"V",10,0.97206666007764,2.93005856240338
124,"IV",10,1.37969181720713,3.66751398729223
125,"iii",10,5.13566450676214,2.93005856240338
126,"ii",5,2.34883744448054,3.79142103688266
127,"V",5,2.01399807007558,3.72897582630256
128,"IV",6,3.9821796486721,4.58902172594977
129,"V",5,2.53048993504149,4.48152633113705
130,"I",5,3.6592404780016,3.85606493390348
131,"I",5,3.44054143830182,5.06239636205793
132,"I",6,3.54193354295205,4.65642613381533
133,"I",6,2.29970661703448,4.5126983804905
134,"IV",7,2.8444096363611,4.63304749385736
135,"iii",8,5.38491036026807,4.04246655491447
136,"ii",6,2.53103388611932,4.611090030064
137,"vi",5,5.77720855193875,3.44053542646073
138,"IV",4,1.68213271231267,4.40740207247283
139,"V",4,4.36580980105158,3.418721065615
140,"I",4,2.60337286453283,4.82063455509336
141,"I",5,3.98686162772711,4.88394654061633
142,"I",5,3.34037128119197,4.97034168591211
