"Comparison","Row","Orig_Symbol","Orig_Order","Orig_IC","Orig_Entropy","Swap_Symbol","Swap_Order","Swap_IC","Swap_Entropy","Distance"
1,67,"-III",5,5.46244089748328,4.35795974633417,"-III",5,5.46244089748328,4.35795974633417,
1,68,"-III",3,2.86217351303465,4.96393148226873,"-III",3,2.86217351303465,4.96393148226873,
1,69,"-III",4,4.20217648755535,4.99261444051492,"-III",4,4.20217648755535,4.99261444051492,
1,70,"IV",4,4.73539003273904,5.12787943816971,"IV",4,4.73539003273904,5.12787943816971,
1,71,"IV",4,3.59894775383248,4.19653365890195,"IV",4,3.59894775383248,4.19653365890195,
1,72,"IV",4,4.87087564358717,4.94075668695314,"i",4,4.86644453171093,4.94075668695314,0.00443111187623213
1,73,"V",3,4.29253322806359,5.23891922323392,"V",4,5.75140251094135,4.90463767547404,
1,74,"V",4,2.77602739356765,4.68123165321395,"V",3,4.48878586000839,4.76438088878868,
1,75,"V",5,2.75501090413978,4.6884588767178,"V",3,3.40408049950243,5.1440335125057,
1,76,"V",6,0.820419874335325,3.09210835719606,"V",4,3.82706001870047,4.94675385830648,
1,77,"I",7,3.03967828055813,4.82711795874628,"I",4,3.56672544057226,5.11393196853227,
,,,,,,,,,,
2,67,"-III",5,5.46244089748328,4.35795974633417,"-III",5,5.46244089748328,4.35795974633417,
2,68,"-III",3,2.86217351303465,4.96393148226873,"-III",3,2.86217351303465,4.96393148226873,
2,69,"-III",4,4.20217648755535,4.99261444051492,"-III",4,4.20217648755535,4.99261444051492,
2,70,"IV",4,4.73539003273904,5.12787943816971,"IV",4,4.73539003273904,5.12787943816971,
2,71,"IV",4,3.59894775383248,4.19653365890195,"IV",4,3.59894775383248,4.19653365890195,
2,72,"IV",4,4.87087564358717,4.94075668695314,"iv",4,4.87791952389806,4.94075668695314,0.00704388031089831
2,73,"V",3,4.29253322806359,5.23891922323392,"V",4,5.24203949910094,4.94807396975586,
2,74,"V",4,2.77602739356765,4.68123165321395,"V",3,1.44675361680431,4.3055589818205,
2,75,"V",5,2.75501090413978,4.6884588767178,"V",4,2.69782852312112,4.71004354487883,
