"Comparison","Row","Orig_Symbol","Orig_Order","Orig_IC","Orig_Entropy","Swap_Symbol","Swap_Order","Swap_IC","Swap_Entropy","Distance"
1,39,"III",10,6.34773022966916,3.72369812151498,"III",10,6.34773022966916,3.72369812151498,
1,40,"vi",4,1.01457975769117,3.19660591105794,"vi",4,1.01457975769117,3.19660591105794,
1,41,"II",6,1.77882735277066,4.2764263780913,"II",6,1.77882735277066,4.2764263780913,
1,42,"V",4,0.818333112563365,3.15472451517896,"V",4,0.818333112563365,3.15472451517896,
1,43,"I",5,4.78131814199246,2.81031642712984,"I",5,4.78131814199246,2.81031642712984,
1,44,"i",4,5.94659073914,5.27677702290517,"VI",4,5.92830082158813,5.27677702290517,0.0182899175518729
1,45,"IV",3,4.67635115249309,5.09762222188837,"IV",3,2.55584762845918,4.65293524313775,
1,46,"i",3,3.45773080466056,4.95371720437413,"i",4,6.43998973203481,4.08655335650475,
1,47,"IV",4,2.35440117010016,4.95105008310835,"IV",2,4.7457856022546,5.35660038086248,
1,48,"-VII",5,4.42989190168784,4.79125699178886,"-VII",3,4.00376360145398,5.17501013963035,
1,49,"-VII",5,4.14217239882048,4.31994106966537,"-VII",4,3.81562300008999,4.85056947306303,
,,,,,,,,,,
2,66,"III",10,6.34773022966916,3.72369812151498,"III",10,6.34773022966916,3.72369812151498,
2,67,"vi",4,1.01457975769117,3.19660591105794,"vi",4,1.01457975769117,3.19660591105794,
2,68,"II",6,1.77882735277066,4.2764263780913,"II",6,1.77882735277066,4.2764263780913,
2,69,"V",4,0.818333112563365,3.15472451517896,"V",4,0.818333112563365,3.15472451517896,
2,70,"I",5,4.78131814199246,2.81031642712984,"I",5,4.78131814199246,2.81031642712984,
2,71,"i",4,5.94659073914,5.27677702290517,"VI",4,5.92830082158813,5.27677702290517,0.0182899175518729
2,72,"IV",3,4.67635115249309,5.09762222188837,"IV",3,2.55584762845918,4.65293524313775,
2,73,"i",3,3.45773080466056,4.95371720437413,"i",4,6.43998973203481,4.08655335650475,
2,74,"IV",4,2.35440117010016,4.95105008310835,"IV",2,4.7457856022546,5.35660038086248,
2,75,"-VII",5,4.42989190168784,4.79125699178886,"-VII",3,4.00376360145398,5.17501013963035,
2,76,"-VII",5,4.14217239882048,4.31994106966537,"-VII",4,3.81562300008999,4.85056947306303,
,,,,,,,,,,
3,39,"III",10,6.34773022966916,3.72369812151498,"III",10,6.34773022966916,3.72369812151498,
3,40,"vi",4,1.01457975769117,3.19660591105794,"vi",4,1.01457975769117,3.19660591105794,
3,41,"II",6,1.77882735277066,4.2764263780913,"II",6,1.77882735277066,4.2764263780913,
3,42,"V",4,0.818333112563365,3.15472451517896,"V",4,0.818333112563365,3.15472451517896,
3,43,"I",5,4.78131814199246,2.81031642712984,"I",5,4.78131814199246,2.81031642712984,
3,44,"i",4,5.94659073914,5.27677702290517,"-VI",4,5.91736142473494,5.27677702290517,0.0292293144050664
3,45,"IV",3,4.67635115249309,5.09762222188837,"IV",3,5.03166876771253,5.12513391487564,
3,46,"i",3,3.45773080466056,4.95371720437413,"i",3,5.14558487335647,4.82136599945296,
3,47,"IV",4,2.35440117010016,4.95105008310835,"IV",3,4.98897152545387,5.04438961219642,
3,48,"-VII",5,4.42989190168784,4.79125699178886,"-VII",3,4.00376360145398,5.17501013963035,
3,49,"-VII",5,4.14217239882048,4.31994106966537,"-VII",4,3.81562300008999,4.85056947306303,
,,,,,,,,,,
4,66,"III",10,6.34773022966916,3.72369812151498,"III",10,6.34773022966916,3.72369812151498,
4,67,"vi",4,1.01457975769117,3.19660591105794,"vi",4,1.01457975769117,3.19660591105794,
4,68,"II",6,1.77882735277066,4.2764263780913,"II",6,1.77882735277066,4.2764263780913,
4,69,"V",4,0.818333112563365,3.15472451517896,"V",4,0.818333112563365,3.15472451517896,
4,70,"I",5,4.78131814199246,2.81031642712984,"I",5,4.78131814199246,2.81031642712984,
4,71,"i",4,5.94659073914,5.27677702290517,"-VI",4,5.91736142473494,5.27677702290517,0.0292293144050664
4,72,"IV",3,4.67635115249309,5.09762222188837,"IV",3,5.03166876771253,5.12513391487564,
4,73,"i",3,3.45773080466056,4.95371720437413,"i",3,5.14558487335647,4.82136599945296,
4,74,"IV",4,2.35440117010016,4.95105008310835,"IV",3,4.98897152545387,5.04438961219642,
4,75,"-VII",5,4.42989190168784,4.79125699178886,"-VII",3,4.00376360145398,5.17501013963035,
4,76,"-VII",5,4.14217239882048,4.31994106966537,"-VII",4,3.81562300008999,4.85056947306303,
,,,,,,,,,,
5,46,"i",3,3.45773080466056,4.95371720437413,"i",3,3.45773080466056,4.95371720437413,
5,47,"IV",4,2.35440117010016,4.95105008310835,"IV",4,2.35440117010016,4.95105008310835,
5,48,"-VII",5,4.42989190168784,4.79125699178886,"-VII",5,4.42989190168784,4.79125699178886,
5,49,"-VII",5,4.14217239882048,4.31994106966537,"-VII",5,4.14217239882048,4.31994106966537,
5,50,"-vii",4,6.04404451152257,4.86644090711865,"-vii",4,6.04404451152257,4.86644090711865,
5,51,"-III",3,5.73619980986773,3.43173983036993,"i",3,5.70256903198645,3.43173983036993,0.0336307778812808
5,52,"-vii",2,5.0413508590798,5.37402331935562,"-vii",2,6.3419174811001,4.9593976784826,
5,53,"-III",3,1.69411617683367,4.49639475210644,"-III",2,2.48611959791147,4.93647492074609,
5,54,"-VI",4,4.73422325606759,4.60848712249361,"-VI",3,1.28249985599771,4.13554712402532,
5,55,"V",3,2.55020069769563,4.83204544470188,"V",4,3.2631288194495,4.80535557224355,
5,56,"V",4,1.33461543164124,3.97200659753091,"V",4,0.736257468938654,2.95978797448354,
,,,,,,,,,,
6,73,"i",3,3.45773080466056,4.95371720437413,"i",3,3.45773080466056,4.95371720437413,
6,74,"IV",4,2.35440117010016,4.95105008310835,"IV",4,2.35440117010016,4.95105008310835,
6,75,"-VII",5,4.42989190168784,4.79125699178886,"-VII",5,4.42989190168784,4.79125699178886,
6,76,"-VII",5,4.14217239882048,4.31994106966537,"-VII",5,4.14217239882048,4.31994106966537,
6,77,"-vii",4,6.04404451152257,4.86644090711865,"-vii",4,6.04404451152257,4.86644090711865,
6,78,"-III",3,5.73619980986773,3.43173983036993,"i",3,5.70256903198645,3.43173983036993,0.0336307778812808
6,79,"-vii",2,5.0413508590798,5.37402331935562,"-vii",2,6.3419174811001,4.9593976784826,
6,80,"-III",3,1.69411617683367,4.49639475210644,"-III",2,2.48611959791147,4.93647492074609,
6,81,"-VI",4,4.73422325606759,4.60848712249361,"-VI",3,1.28249985599771,4.13554712402532,
6,82,"V",3,2.55020069769563,4.83204544470188,"V",4,3.2631288194495,4.80535557224355,
6,83,"V",4,1.33461543164124,3.97200659753091,"V",4,0.736257468938654,2.95978797448354,
,,,,,,,,,,
7,43,"I",5,4.78131814199246,2.81031642712984,"I",5,4.78131814199246,2.81031642712984,
7,44,"i",4,5.94659073914,5.27677702290517,"i",4,5.94659073914,5.27677702290517,
7,45,"IV",3,4.67635115249309,5.09762222188837,"IV",3,4.67635115249309,5.09762222188837,
7,46,"i",3,3.45773080466056,4.95371720437413,"i",3,3.45773080466056,4.95371720437413,
7,47,"IV",4,2.35440117010016,4.95105008310835,"IV",4,2.35440117010016,4.95105008310835,
7,48,"-VII",5,4.42989190168784,4.79125699178886,"IV",5,4.47219841439512,4.79125699178886,0.0423065127072837
7,49,"-VII",5,4.14217239882048,4.31994106966537,"-VII",5,5.73028983493133,4.03593327779124,
7,50,"-vii",4,6.04404451152257,4.86644090711865,"-vii",3,6.5126234314238,5.05700833711938,
7,51,"-III",3,5.73619980986773,3.43173983036993,"-III",3,5.20367889192689,4.43060745372424,
7,52,"-vii",2,5.0413508590798,5.37402331935562,"-vii",2,5.0413508590798,5.37402331935562,
7,53,"-III",3,1.69411617683367,4.49639475210644,"-III",3,1.69411617683367,4.49639475210644,
,,,,,,,,,,
8,70,"I",5,4.78131814199246,2.81031642712984,"I",5,4.78131814199246,2.81031642712984,
8,71,"i",4,5.94659073914,5.27677702290517,"i",4,5.94659073914,5.27677702290517,
8,72,"IV",3,4.67635115249309,5.09762222188837,"IV",3,4.67635115249309,5.09762222188837,
8,73,"i",3,3.45773080466056,4.95371720437413,"i",3,3.45773080466056,4.95371720437413,
8,74,"IV",4,2.35440117010016,4.95105008310835,"IV",4,2.35440117010016,4.95105008310835,
8,75,"-VII",5,4.42989190168784,4.79125699178886,"IV",5,4.47219841439512,4.79125699178886,0.0423065127072837
8,76,"-VII",5,4.14217239882048,4.31994106966537,"-VII",5,5.73028983493133,4.03593327779124,
8,77,"-vii",4,6.04404451152257,4.86644090711865,"-vii",3,6.5126234314238,5.05700833711938,
8,78,"-III",3,5.73619980986773,3.43173983036993,"-III",3,5.20367889192689,4.43060745372424,
8,79,"-vii",2,5.0413508590798,5.37402331935562,"-vii",2,5.0413508590798,5.37402331935562,
8,80,"-III",3,1.69411617683367,4.49639475210644,"-III",3,1.69411617683367,4.49639475210644,
,,,,,,,,,,
9,53,"-III",3,1.69411617683367,4.49639475210644,"-III",3,1.69411617683367,4.49639475210644,
9,54,"-VI",4,4.73422325606759,4.60848712249361,"-VI",4,4.73422325606759,4.60848712249361,
9,55,"V",3,2.55020069769563,4.83204544470188,"V",3,2.55020069769563,4.83204544470188,
9,56,"V",4,1.33461543164124,3.97200659753091,"V",4,1.33461543164124,3.97200659753091,
