"Row","Symbol","Order","Information_content","Entropy"
1,"r",0,2.53085509538171,5.47634857876957
2,"I",1,1.74874698550192,4.0470645566471
3,"I",2,2.20046829427291,4.79859356102467
4,"V",3,4.93349243581991,4.75697299731582
5,"V",4,2.35505280419761,4.59857443037634
6,"I",5,2.17687085739889,4.61688713449285
7,"I",6,1.00503331581054,3.55176841548491
8,"V",7,1.34462766284069,3.95451759731986
9,"V",8,1.69698663434784,3.98859966349523
10,"I",9,1.64536572155689,4.16791974311021
11,"I",9,0.219136670769262,1.27556977648172
12,"III",10,6.49235588061837,4.57083581256111
13,"III",5,1.57944526758173,3.93721368458652
14,"IV",5,3.60207456825388,3.98798422155127
15,"IV",4,3.21478809530032,3.37480370250487
16,"-VI",4,5.55398205511171,5.11149129386135
17,"-VI",3,3.14981587598948,4.85191637151591
18,"I",4,4.61609574133103,4.9192472119978
19,"I",3,3.12705968306952,5.19726084568173
20,"V",4,5.34585886980375,5.21637188195153
21,"V",3,3.54467475815244,5.16449040163623
22,"I",4,3.47255888504784,5.06571544623314
23,"I",5,2.36900340486573,4.81022727146726
24,"V",6,3.42282491383494,4.9153456744661
25,"V",7,1.98212457687085,4.28512450224035
26,"I",8,2.83285807493834,4.70931320218179
27,"I",9,0.906308468682116,3.27711191733728
28,"V",10,2.28298509432924,4.57083581256111
29,"V",10,0.898593630019898,3.04061613794629
30,"I",10,1.93668215856813,4.16375168008669
31,"I",9,0.219136670769262,1.27556977648172
32,"V",10,2.28298509432924,4.57083581256111
33,"V",10,0.898593630019898,3.04061613794629
34,"I",10,1.93668215856813,4.16375168008669
35,"I",9,0.219136670769262,1.27556977648172
36,"III",10,6.49235588061837,4.57083581256111
37,"III",5,1.57944526758173,3.93721368458652
38,"IV",5,3.60207456825388,3.98798422155127
39,"IV",4,3.21478809530032,3.37480370250487
40,"-VI",4,5.55398205511171,5.11149129386135
41,"-VI",3,3.14981587598948,4.85191637151591
42,"I",4,4.61609574133103,4.9192472119978
43,"I",3,3.12705968306952,5.19726084568173
44,"V",4,5.34585886980375,5.21637188195153
45,"V",3,3.54467475815244,5.16449040163623
46,"I",4,3.47255888504784,5.06571544623314
47,"I",5,2.36900340486573,4.81022727146726
48,"-VI",6,5.79915406810108,4.9153456744661
49,"-VI",5,1.47195682599774,3.99964806024749
50,"I",5,1.08049255875217,3.44582822783208
51,"I",6,1.01846521867482,3.5649381599321
52,"V",7,6.51445299953221,3.44871170873398
53,"V",3,3.54467475815244,5.16449040163623
54,"I",4,3.47255888504784,5.06571544623314
55,"I",5,2.36900340486573,4.81022727146726
56,"-VI",6,5.79915406810108,4.9153456744661
57,"-VI",5,1.47195682599774,3.99964806024749
58,"I",5,1.08049255875217,3.44582822783208
59,"I",6,1.01846521867482,3.5649381599321
60,"-VI",7,1.02470175518872,3.44871170873398
61,"-VI",4,0.901503244655321,3.38165174447333
62,"I",10,1.33087508065131,3.63162198225177
63,"I",10,2.86017260407716,4.40591645162302
64,"-VI",7,2.54029918770021,3.85795811416807
65,"-VI",4,0.901503244655321,3.38165174447333
66,"I",8,1.79681773419335,3.8440492737051
67,"I",9,2.6032078599607,4.87715183505633
68,"-VI",7,2.54029918770021,3.85795811416807
69,"-VI",4,0.901503244655321,3.38165174447333
70,"I",8,1.79681773419335,3.8440492737051
71,"I",9,2.6032078599607,4.87715183505633
72,"-VI",7,2.54029918770021,3.85795811416807
73,"-VI",4,0.901503244655321,3.38165174447333
74,"I",8,1.79681773419335,3.8440492737051
75,"I",9,2.6032078599607,4.87715183505633
76,"-VI",7,2.54029918770021,3.85795811416807
77,"-VI",4,0.901503244655321,3.38165174447333
78,"r",8,4.35776159869888,3.8440492737051
79,"r",2,0.215421426027843,1.15825116518875
