"Comparison","Row","Orig_Symbol","Orig_Order","Orig_IC","Orig_Entropy","Swap_Symbol","Swap_Order","Swap_IC","Swap_Entropy","Distance"
1,4,"-III",3,6.54341851310799,3.48979011808302,"-III",3,6.54341851310799,3.48979011808302,
1,5,"i",3,5.86966611832051,4.68622355692239,"i",3,5.86966611832051,4.68622355692239,
1,6,"I",2,5.44545122500291,5.33331420070577,"I",2,5.44545122500291,5.33331420070577,
1,7,"-III",2,4.64605851908343,5.39996279830715,"-III",2,4.64605851908343,5.39996279830715,
1,8,"i",3,5.40545251755462,5.22083591148064,"i",3,5.40545251755462,5.22083591148064,
1,9,"I",3,5.69327959936533,4.93064984046142,"-II",3,5.69636081918107,4.93064984046142,0.00308121981573528
1,10,"-III",2,4.64605851908343,5.39996279830715,"-III",3,1.92539756822222,4.65013848095817,
1,11,"i",3,5.40545251755462,5.22083591148064,"i",4,3.91357272022845,4.42191367467648,
1,12,"i",3,2.18075556073139,4.93064984046142,"i",3,4.03567274142161,4.95942517025031,
1,13,"i",4,3.48767232719793,4.50085086366472,"i",3,3.13597009533576,5.03583230284756,
1,14,"-VII",4,4.94003708840546,4.44688447465017,"-VII",4,4.94003708840546,4.44688447465017,
,,,,,,,,,,
2,12,"i",3,2.18075556073139,4.93064984046142,"i",3,2.18075556073139,4.93064984046142,
2,13,"i",4,3.48767232719793,4.50085086366472,"i",4,3.48767232719793,4.50085086366472,
2,14,"-VII",4,4.94003708840546,4.44688447465017,"-VII",4,4.94003708840546,4.44688447465017,
2,15,"-VI",4,3.35626501730286,4.49473648822244,"-VI",4,3.35626501730286,4.49473648822244,
2,16,"iv",5,4.653920800904,4.11190494840057,"iv",5,4.653920800904,4.11190494840057,
2,17,"V",4,5.28132288107317,4.45144065541065,"i",4,5.27816161684526,4.45144065541065,0.00316126422790486
2,18,"-VII",3,6.59861198122534,4.59271041171267,"-VII",3,4.7218493592761,4.68463399054187,
2,19,"i",2,4.52396804932069,5.27969228325437,"i",3,3.14636904643604,4.71231256764777,
2,20,"-VII",3,2.85965810123552,4.54472100496527,"-VII",4,1.16594760279212,3.6708891891132,
2,21,"-VI",4,3.61931715345403,4.60918082762569,"-VI",5,3.39973390156338,4.49812864778422,
2,22,"iv",4,4.28416765576933,4.62277904870653,"iv",5,4.5308396969066,4.34065300844053,
,,,,,,,,,,
3,18,"-VII",3,6.59861198122534,4.59271041171267,"-VII",3,6.59861198122534,4.59271041171267,
3,19,"i",2,4.52396804932069,5.27969228325437,"i",2,4.52396804932069,5.27969228325437,
3,20,"-VII",3,2.85965810123552,4.54472100496527,"-VII",3,2.85965810123552,4.54472100496527,
3,21,"-VI",4,3.61931715345403,4.60918082762569,"-VI",4,3.61931715345403,4.60918082762569,
3,22,"iv",4,4.28416765576933,4.62277904870653,"iv",4,4.28416765576933,4.62277904870653,
3,23,"V",4,5.28132288107317,4.45144065541065,"i",4,5.27816161684526,4.45144065541065,0.00316126422790486
3,24,"-VII",3,6.59861198122534,4.59271041171267,"-VII",3,4.7218493592761,4.68463399054187,
3,25,"i",2,4.52396804932069,5.27969228325437,"i",3,3.14636904643604,4.71231256764777,
3,26,"-VII",3,2.85965810123552,4.54472100496527,"-VII",4,1.16594760279212,3.6708891891132,
3,27,"-VI",4,3.61931715345403,4.60918082762569,"-VI",5,3.39973390156338,4.49812864778422,
3,28,"IV",4,6.2283933259824,4.62277904870653,"IV",5,6.47506536711967,4.34065300844053,
,,,,,,,,,,
4,55,"-III",5,3.2119960188916,4.77257319351844,"-III",5,3.2119960188916,4.77257319351844,
4,56,"i",6,2.67937758519981,4.04411438150014,"i",6,2.67937758519981,4.04411438150014,
4,57,"-VII",5,5.41132252063271,3.56375288713087,"-VII",5,5.41132252063271,3.56375288713087,
4,58,"-VI",4,2.72848240864791,4.84887743161911,"-VI",4,2.72848240864791,4.84887743161911,
4,59,"iv",4,4.45851664945305,4.25407516987186,"iv",4,4.45851664945305,4.25407516987186,
4,60,"V",4,5.28132288107317,4.45144065541065,"i",4,5.27816161684526,4.45144065541065,0.00316126422790486
4,61,"-VII",3,6.59861198122534,4.59271041171267,"-VII",3,4.7218493592761,4.68463399054187,
4,62,"i",2,4.52396804932069,5.27969228325437,"i",3,3.14636904643604,4.71231256764777,
4,63,"-VII",3,2.85965810123552,4.54472100496527,"-VII",4,1.16594760279212,3.6708891891132,
4,64,"-VI",4,3.61931715345403,4.60918082762569,"-VI",5,3.39973390156338,4.49812864778422,
4,65,"iv",4,4.28416765576933,4.62277904870653,"iv",5,4.5308396969066,4.34065300844053,
,,,,,,,,,,
5,61,"-VII",3,6.59861198122534,4.59271041171267,"-VII",3,6.59861198122534,4.59271041171267,
5,62,"i",2,4.52396804932069,5.27969228325437,"i",2,4.52396804932069,5.27969228325437,
5,63,"-VII",3,2.85965810123552,4.54472100496527,"-VII",3,2.85965810123552,4.54472100496527,
5,64,"-VI",4,3.61931715345403,4.60918082762569,"-VI",4,3.61931715345403,4.60918082762569,
5,65,"iv",4,4.28416765576933,4.62277904870653,"iv",4,4.28416765576933,4.62277904870653,
5,66,"V",4,5.28132288107317,4.45144065541065,"i",4,5.27816161684526,4.45144065541065,0.00316126422790486
5,67,"-VII",3,6.59861198122534,4.59271041171267,"-VII",3,4.7218493592761,4.68463399054187,
5,68,"i",2,4.52396804932069,5.27969228325437,"i",3,3.14636904643604,4.71231256764777,
5,69,"-VII",3,2.85965810123552,4.54472100496527,"-VII",4,1.16594760279212,3.6708891891132,
5,70,"-VI",4,3.61931715345403,4.60918082762569,"-VI",5,3.39973390156338,4.49812864778422,
5,71,"IV",4,6.2283933259824,4.62277904870653,"IV",5,6.47506536711967,4.34065300844053,
,,,,,,,,,,
6,105,"i",3,4.52655464716409,4.94555262731182,"i",3,4.52655464716409,4.94555262731182,
6,106,"-VII",3,4.83059531366179,4.65313973661718,"-VII",3,4.83059531366179,4.65313973661718,
6,107,"VI",3,6.12249618821906,4.65900298429544,"VI",3,6.12249618821906,4.65900298429544,
6,108,"-VII",2,4.72774535833862,5.21880327305504,"-VII",2,4.72774535833862,5.21880327305504,
6,109,"I",3,5.50048817494762,4.39917174059258,"I",3,5.50048817494762,4.39917174059258,
6,110,"V",2,4.83587458586312,5.34453528593383,"ii",2,4.84027256886487,5.34453528593383,0.00439798300174932
6,111,"IV",3,3.71120600574935,5.21666417782035,"IV",3,3.98058191801048,5.15460293586121,
6,112,"-III",4,5.0211002478881,4.69447450260791,"-III",4,6.7927033443279,3.87969554829354,
6,113,"-VII",4,2.54404888371919,4.66833749456994,"-VII",2,4.00796275486543,5.28248180827587,
6,114,"v",5,6.11312693591473,3.80081763341638,"v",3,5.44732276776248,4.75884695473874,
6,115,"ii",3,5.78685413144202,5.07924746287332,"ii",3,5.78685413144202,5.07924746287332,
,,,,,,,,,,
