"Row","Symbol","Order","Information_content","Entropy"
1,"r",0,2.53085509538171,5.47634857876957
2,"r",1,2.31056119997994,4.04662068322288
3,"r",2,1.85123749467927,3.69167488857668
4,"-III",3,6.54341851310799,3.48979011808302
5,"i",3,5.86966611832051,4.68622355692239
6,"I",2,5.44545122500291,5.33331420070577
7,"-III",2,4.64605851908343,5.39996279830715
8,"i",3,5.40545251755462,5.22083591148064
9,"I",3,5.69327959936533,4.93064984046142
10,"-III",2,4.64605851908343,5.39996279830715
11,"i",3,5.40545251755462,5.22083591148064
12,"i",3,2.18075556073139,4.93064984046142
13,"i",4,3.48767232719793,4.50085086366472
14,"-VII",4,4.94003708840546,4.44688447465017
15,"-VI",4,3.35626501730286,4.49473648822244
16,"iv",5,4.653920800904,4.11190494840057
17,"V",4,5.28132288107317,4.45144065541065
18,"-VII",3,6.59861198122534,4.59271041171267
19,"i",2,4.52396804932069,5.27969228325437
20,"-VII",3,2.85965810123552,4.54472100496527
21,"-VI",4,3.61931715345403,4.60918082762569
22,"iv",4,4.28416765576933,4.62277904870653
23,"V",4,5.28132288107317,4.45144065541065
24,"-VII",3,6.59861198122534,4.59271041171267
25,"i",2,4.52396804932069,5.27969228325437
26,"-VII",3,2.85965810123552,4.54472100496527
27,"-VI",4,3.61931715345403,4.60918082762569
28,"IV",4,6.2283933259824,4.62277904870653
29,"V",2,5.45015742883681,5.19339750755158
30,"i",2,5.27081031271996,5.37061682864078
31,"-VII",3,4.57240875140344,5.0207004215202
32,"-VI",3,2.97779101300218,4.97663938236202
33,"IV",4,6.36517413547976,4.47635611014936
34,"V",2,5.45015742883681,5.19339750755158
35,"V",2,4.3021328990254,5.37061682864078
36,"i",3,4.60107145188925,5.15414894887223
37,"ii",4,6.16743754057863,4.79169592080979
38,"-III",2,3.42561251581668,5.12525974793362
39,"IV",3,3.50732807598973,4.81424411296424
40,"V",4,4.95983711231326,3.90417319316509
41,"-VI",3,4.81146443947838,5.19270745302975
42,"V",4,4.02824156653147,4.50002719821132
43,"i",4,4.35883186740003,4.15724506985101
44,"ii",3,6.15879212143095,4.68964636288944
45,"-III",2,3.42561251581668,5.12525974793362
46,"IV",3,3.50732807598973,4.81424411296424
47,"V",4,4.95983711231326,3.90417319316509
48,"-VI",3,4.81146443947838,5.19270745302975
49,"V",4,4.02824156653147,4.50002719821132
50,"i",4,4.35883186740003,4.15724506985101
51,"i",3,3.56376299616429,4.68964636288944
52,"-III",4,5.10353190099195,4.85003582923417
53,"i",4,4.30525517757718,4.90301648383845
54,"i",4,2.72569631321649,4.74209170972443
55,"-III",5,3.2119960188916,4.77257319351844
56,"i",6,2.67937758519981,4.04411438150014
57,"-VII",5,5.41132252063271,3.56375288713087
58,"-VI",4,2.72848240864791,4.84887743161911
59,"iv",4,4.45851664945305,4.25407516987186
60,"V",4,5.28132288107317,4.45144065541065
61,"-VII",3,6.59861198122534,4.59271041171267
62,"i",2,4.52396804932069,5.27969228325437
63,"-VII",3,2.85965810123552,4.54472100496527
64,"-VI",4,3.61931715345403,4.60918082762569
65,"iv",4,4.28416765576933,4.62277904870653
66,"V",4,5.28132288107317,4.45144065541065
67,"-VII",3,6.59861198122534,4.59271041171267
68,"i",2,4.52396804932069,5.27969228325437
69,"-VII",3,2.85965810123552,4.54472100496527
70,"-VI",4,3.61931715345403,4.60918082762569
71,"IV",4,6.2283933259824,4.62277904870653
