"Row","Symbol","Order","Information_content","Entropy"
1,"r",0,2.53085509538171,5.47634857876957
2,"I",1,1.74874698550192,4.0470645566471
3,"I",2,2.20046829427291,4.79859356102467
4,"I",3,1.98156719156254,4.76194456656204
5,"I",4,1.5798194038242,4.43687984018319
6,"r",5,3.7417033740506,3.8765801072322
7,"r",6,1.32550895778121,3.12771595827057
8,"I",7,1.85661701209444,2.82600710900919
9,"iii",6,5.83412089794204,3.71748898499136
10,"vi",4,4.14154604751135,3.031180439084
11,"IV",4,4.15797359292575,4.83582937303906
12,"ii",4,4.76993117206163,4.8154156552035
13,"I",4,3.62764045943474,4.30570326601397
14,"I",4,2.74963257493144,4.75403823813657
15,"I",5,4.41435256200581,4.52258036742469
16,"iii",4,4.68520835391366,5.16355330683549
17,"vi",5,4.2661258985257,4.29200773409298
18,"IV",4,3.61758872768223,4.97975967409768
19,"I",5,3.58526386712724,4.37581699820964
20,"I",5,4.30254770742588,4.14565282049449
21,"iii",4,5.11237727952773,5.22102111921844
22,"IV",4,3.11759537491517,4.88586904685815
23,"ii",5,4.27267539265247,4.75065510830284
24,"V",4,0.791439787719238,3.02355522290169
25,"I",4,0.503659302720697,2.38939912754022
26,"IV",6,5.09980554526471,4.31484540974584
27,"I",5,2.81838326033233,4.59977575622648
28,"IV",6,3.59028824380713,4.6776108485835
29,"ii",6,4.93410591822159,4.67994588665678
30,"V",6,2.93382950144338,3.93225531035387
31,"I",5,3.08991452074945,3.15814186659131
32,"iii",5,5.18452706823167,5.22090900719243
33,"vi",5,3.04130265257368,4.01208413995598
34,"IV",5,4.24616760112164,4.49138528809624
35,"ii",5,5.03358115761715,4.37581699820964
36,"I",4,3.62764045943474,4.30570326601397
37,"I",4,2.74963257493144,4.75403823813657
38,"IV",5,1.74083053042954,4.52258036742469
39,"-III",6,5.11276207857729,4.31178298449208
40,"IV",5,3.93399955622077,4.13213591412818
41,"-III",5,3.6173140105563,3.47912810156974
42,"-III",4,3.44980772385156,4.53296102203852
43,"iii",5,7.22720461569333,4.13616276288658
44,"iii",2,5.19712822028669,4.92519797398978
45,"V",2,4.63933535810253,5.29012056771443
46,"iii",3,5.83362469686373,4.69945069960662
47,"V",3,2.84068817991222,4.78888597401192
48,"iii",4,2.81980486970707,4.84353174664388
49,"-III",5,6.66442929037965,4.78888597401192
50,"-III",2,5.20609091652273,5.07227407205719
51,"-VI",2,4.38471341345164,5.34652166008661
52,"-VI",3,3.40569527887378,5.17562147350398
53,"V",4,4.30723986811237,4.94370576862322
54,"V",4,2.78891976668947,3.89897964036246
55,"vi",4,5.79771483617608,4.84186055359857
56,"IV",3,3.86052801904462,5.1934348933212
57,"ii",4,4.64300239486252,4.86975867410916
58,"I",4,2.62619030228868,4.48081033379585
59,"I",5,3.05447160420517,4.22601424422049
60,"I",5,4.41435256200581,4.52258036742469
61,"iii",4,4.68520835391366,5.16355330683549
62,"vi",5,4.2661258985257,4.29200773409298
63,"IV",4,3.61758872768223,4.97975967409768
64,"I",5,3.58526386712724,4.37581699820964
65,"I",5,4.30254770742588,4.14565282049449
66,"iii",4,5.11237727952773,5.22102111921844
67,"IV",4,3.11759537491517,4.88586904685815
68,"ii",5,4.27267539265247,4.75065510830284
69,"V",4,0.791439787719238,3.02355522290169
70,"I",4,0.503659302720697,2.38939912754022
71,"IV",6,5.09980554526471,4.31484540974584
72,"I",5,2.81838326033233,4.59977575622648
73,"IV",6,3.59028824380713,4.6776108485835
74,"ii",6,4.93410591822159,4.67994588665678
75,"V",6,2.93382950144338,3.93225531035387
76,"I",5,3.08991452074945,3.15814186659131
77,"iii",5,5.18452706823167,5.22090900719243
