"swapped_idx","alphabet_idx","true_chord","true_ic","true_ent","swapped_chord","swapped_ic","swapped_ent","dist"
24,19,"-VII",5.87464533086384,5.19133097340162,"iv",5.89220854462518,5.19133097340162,0.0175632137613437
44,19,"-VII",5.87464533086384,5.19133097340162,"iv",5.89220854462518,5.19133097340162,0.0175632137613437
70,19,"-VII",5.87464533086384,5.19133097340162,"iv",5.89220854462518,5.19133097340162,0.0175632137613437
29,3,"IV",4.43994183365058,5.29302755672689,"ii",4.46517420815352,5.29302755672689,0.0252323745029424
49,3,"IV",4.43994183365058,5.29302755672689,"ii",4.46517420815352,5.29302755672689,0.0252323745029424
75,3,"IV",4.43994183365058,5.29302755672689,"ii",4.46517420815352,5.29302755672689,0.0252323745029424
19,11,"VI",6.19322148052377,4.70702392364122,"v",6.16518375296291,4.70702392364122,0.0280377275608661
39,11,"VI",6.19322148052377,4.70702392364122,"v",6.16518375296291,4.70702392364122,0.0280377275608661
65,11,"VI",6.19322148052377,4.70702392364122,"v",6.16518375296291,4.70702392364122,0.0280377275608661
30,9,"V",3.17473307077054,4.59201767840759,"IV",3.21621098467008,4.59201767840759,0.0414779138995409
50,9,"V",3.17473307077054,4.59201767840759,"IV",3.21621098467008,4.59201767840759,0.0414779138995409
76,9,"V",3.17473307077054,4.59201767840759,"IV",3.21621098467008,4.59201767840759,0.0414779138995409
34,4,"IV",3.94022025984329,3.72467841605161,"V",3.89747382321711,3.72467841605161,0.0427464366261878
80,4,"IV",3.94022025984329,3.72467841605161,"V",3.89747382321711,3.72467841605161,0.0427464366261878
61,9,"I",2.86712159862808,4.29538405134025,"IV",2.92417489048317,4.29538405134025,0.0570532918550875
29,8,"IV",4.43994183365058,5.29302755672689,"vi",4.37101070420291,5.29302755672689,0.0689311294476713
49,8,"IV",4.43994183365058,5.29302755672689,"vi",4.37101070420291,5.29302755672689,0.0689311294476713
75,8,"IV",4.43994183365058,5.29302755672689,"vi",4.37101070420291,5.29302755672689,0.0689311294476713
84,9,"I",3.1966440541879,4.49592632407632,"IV",3.12026934430476,4.49592632407632,0.0763747098831393
26,15,"ii",4.70241682397293,4.64907212082373,"-VI",4.77884608960349,4.64907212082373,0.0764292656305576
46,15,"ii",4.70241682397293,4.64907212082373,"-VI",4.77884608960349,4.64907212082373,0.0764292656305576
72,15,"ii",4.70241682397293,4.64907212082373,"-VI",4.77884608960349,4.64907212082373,0.0764292656305576
34,8,"IV",3.94022025984329,3.72467841605161,"vi",4.01815108996855,3.72467841605161,0.0779308301252546
80,8,"IV",3.94022025984329,3.72467841605161,"vi",4.01815108996855,3.72467841605161,0.0779308301252546
