"Comparison","Row","Orig_Symbol","Orig_Order","Orig_IC","Orig_Entropy","Swap_Symbol","Swap_Order","Swap_IC","Swap_Entropy","Distance"
1,17,"i",6,2.93650749256681,4.91835474454227,"i",6,2.93650749256681,4.91835474454227,
1,18,"i",7,1.68291543791784,4.30183618209508,"i",7,1.68291543791784,4.30183618209508,
1,19,"i",7,1.3665402120817,4.0272998509649,"i",7,1.3665402120817,4.0272998509649,
1,20,"i",8,1.56760873804135,4.28334151978884,"i",8,1.56760873804135,4.28334151978884,
1,21,"i",9,1.34193677347674,3.99814983391768,"i",9,1.34193677347674,3.99814983391768,
1,22,"-VI",10,4.55065233289628,4.26449342310304,"-VII",10,4.58825804801315,4.26449342310304,0.0376057151168716
1,23,"-VI",10,1.79778770500209,3.31677183049346,"-VI",10,3.85066549297292,4.16341838129599,
1,24,"i",10,2.01819951664082,3.35120229193328,"i",6,5.71644156982549,3.22202840943499,
1,25,"i",6,0.47644825434569,2.2688477768808,"i",4,3.96591682230125,5.06413475589077,
1,26,"iv",7,6.34569896893863,1.87595898454185,"iv",4,4.70817021617945,4.71131311273026,
1,27,"iv",4,2.08366871474772,4.68557444645545,"iv",4,2.08366871474772,4.68557444645545,
,,,,,,,,,,
2,43,"i",6,2.93650749256681,4.91835474454227,"i",6,2.93650749256681,4.91835474454227,
2,44,"i",7,1.68291543791784,4.30183618209508,"i",7,1.68291543791784,4.30183618209508,
2,45,"i",7,1.3665402120817,4.0272998509649,"i",7,1.3665402120817,4.0272998509649,
2,46,"i",8,1.56760873804135,4.28334151978884,"i",8,1.56760873804135,4.28334151978884,
2,47,"i",9,1.34193677347674,3.99814983391768,"i",9,1.34193677347674,3.99814983391768,
2,48,"-VI",10,4.55065233289628,4.26449342310304,"-VII",10,4.58825804801315,4.26449342310304,0.0376057151168716
2,49,"-VI",10,1.79778770500209,3.31677183049346,"-VI",10,3.85066549297292,4.16341838129599,
2,50,"i",10,2.01819951664082,3.35120229193328,"i",6,5.71644156982549,3.22202840943499,
2,51,"i",6,0.47644825434569,2.2688477768808,"i",4,3.96591682230125,5.06413475589077,
2,52,"iv",7,6.34569896893863,1.87595898454185,"iv",4,4.70817021617945,4.71131311273026,
2,53,"iv",4,2.08366871474772,4.68557444645545,"iv",4,2.08366871474772,4.68557444645545,
,,,,,,,,,,
3,69,"i",6,2.93650749256681,4.91835474454227,"i",6,2.93650749256681,4.91835474454227,
3,70,"i",7,1.68291543791784,4.30183618209508,"i",7,1.68291543791784,4.30183618209508,
3,71,"i",7,1.3665402120817,4.0272998509649,"i",7,1.3665402120817,4.0272998509649,
3,72,"i",8,1.56760873804135,4.28334151978884,"i",8,1.56760873804135,4.28334151978884,
3,73,"i",9,1.34193677347674,3.99814983391768,"i",9,1.34193677347674,3.99814983391768,
3,74,"-VI",10,4.55065233289628,4.26449342310304,"-VII",10,4.58825804801315,4.26449342310304,0.0376057151168716
3,75,"-VI",10,1.79778770500209,3.31677183049346,"-VI",10,3.85066549297292,4.16341838129599,
3,76,"i",10,2.01819951664082,3.35120229193328,"i",6,5.71644156982549,3.22202840943499,
3,77,"i",6,0.47644825434569,2.2688477768808,"i",4,3.96591682230125,5.06413475589077,
3,78,"iv",7,6.34569896893863,1.87595898454185,"iv",4,4.70817021617945,4.71131311273026,
