"Row","Symbol","Order","Information_content","Entropy"
1,"r",0,2.53085509538171,5.47634857876957
2,"I",1,1.74874698550192,4.0470645566471
3,"I",2,2.20046829427291,4.79859356102467
4,"I",3,1.98156719156254,4.76194456656204
5,"I",4,1.5798194038242,4.43687984018319
6,"V",5,4.43297477775003,3.87387000553819
7,"V",6,2.36711655831567,4.50826901831965
8,"I",7,2.10534489846323,4.38257179173119
9,"I",8,1.01819268022102,3.49537194301172
10,"V",9,2.59678234566029,4.47588452419265
11,"I",10,3.06832941101004,3.59114619027604
12,"I",9,2.52432388433463,4.26158498937798
13,"I",7,0.270244693380988,1.4400256461393
14,"V",10,3.39300877063845,3.27985598600083
15,"V",8,1.73062503198594,3.96873187101438
16,"I",7,1.77107483307519,4.13416905928579
17,"I",7,1.40971435654522,4.0293683402082
18,"V",8,2.1216246207888,4.50951817730383
19,"I",9,1.97124787383539,3.93273554756598
20,"IV",9,4.12388526115228,4.26158498937798
21,"I",7,1.39911646605839,3.8387472296502
22,"II",8,5.40336073173224,4.04926973876046
23,"V",6,2.48703339119663,3.86023196495697
24,"I",6,2.30653220130592,4.46727899454959
25,"I",7,4.20605816175723,4.9131140461167
26,"V",5,5.18787591259523,4.98017598632407
27,"V",4,3.32035616163046,5.04152118282085
28,"I",5,3.30959335401888,4.99725605128679
29,"I",6,1.50574783114637,4.10315635354412
30,"V",7,3.33817253004142,4.89666100557027
31,"I",8,3.08859289299042,3.94679728328285
32,"I",8,2.28415775359843,4.63679104031914
33,"IV",7,6.14980697969892,1.4400256461393
34,"V",6,2.85920947127998,4.67687555507586
35,"V",7,4.05488814435475,3.07462597474162
36,"I",6,2.40887311513968,4.44221946081148
37,"IV",7,2.14698839379181,4.14842966058558
38,"V",8,2.88059390643677,3.21806349780855
39,"V",8,1.59027742292872,3.87257891638516
40,"I",9,1.12389195194812,3.32644834664861
41,"I",10,2.88132585168898,3.93530447276821
42,"I",10,2.59819367496401,4.31019846132398
43,"I",7,1.06036605343451,3.59416881391544
44,"V",10,4.72855607250612,4.21044302939859
45,"V",7,1.10173070223499,3.50072245848389
46,"I",8,2.72136400693507,4.55005814220107
47,"I",9,1.56679122782503,4.03017231517549
48,"V",10,3.73732581705366,3.9859305285304
49,"I",9,2.88374522546687,3.88538978449738
50,"I",9,2.52432388433463,4.26158498937798
51,"I",7,0.270244693380988,1.4400256461393
52,"V",10,3.39300877063845,3.27985598600083
53,"V",8,1.73062503198594,3.96873187101438
54,"I",7,1.77107483307519,4.13416905928579
55,"I",7,1.40971435654522,4.0293683402082
56,"V",8,2.1216246207888,4.50951817730383
57,"I",9,1.97124787383539,3.93273554756598
58,"IV",9,4.12388526115228,4.26158498937798
59,"I",7,1.39911646605839,3.8387472296502
60,"II",8,5.40336073173224,4.04926973876046
61,"V",6,2.48703339119663,3.86023196495697
62,"I",6,2.30653220130592,4.46727899454959
63,"I",7,4.20605816175723,4.9131140461167
64,"V",5,5.18787591259523,4.98017598632407
65,"V",4,3.32035616163046,5.04152118282085
66,"I",5,3.30959335401888,4.99725605128679
67,"I",6,1.50574783114637,4.10315635354412
68,"V",7,3.33817253004142,4.89666100557027
69,"I",8,3.08859289299042,3.94679728328285
70,"I",8,2.28415775359843,4.63679104031914
71,"I",7,0.270244693380988,1.4400256461393
72,"V",10,3.39300877063845,3.27985598600083
73,"V",8,1.73062503198594,3.96873187101438
74,"I",7,1.77107483307519,4.13416905928579
75,"I",7,1.40971435654522,4.0293683402082
76,"V",8,2.1216246207888,4.50951817730383
77,"I",9,1.97124787383539,3.93273554756598
78,"I",9,2.52432388433463,4.26158498937798
79,"I",7,0.270244693380988,1.4400256461393
80,"V",10,3.39300877063845,3.27985598600083
81,"V",8,1.73062503198594,3.96873187101438
82,"I",7,1.77107483307519,4.13416905928579
83,"I",7,1.40971435654522,4.0293683402082
84,"V",8,2.1216246207888,4.50951817730383
85,"I",9,1.97124787383539,3.93273554756598
86,"r",9,3.65698548709158,4.26158498937798
87,"r",4,0.360189035963805,1.62459045146199
