"Comparison","Row","Orig_Symbol","Orig_Order","Orig_IC","Orig_Entropy","Swap_Symbol","Swap_Order","Swap_IC","Swap_Entropy","Distance"
1,34,"IV",4,3.57983546389189,5.15282264863724,"IV",4,3.57983546389189,5.15282264863724,
1,35,"I",5,2.87142749368844,4.65238102622686,"I",5,2.87142749368844,4.65238102622686,
1,36,"III",6,6.30067451639269,4.82805350161609,"III",6,6.30067451639269,4.82805350161609,
1,37,"IV",3,2.32668634412517,4.48222202031538,"IV",3,2.32668634412517,4.48222202031538,
1,38,"IV",4,2.88907164639868,4.58884898618334,"IV",4,2.88907164639868,4.58884898618334,
1,39,"V",5,5.4589697111941,4.30178341659773,"III",5,5.4532998186144,4.30178341659773,0.00566989257969919
1,40,"V",3,3.3687108686185,5.15875413657132,"V",4,1.59851068222107,3.94997389568222,
1,41,"I",4,3.33751771386085,4.94527674610063,"I",3,1.45317510680697,4.33636045098048,
1,42,"I",5,2.98389540962485,4.86692783399491,"I",3,5.09569950543936,4.40285370721404,
1,43,"I",6,3.14205222902946,5.07933178782992,"I",3,3.99798785524998,5.35627883448749,
1,44,"I",7,0.820003751223148,3.15004457566567,"I",4,3.22694993647334,5.18899515846296,
,,,,,,,,,,
2,28,"-VII",5,5.19157659761241,4.97845953378235,"-VII",5,5.19157659761241,4.97845953378235,
2,29,"-VII",5,2.83887005129097,4.23343377555401,"-VII",5,2.83887005129097,4.23343377555401,
2,30,"I",6,1.70985681424772,4.3100186891861,"I",6,1.70985681424772,4.3100186891861,
2,31,"I",6,1.94522209294603,4.53991026859674,"I",6,1.94522209294603,4.53991026859674,
2,32,"iii",7,5.88998774136016,4.72647880393221,"iii",7,5.88998774136016,4.72647880393221,
2,33,"iii",4,3.97397884209455,4.67108352254171,"ii",4,3.97969897760358,4.67108352254171,0.00572013550903216
2,34,"IV",4,3.57983546389189,5.15282264863724,"IV",4,2.57764571708154,4.20463574793946,
2,35,"I",5,2.87142749368844,4.65238102622686,"I",4,0.482849894537499,2.21388552473052,
2,36,"III",6,6.30067451639269,4.82805350161609,"III",5,7.18161019154675,3.15446812804612,
2,37,"IV",3,2.32668634412517,4.48222202031538,"IV",3,2.32668634412517,4.48222202031538,
2,38,"IV",4,2.88907164639868,4.58884898618334,"IV",4,2.88907164639868,4.58884898618334,
,,,,,,,,,,
3,31,"I",6,1.94522209294603,4.53991026859674,"I",6,1.94522209294603,4.53991026859674,
3,32,"iii",7,5.88998774136016,4.72647880393221,"iii",7,5.88998774136016,4.72647880393221,
3,33,"iii",4,3.97397884209455,4.67108352254171,"iii",4,3.97397884209455,4.67108352254171,
3,34,"IV",4,3.57983546389189,5.15282264863724,"IV",4,3.57983546389189,5.15282264863724,
3,35,"I",5,2.87142749368844,4.65238102622686,"I",5,2.87142749368844,4.65238102622686,
3,36,"III",6,6.30067451639269,4.82805350161609,"VI",6,6.29345158562352,4.82805350161609,0.0072229307691698
3,37,"IV",3,2.32668634412517,4.48222202031538,"IV",3,4.35828218741464,4.90920292512401,
3,38,"IV",4,2.88907164639868,4.58884898618334,"IV",3,4.76225427101021,4.86517515482958,
3,39,"V",5,5.4589697111941,4.30178341659773,"V",3,4.82656902182898,5.18051335548921,
3,40,"V",3,3.3687108686185,5.15875413657132,"V",3,3.3687108686185,5.15875413657132,
3,41,"I",4,3.33751771386085,4.94527674610063,"I",4,3.33751771386085,4.94527674610063,
,,,,,,,,,,
4,19,"IV",8,3.26974338046676,4.04512913490709,"IV",8,3.26974338046676,4.04512913490709,
4,20,"IV",8,1.09934591362028,3.52504106617198,"IV",8,1.09934591362028,3.52504106617198,
4,21,"II",9,5.78041739747993,4.32794231547794,"II",9,5.78041739747993,4.32794231547794,
4,22,"II",5,1.80554572346518,3.84618490578421,"II",5,1.80554572346518,3.84618490578421,
4,23,"V",6,2.5732530927184,4.81580514218023,"V",6,2.5732530927184,4.81580514218023,
4,24,"ii",4,6.61342166679107,3.36390421514592,"iii",4,6.63125894096735,3.36390421514592,0.0178372741762862
4,25,"V",3,4.03928005855249,4.88086311236346,"V",3,4.61507268728261,4.96612750672028,
4,26,"I",3,3.41577540977788,5.08825893353149,"I",3,3.54947982501328,5.14336288943842,
4,27,"I",4,3.57746321151139,5.29458491225346,"I",4,3.06928990598952,5.04920945542541,
4,28,"-VII",5,5.19157659761241,4.97845953378235,"-VII",5,5.52285993678641,4.77884633128649,
4,29,"-VII",5,2.83887005129097,4.23343377555401,"-VII",4,3.09644937843742,4.50871374073863,
,,,,,,,,,,
5,68,"IV",8,3.26974338046676,4.04512913490709,"IV",8,3.26974338046676,4.04512913490709,
5,69,"IV",8,1.09934591362028,3.52504106617198,"IV",8,1.09934591362028,3.52504106617198,
5,70,"II",9,5.78041739747993,4.32794231547794,"II",9,5.78041739747993,4.32794231547794,
5,71,"II",5,1.80554572346518,3.84618490578421,"II",5,1.80554572346518,3.84618490578421,
5,72,"V",6,2.5732530927184,4.81580514218023,"V",6,2.5732530927184,4.81580514218023,
5,73,"ii",4,6.61342166679107,3.36390421514592,"iii",4,6.63125894096735,3.36390421514592,0.0178372741762862
5,74,"V",3,4.03928005855249,4.88086311236346,"V",3,4.61507268728261,4.96612750672028,
5,75,"I",3,3.41577540977788,5.08825893353149,"I",3,3.54947982501328,5.14336288943842,
5,76,"I",4,3.57746321151139,5.29458491225346,"I",4,3.06928990598952,5.04920945542541,
5,77,"-VII",5,5.19157659761241,4.97845953378235,"-VII",5,5.52285993678641,4.77884633128649,
5,78,"-VII",5,2.83887005129097,4.23343377555401,"-VII",4,3.09644937843742,4.50871374073863,
,,,,,,,,,,
6,33,"iii",4,3.97397884209455,4.67108352254171,"iii",4,3.97397884209455,4.67108352254171,
6,34,"IV",4,3.57983546389189,5.15282264863724,"IV",4,3.57983546389189,5.15282264863724,
6,35,"I",5,2.87142749368844,4.65238102622686,"I",5,2.87142749368844,4.65238102622686,
6,36,"III",6,6.30067451639269,4.82805350161609,"III",6,6.30067451639269,4.82805350161609,
6,37,"IV",3,2.32668634412517,4.48222202031538,"IV",3,2.32668634412517,4.48222202031538,
6,38,"IV",4,2.88907164639868,4.58884898618334,"iv",4,2.92269632129039,4.58884898618334,0.0336246748917106
6,39,"V",5,5.4589697111941,4.30178341659773,"V",3,5.28497553694265,4.52754913977337,
6,40,"V",3,3.3687108686185,5.15875413657132,"V",3,1.44675361680431,4.3055589818205,
6,41,"I",4,3.33751771386085,4.94527674610063,"I",4,3.52874705643867,4.71004354487883,
6,42,"I",5,2.98389540962485,4.86692783399491,"I",4,2.17547742349289,4.80144825454795,
6,43,"I",6,3.14205222902946,5.07933178782992,"I",5,3.05328103856384,5.1113785128492,
,,,,,,,,,,
7,23,"V",6,2.5732530927184,4.81580514218023,"V",6,2.5732530927184,4.81580514218023,
7,24,"ii",4,6.61342166679107,3.36390421514592,"ii",4,6.61342166679107,3.36390421514592,
7,25,"V",3,4.03928005855249,4.88086311236346,"V",3,4.03928005855249,4.88086311236346,
7,26,"I",3,3.41577540977788,5.08825893353149,"I",3,3.41577540977788,5.08825893353149,
7,27,"I",4,3.57746321151139,5.29458491225346,"I",4,3.57746321151139,5.29458491225346,
7,28,"-VII",5,5.19157659761241,4.97845953378235,"iii",5,5.22554239943843,4.97845953378235,0.0339658018260147
7,29,"-VII",5,2.83887005129097,4.23343377555401,"-VII",5,6.43551124533108,4.85632196380754,
7,30,"I",6,1.70985681424772,4.3100186891861,"I",2,3.54611750151023,5.08812686581869,
7,31,"I",6,1.94522209294603,4.53991026859674,"I",3,4.45590237544843,4.88203339341367,
7,32,"iii",7,5.88998774136016,4.72647880393221,"iii",3,5.34462305231246,5.33898603764011,
7,33,"iii",4,3.97397884209455,4.67108352254171,"iii",4,3.97397884209455,4.67108352254171,
,,,,,,,,,,
8,72,"V",6,2.5732530927184,4.81580514218023,"V",6,2.5732530927184,4.81580514218023,
8,73,"ii",4,6.61342166679107,3.36390421514592,"ii",4,6.61342166679107,3.36390421514592,
8,74,"V",3,4.03928005855249,4.88086311236346,"V",3,4.03928005855249,4.88086311236346,
8,75,"I",3,3.41577540977788,5.08825893353149,"I",3,3.41577540977788,5.08825893353149,
