"swapped_idx","alphabet_idx","true_chord","true_ic","true_ent","swapped_chord","swapped_ic","swapped_ent","dist"
51,5,"IV",2.96103943633849,4.73018499026183,"I",2.97138833402443,4.73018499026183,0.0103488976859336
102,5,"IV",2.96103943633849,4.73018499026183,"I",2.97138833402443,4.73018499026183,0.0103488976859336
158,5,"IV",2.96103943633849,4.73018499026183,"I",2.97138833402443,4.73018499026183,0.0103488976859336
109,3,"-VII",5.54323383963614,4.45996938895012,"ii",5.53206331517008,4.45996938895012,0.0111705244660598
117,5,"-VII",2.91600748507267,4.88156163635304,"I",2.92729440753407,4.88156163635304,0.0112869224614061
143,13,"I",3.41174120834079,5.10003484967442,"-VII",3.43582565394523,5.10003484967442,0.0240844456044407
46,5,"V",3.09237734449693,4.84883634012815,"I",3.06652847698885,4.84883634012815,0.0258488675080821
97,5,"V",3.09237734449693,4.84883634012815,"I",3.06652847698885,4.84883634012815,0.0258488675080821
153,5,"V",3.09237734449693,4.84883634012815,"I",3.06652847698885,4.84883634012815,0.0258488675080821
31,4,"IV",3.53733976984963,4.6005675706279,"V",3.50918045415996,4.6005675706279,0.0281593156896793
82,4,"IV",3.53733976984963,4.6005675706279,"V",3.50918045415996,4.6005675706279,0.0281593156896793
129,8,"-VII",6.49421577522253,4.34228842895339,"vi",6.45992359299353,4.34228842895339,0.0342921822290014
114,9,"-VII",2.20338129084954,3.97095772295779,"IV",2.24348206773849,3.97095772295779,0.0401007768889472
109,25,"-VII",5.54323383963614,4.45996938895012,"#io",5.58768964207448,4.45996938895012,0.0444558024383381
129,7,"-VII",6.49421577522253,4.34228842895339,"iii",6.54124468362767,4.34228842895339,0.0470289084051414
37,8,"-III",5.16841733783397,4.98654220978865,"vi",5.11118044292906,4.98654220978865,0.0572368949049098
88,8,"-III",5.16841733783397,4.98654220978865,"vi",5.11118044292906,4.98654220978865,0.0572368949049098
31,11,"IV",3.53733976984963,4.6005675706279,"v",3.59529081075446,4.6005675706279,0.0579510409048258
82,11,"IV",3.53733976984963,4.6005675706279,"v",3.59529081075446,4.6005675706279,0.0579510409048258
52,5,"IV",1.91704028621611,3.90334575598075,"I",1.97542478337412,3.90334575598075,0.0583844971580119
103,5,"IV",1.91704028621611,3.90334575598075,"I",1.97542478337412,3.90334575598075,0.0583844971580119
159,5,"IV",1.91704028621611,3.90334575598075,"I",1.97542478337412,3.90334575598075,0.0583844971580119
43,13,"-III",3.4989635542466,5.10003484967442,"-VII",3.43582565394523,5.10003484967442,0.0631379003013657
94,13,"-III",3.4989635542466,5.10003484967442,"-VII",3.43582565394523,5.10003484967442,0.0631379003013657
150,13,"-III",3.4989635542466,5.10003484967442,"-VII",3.43582565394523,5.10003484967442,0.0631379003013657
41,12,"I",4.57241158085855,4.6005675706279,"i",4.50846337325604,4.6005675706279,0.0639482076025093
92,12,"I",4.57241158085855,4.6005675706279,"i",4.50846337325604,4.6005675706279,0.0639482076025093
141,12,"I",4.57241158085855,4.6005675706279,"i",4.50846337325604,4.6005675706279,0.0639482076025093
148,12,"I",4.57241158085855,4.6005675706279,"i",4.50846337325604,4.6005675706279,0.0639482076025093
78,10,"-III",5.28306877043071,4.94031295020816,"II",5.34751326610321,4.94031295020816,0.0644444956725012
137,10,"-III",5.51860889077676,4.58248904964871,"II",5.58305338644926,4.58248904964871,0.0644444956725012
130,9,"I",3.55726311343075,5.12047103176035,"IV",3.62404744847438,5.12047103176035,0.0667843350436339
46,13,"V",3.09237734449693,4.84883634012815,"-VII",3.00919573698028,4.84883634012815,0.0831816075166518
97,13,"V",3.09237734449693,4.84883634012815,"-VII",3.00919573698028,4.84883634012815,0.0831816075166518
153,13,"V",3.09237734449693,4.84883634012815,"-VII",3.00919573698028,4.84883634012815,0.0831816075166518
79,13,"IV",3.51906244755204,5.00339909519776,"-VII",3.43482526260106,5.00339909519776,0.0842371849509842
138,13,"IV",3.51906244755204,5.00339909519776,"-VII",3.43482526260106,5.00339909519776,0.0842371849509842
125,11,"I",4.56299314873914,4.49376016409444,"v",4.47708792587114,4.49376016409444,0.0859052228680053
43,5,"-III",3.4989635542466,5.10003484967442,"I",3.41174120834079,5.10003484967442,0.0872223459058064
94,5,"-III",3.4989635542466,5.10003484967442,"I",3.41174120834079,5.10003484967442,0.0872223459058064
143,14,"I",3.41174120834079,5.10003484967442,"-III",3.4989635542466,5.10003484967442,0.0872223459058064
150,5,"-III",3.4989635542466,5.10003484967442,"I",3.41174120834079,5.10003484967442,0.0872223459058064
45,11,"V",4.54295384226329,3.63139758765252,"v",4.63581496983419,3.63139758765252,0.092861127570897
96,11,"V",4.54295384226329,3.63139758765252,"v",4.63581496983419,3.63139758765252,0.092861127570897
152,11,"V",4.54295384226329,3.63139758765252,"v",4.63581496983419,3.63139758765252,0.092861127570897
44,14,"IV",2.76365463588518,4.70388366516476,"-III",2.66871526977327,4.70388366516476,0.0949393661119053
95,14,"IV",2.76365463588518,4.70388366516476,"-III",2.66871526977327,4.70388366516476,0.0949393661119053
151,14,"IV",2.76365463588518,4.70388366516476,"-III",2.66871526977327,4.70388366516476,0.0949393661119053
129,12,"-VII",6.49421577522253,4.34228842895339,"i",6.58954154464692,4.34228842895339,0.0953257694243863
137,7,"-III",5.51860889077676,4.58248904964871,"iii",5.61563801087051,4.58248904964871,0.0970291200937483
78,7,"-III",5.28306877043071,4.94031295020816,"iii",5.38009789052445,4.94031295020816,0.0970291200937492
129,3,"-VII",6.49421577522253,4.34228842895339,"ii",6.39590659727587,4.34228842895339,0.0983091779466641
