"Comparison","Row","Orig_Symbol","Orig_Order","Orig_IC","Orig_Entropy","Swap_Symbol","Swap_Order","Swap_IC","Swap_Entropy","Distance"
1,24,"V",10,4.46355797685776,3.1128269118667,"V",10,4.46355797685776,3.1128269118667,
1,25,"V",6,1.28392733052713,3.71544154643493,"V",6,1.28392733052713,3.71544154643493,
1,26,"I",10,2.37375325604107,4.44518608893642,"I",10,2.37375325604107,4.44518608893642,
1,27,"IV",6,4.87228155275529,4.16802967119784,"IV",6,4.87228155275529,4.16802967119784,
1,28,"I",5,3.00204792718674,4.31889776114262,"I",5,3.00204792718674,4.31889776114262,
1,29,"vi",5,4.55965237428959,5.07922460895543,"-VII",5,4.6033809126073,5.07922460895543,0.0437285383177146
1,30,"v",6,7.01803851392171,4.21168443567582,"v",6,6.69841454611365,3.95066022330638,
1,31,"IV",2,3.91256013426948,5.24341634106616,"IV",2,4.50281813168297,5.29501837552189,
1,32,"I",3,4.58076449156963,5.11484019351635,"I",3,4.76373619113073,4.58540140384276,
1,33,"IV",3,4.06051143902232,5.24314877383196,"IV",3,4.06051143902232,5.24314877383196,
1,34,"I",4,1.81330605393963,4.6241614372143,"I",4,1.81330605393963,4.6241614372143,
,,,,,,,,,,
2,44,"V",9,3.67301056124159,4.67659188207761,"V",9,3.67301056124159,4.67659188207761,
2,45,"V",10,3.76401896010502,4.22014902371508,"V",10,3.76401896010502,4.22014902371508,
2,46,"I",9,3.1057996798968,4.94447898094554,"I",9,3.1057996798968,4.94447898094554,
2,47,"IV",10,1.6610015124483,4.05964818926244,"IV",10,1.6610015124483,4.05964818926244,
2,48,"I",6,2.81639789201753,4.12934221822437,"I",6,2.81639789201753,4.12934221822437,
2,49,"vi",6,4.73787292986031,4.82656259768527,"-VII",6,4.78160146817802,4.82656259768527,0.0437285383177146
2,50,"v",6,7.01803851392171,4.21168443567582,"v",6,6.69841454611365,3.95066022330638,
2,51,"IV",2,3.91256013426948,5.24341634106616,"IV",2,4.50281813168297,5.29501837552189,
2,52,"I",3,4.58076449156963,5.11484019351635,"I",3,4.76373619113073,4.58540140384276,
2,53,"IV",3,4.06051143902232,5.24314877383196,"IV",3,4.06051143902232,5.24314877383196,
2,54,"I",4,1.81330605393963,4.6241614372143,"I",4,1.81330605393963,4.6241614372143,
,,,,,,,,,,
3,55,"V",5,3.12029344681466,5.03468977540941,"V",5,3.12029344681466,5.03468977540941,
3,56,"V",6,2.26586397125736,4.48138047155262,"V",6,2.26586397125736,4.48138047155262,
3,57,"I",7,3.61157133622608,4.58309745322683,"I",7,3.61157133622608,4.58309745322683,
3,58,"IV",7,2.77205441385739,4.34005066951494,"IV",7,2.77205441385739,4.34005066951494,
3,59,"I",6,2.81639789201753,4.12934221822437,"I",6,2.81639789201753,4.12934221822437,
3,60,"vi",6,4.73787292986031,4.82656259768527,"-VII",6,4.78160146817802,4.82656259768527,0.0437285383177146
3,61,"v",6,7.01803851392171,4.21168443567582,"v",6,6.69841454611365,3.95066022330638,
3,62,"IV",2,3.91256013426948,5.24341634106616,"IV",2,4.50281813168297,5.29501837552189,
3,63,"I",3,4.58076449156963,5.11484019351635,"I",3,4.76373619113073,4.58540140384276,
3,64,"IV",3,4.06051143902232,5.24314877383196,"IV",3,4.06051143902232,5.24314877383196,
3,65,"I",4,1.81330605393963,4.6241614372143,"I",4,1.81330605393963,4.6241614372143,
,,,,,,,,,,
