"Row","Symbol","Order","Information_content","Entropy"
1,"r",0,2.53085509538171,5.47634857876957
2,"I",1,1.74874698550192,4.0470645566471
3,"IV",2,3.60816957290947,4.79707845245013
4,"IV",3,4.28207782774467,4.56688145846612
5,"V",4,3.47157497884451,4.88337864033688
6,"iii",5,5.53111141021743,4.46697985178353
7,"vi",4,3.66115275669592,4.59851079707723
8,"ii",4,2.70257999252017,4.86375462475304
9,"V",5,1.08999904169568,3.65169404488028
10,"V",6,3.81840626516916,4.56370353627996
11,"IV",6,5.33933724762721,4.29625737896416
12,"V",4,3.83757496824301,4.63745568638139
13,"I",4,2.97647139824851,4.93195330445
14,"IV",5,3.32560127079936,4.93194520828931
15,"IV",6,5.09256265820164,2.64828923358419
16,"V",5,3.13250243598481,4.85279670251937
17,"iii",6,5.67197805160557,4.32030892427483
18,"vi",4,3.66115275669592,4.59851079707723
19,"ii",4,2.70257999252017,4.86375462475304
20,"V",5,1.08999904169568,3.65169404488028
21,"V",6,3.81840626516916,4.56370353627996
22,"I",6,3.52103463154748,4.29625737896416
23,"IV",5,3.18045758208164,4.98029195106989
24,"IV",6,4.04360037423575,4.25543221818245
25,"V",5,4.07477902319884,4.65213342238219
26,"iii",5,5.67197805160557,4.29130373579672
27,"vi",4,3.66115275669592,4.59851079707723
28,"ii",4,2.70257999252017,4.86375462475304
29,"V",5,1.08999904169568,3.65169404488028
30,"V",6,3.81840626516916,4.56370353627996
31,"I",6,3.52103463154748,4.29625737896416
32,"IV",5,3.18045758208164,4.98029195106989
33,"IV",6,4.04360037423575,4.25543221818245
34,"V",5,4.07477902319884,4.65213342238219
35,"iii",5,5.67197805160557,4.29130373579672
36,"vi",4,3.66115275669592,4.59851079707723
37,"ii",4,2.70257999252017,4.86375462475304
38,"V",5,1.08999904169568,3.65169404488028
39,"V",6,3.81840626516916,4.56370353627996
40,"iii",6,1.97808674581157,4.29625737896416
41,"IV",6,5.7506123648924,2.58203694951205
42,"iii",4,3.93622736961518,4.35641926613391
43,"vi",4,4.31954957090166,4.04332422151588
44,"ii",4,3.5909218845604,4.35925765935601
45,"iii",4,2.59928912220469,4.64433504301869
46,"IV",5,3.77816312692236,2.33697123221768
47,"iii",4,4.10200580437083,3.79287247123781
48,"vi",4,4.04576013800308,4.6839688492409
49,"ii",4,3.5909218845604,4.35925765935601
50,"iii",4,2.59928912220469,4.64433504301869
51,"IV",5,3.77816312692236,2.33697123221768
52,"iii",4,4.10200580437083,3.79287247123781
53,"vi",4,4.04576013800308,4.6839688492409
54,"ii",4,3.5909218845604,4.35925765935601
55,"II",4,4.84274652106059,4.64433504301869
56,"V",4,2.69290184872694,4.01101452460142
57,"I",4,2.78316051257638,4.74518596002497
58,"IV",4,2.07192034780248,4.89275058054713
59,"IV",5,1.36052959524483,3.93016490321291
60,"V",5,4.25264434665103,4.20518324279275
61,"iii",5,5.67197805160557,4.29130373579672
62,"vi",4,3.66115275669592,4.59851079707723
63,"ii",4,2.70257999252017,4.86375462475304
64,"V",5,1.08999904169568,3.65169404488028
65,"V",6,3.81840626516916,4.56370353627996
66,"I",6,3.52103463154748,4.29625737896416
67,"IV",5,3.18045758208164,4.98029195106989
68,"IV",6,4.04360037423575,4.25543221818245
69,"V",5,4.07477902319884,4.65213342238219
70,"iii",5,5.67197805160557,4.29130373579672
71,"vi",4,3.66115275669592,4.59851079707723
72,"ii",4,2.70257999252017,4.86375462475304
73,"V",5,1.08999904169568,3.65169404488028
74,"V",6,3.81840626516916,4.56370353627996
75,"I",6,3.52103463154748,4.29625737896416
76,"IV",5,3.18045758208164,4.98029195106989
77,"IV",6,4.04360037423575,4.25543221818245
