"Comparison","Row","Orig_Symbol","Orig_Order","Orig_IC","Orig_Entropy","Swap_Symbol","Swap_Order","Swap_IC","Swap_Entropy","Distance"
1,28,"iv",4,4.19608586636346,3.91133073995357,"iv",4,4.19608586636346,3.91133073995357,
1,29,"ii",4,4.75773085836528,4.12774555578992,"ii",4,4.75773085836528,4.12774555578992,
1,30,"V",3,3.38691096427721,3.95284206480957,"V",3,3.38691096427721,3.95284206480957,
1,31,"i",3,5.85793842488239,4.41830502770305,"i",3,5.85793842488239,4.41830502770305,
1,32,"VII",3,7.61060464032619,4.53072223985659,"VII",3,7.61060464032619,4.53072223985659,
1,33,"#IV",1,7.20465970174239,4.97485989599695,"-V",1,7.20465970174239,4.97485989599695,0
1,34,"VII",1,4.80283882188744,4.94203333884376,"VII",1,6.52825598605405,5.0182669953613,
1,35,"III",2,5.36919300011826,3.92500125837812,"III",1,4.68450941936672,4.97485989599695,
1,36,"III",2,2.53795486783073,4.61803229780644,"III",2,2.53795486783073,4.61803229780644,
1,37,"#IV",3,7.71155307241015,4.29781054380798,"#IV",3,7.71155307241015,4.29781054380798,
1,38,"-VI",1,6.61596499350418,4.94203333884376,"-VI",1,6.61596499350418,4.94203333884376,
,,,,,,,,,,
2,32,"VII",3,7.61060464032619,4.53072223985659,"VII",3,7.61060464032619,4.53072223985659,
2,33,"#IV",1,7.20465970174239,4.97485989599695,"#IV",1,7.20465970174239,4.97485989599695,
2,34,"VII",1,4.80283882188744,4.94203333884376,"VII",1,4.80283882188744,4.94203333884376,
2,35,"III",2,5.36919300011826,3.92500125837812,"III",2,5.36919300011826,3.92500125837812,
2,36,"III",2,2.53795486783073,4.61803229780644,"III",2,2.53795486783073,4.61803229780644,
2,37,"#IV",3,7.71155307241015,4.29781054380798,"-V",3,7.71155307241015,4.29781054380798,0
2,38,"-VI",1,6.61596499350418,4.94203333884376,"-VI",1,6.23874936885906,5.0182669953613,
2,39,"i",1,4.98479492835623,5.12630089910972,"i",1,4.98479492835623,5.12630089910972,
2,40,"i",2,3.68622378336953,4.94766553840266,"i",2,3.68622378336953,4.94766553840266,
2,41,"i",3,3.03964976841603,4.78027118676015,"i",3,3.03964976841603,4.78027118676015,
