"Row","Symbol","Order","Information_content","Entropy"
1,"r",0,2.53085509538171,5.47634857876957
2,"I",1,1.74874698550192,4.0470645566471
3,"I",2,2.20046829427291,4.79859356102467
4,"I",3,1.98156719156254,4.76194456656204
5,"I",4,1.5798194038242,4.43687984018319
6,"I",5,1.2616926996204,3.88650960547304
7,"I",6,1.88979591077031,4.66416159969298
8,"I",7,1.81674642526517,4.54676262824429
9,"I",8,1.43140257348363,4.23491769009239
10,"I",9,2.14614613476184,4.76682565760099
11,"I",10,1.36223039848611,4.05482808882525
12,"I",10,0.530457027883414,2.34338715519855
13,"I",10,0.530457027883414,2.34338715519855
14,"I",10,0.530457027883414,2.34338715519855
15,"I",10,0.530457027883414,2.34338715519855
16,"I",10,0.530457027883414,2.34338715519855
17,"I",10,0.530457027883414,2.34338715519855
18,"I",10,0.530457027883414,2.34338715519855
19,"I",10,0.530457027883414,2.34338715519855
20,"V",10,5.59514025548678,2.34338715519855
21,"V",10,2.11875987991711,4.31764712552234
22,"I",10,3.19976555379875,4.39058288031242
23,"I",10,0.584270632276137,2.4274934825424
24,"IV",10,1.85258433999538,4.01632453312897
25,"II",10,3.84865978068588,4.31292280266004
26,"I",7,3.68868538032941,3.99485931152883
27,"V",5,4.19024590502785,3.31714104797246
28,"IV",4,5.33088462428474,3.06402117179472
29,"I",4,3.85979985590942,4.7283714719608
30,"I",4,3.35436793545396,4.96414267047816
31,"I",5,3.09148542950858,4.99425928583115
32,"I",6,2.32091088302861,4.46528575915199
33,"I",7,1.33311449461024,4.04082768574382
34,"I",8,2.08311051503908,4.51780508916609
35,"I",9,2.22892405060835,4.47271594743799
36,"I",9,0.777166658431928,3.14732590729602
37,"I",10,0.762001596409253,3.1028922061637
38,"I",10,1.28914647829487,3.93471308342986
39,"I",10,0.530457027883414,2.34338715519855
40,"I",10,0.530457027883414,2.34338715519855
41,"I",10,0.530457027883414,2.34338715519855
42,"V",10,5.59514025548678,2.34338715519855
43,"V",10,2.11875987991711,4.31764712552234
44,"I",10,3.19976555379875,4.39058288031242
45,"I",10,0.584270632276137,2.4274934825424
46,"IV",10,1.85258433999538,4.01632453312897
47,"II",10,3.84865978068588,4.31292280266004
48,"I",7,3.68868538032941,3.99485931152883
49,"V",5,4.19024590502785,3.31714104797246
50,"I",4,0.734906466911736,3.06402117179472
51,"I",6,3.71093462255849,4.95134451585232
52,"I",6,2.95992427152465,4.40028778051764
53,"I",6,1.67221808657952,4.34687578278586
54,"I",7,1.86918907795569,4.40460614874695
55,"I",8,1.79803751809518,4.4675963370569
56,"I",9,1.74738941828196,4.33736411546187
57,"I",10,2.6755759435514,4.56398619058881
58,"V",10,2.81311145162717,4.58816111436113
59,"V",10,1.75220753758377,3.92646632490774
60,"I",10,3.19976555379875,4.39058288031242
61,"I",10,0.584270632276137,2.4274934825424
62,"IV",10,1.85258433999538,4.01632453312897
63,"IV",10,1.99373338158627,4.31292280266004
64,"I",10,1.22742834147768,3.5795860319697
65,"V",10,1.75162235066077,3.41133394607577
66,"I",10,1.31527263587955,3.57754452869149
67,"I",10,0.642099282268557,2.75190829455296
68,"I",10,1.37282058242618,3.5300448773186
69,"I",10,1.53973316412926,3.74745388513559
70,"I",10,2.10391327288145,4.06579727975713
71,"I",10,1.73357236735084,4.32361937976141
72,"I",10,1.85172964597445,4.1464095889577
73,"I",10,2.06323804846025,4.47394647927976
74,"V",10,2.81311145162717,4.58816111436113
75,"V",10,1.75220753758377,3.92646632490774
76,"I",10,3.19976555379875,4.39058288031242
77,"I",10,0.584270632276137,2.4274934825424
78,"IV",10,1.85258433999538,4.01632453312897
79,"II",10,3.84865978068588,4.31292280266004
