"Comparison","Row","Orig_Symbol","Orig_Order","Orig_IC","Orig_Entropy","Swap_Symbol","Swap_Order","Swap_IC","Swap_Entropy","Distance"
1,9,"V",4,2.93754701967511,4.73676155028497,"V",4,2.93754701967511,4.73676155028497,
1,10,"I",4,4.27342015820964,4.50255103854733,"I",4,4.27342015820964,4.50255103854733,
1,11,"iii",4,4.8579474618327,5.12980062457704,"iii",4,4.8579474618327,5.12980062457704,
1,12,"-iii",5,5.94575675980697,3.93554276110165,"-iii",5,5.94575675980697,3.93554276110165,
1,13,"ii",2,0.509999005769869,2.49643613743701,"ii",2,0.509999005769869,2.49643613743701,
1,14,"V",5,2.62591747087503,4.84390016810032,"ii",5,2.67449343879588,4.84390016810032,0.0485759679208524
1,15,"I",3,2.10490700318068,4.87376407631772,"I",3,4.92901470037195,3.96443756634571,
1,16,"iii",4,5.40931251378757,5.21956326105208,"iii",3,4.93158298007685,5.23787805437724,
1,17,"-iii",4,5.69916115900916,4.32200336482437,"-iii",4,6.5131907974866,4.34645367590074,
1,18,"ii",2,0.509999005769869,2.49643613743701,"ii",2,0.509999005769869,2.49643613743701,
1,19,"V",5,2.62591747087503,4.84390016810032,"V",4,2.62591747087503,4.84390016810032,
,,,,,,,,,,
2,14,"V",5,2.62591747087503,4.84390016810032,"V",5,2.62591747087503,4.84390016810032,
2,15,"I",3,2.10490700318068,4.87376407631772,"I",3,2.10490700318068,4.87376407631772,
2,16,"iii",4,5.40931251378757,5.21956326105208,"iii",4,5.40931251378757,5.21956326105208,
2,17,"-iii",4,5.69916115900916,4.32200336482437,"-iii",4,5.69916115900916,4.32200336482437,
2,18,"ii",2,0.509999005769869,2.49643613743701,"ii",2,0.509999005769869,2.49643613743701,
2,19,"V",5,2.62591747087503,4.84390016810032,"ii",5,2.67449343879588,4.84390016810032,0.0485759679208524
2,20,"I",3,2.10490700318068,4.87376407631772,"I",3,4.92901470037195,3.96443756634571,
2,21,"iii",4,5.40931251378757,5.21956326105208,"iii",3,4.93158298007685,5.23787805437724,
2,22,"-iii",4,5.69916115900916,4.32200336482437,"-iii",4,6.5131907974866,4.34645367590074,
2,23,"ii",2,0.509999005769869,2.49643613743701,"ii",2,0.509999005769869,2.49643613743701,
2,24,"V",5,2.62591747087503,4.84390016810032,"V",4,2.62591747087503,4.84390016810032,
,,,,,,,,,,
3,19,"V",5,2.62591747087503,4.84390016810032,"V",5,2.62591747087503,4.84390016810032,
3,20,"I",3,2.10490700318068,4.87376407631772,"I",3,2.10490700318068,4.87376407631772,
3,21,"iii",4,5.40931251378757,5.21956326105208,"iii",4,5.40931251378757,5.21956326105208,
