"swapped_idx","alphabet_idx","true_chord","true_ic","true_ent","swapped_chord","swapped_ic","swapped_ent","dist"
23,12,"ii",6.78011895228638,4.06441723517257,"i",6.78011895228638,4.06441723517257,0
39,12,"ii",6.78011895228638,4.06441723517257,"i",6.78011895228638,4.06441723517257,0
67,12,"ii",6.78011895228638,4.06441723517257,"i",6.78011895228638,4.06441723517257,0
83,12,"ii",6.78011895228638,4.06441723517257,"i",6.78011895228638,4.06441723517257,0
111,12,"ii",6.78011895228638,4.06441723517257,"i",6.78011895228638,4.06441723517257,0
35,3,"V",5.8603077503593,3.08898319529762,"ii",5.85812649050236,3.08898319529762,0.00218125985693618
79,3,"V",5.8603077503593,3.08898319529762,"ii",5.85812649050236,3.08898319529762,0.00218125985693618
35,8,"V",5.8603077503593,3.08898319529762,"vi",5.86455545074448,3.08898319529762,0.00424770038518485
79,8,"V",5.8603077503593,3.08898319529762,"vi",5.86455545074448,3.08898319529762,0.00424770038518485
53,4,"vi",4.58318898702402,4.94328878727608,"V",4.57694045022002,4.94328878727608,0.00624853680399173
97,4,"vi",4.58318898702402,4.94328878727608,"V",4.57694045022002,4.94328878727608,0.00624853680399173
9,5,"V",3.97800392357288,4.63689780982529,"I",3.98449394251306,4.63689780982529,0.00649001894017731
124,5,"V",3.97800392357288,4.63689780982529,"I",3.98449394251306,4.63689780982529,0.00649001894017731
35,13,"V",5.8603077503593,3.08898319529762,"-VII",5.84919388143111,3.08898319529762,0.0111138689281862
79,13,"V",5.8603077503593,3.08898319529762,"-VII",5.84919388143111,3.08898319529762,0.0111138689281862
49,3,"IV",5.81097065302013,3.36369111233468,"ii",5.82900021562122,3.36369111233468,0.0180295626010931
55,3,"IV",6.0219178531827,3.15428544958686,"ii",6.0399474157838,3.15428544958686,0.0180295626010931
93,3,"IV",5.81097065302013,3.36369111233468,"ii",5.82900021562122,3.36369111233468,0.0180295626010931
99,3,"IV",6.0219178531827,3.15428544958686,"ii",6.0399474157838,3.15428544958686,0.0180295626010931
8,15,"V",3.53932019652109,5.05516297021516,"-VI",3.56205315405701,5.05516297021516,0.0227329575359256
123,15,"V",3.53932019652109,5.05516297021516,"-VI",3.56205315405701,5.05516297021516,0.0227329575359256
65,10,"vi",5.24111139262101,3.50547834082081,"II",5.26946037570318,3.50547834082081,0.028348983082167
109,10,"vi",5.24111139262101,3.50547834082081,"II",5.26946037570318,3.50547834082081,0.028348983082167
23,19,"ii",6.78011895228638,4.06441723517257,"iv",6.82163822172464,4.06441723517257,0.0415192694382664
39,19,"ii",6.78011895228638,4.06441723517257,"iv",6.82163822172464,4.06441723517257,0.0415192694382664
67,19,"ii",6.78011895228638,4.06441723517257,"iv",6.82163822172464,4.06441723517257,0.0415192694382664
83,19,"ii",6.78011895228638,4.06441723517257,"iv",6.82163822172464,4.06441723517257,0.0415192694382664
111,19,"ii",6.78011895228638,4.06441723517257,"iv",6.82163822172464,4.06441723517257,0.0415192694382664
26,7,"-VII",5.06897773264097,5.39910414941247,"iii",5.11611067157876,5.39910414941247,0.0471329389377964
42,7,"-VII",5.06897773264097,5.39910414941247,"iii",5.11611067157876,5.39910414941247,0.0471329389377964
70,7,"-VII",5.06897773264097,5.39910414941247,"iii",5.11611067157876,5.39910414941247,0.0471329389377964
86,7,"-VII",5.06897773264097,5.39910414941247,"iii",5.11611067157876,5.39910414941247,0.0471329389377964
114,7,"-VII",5.06897773264097,5.39910414941247,"iii",5.11611067157876,5.39910414941247,0.0471329389377964
52,4,"I",3.28841464516418,5.05916691084254,"V",3.34354156769011,5.05916691084254,0.0551269225259334
58,4,"I",3.28841464516418,5.05916691084254,"V",3.34354156769011,5.05916691084254,0.0551269225259334
96,4,"I",3.28841464516418,5.05916691084254,"V",3.34354156769011,5.05916691084254,0.0551269225259334
102,4,"I",3.28841464516418,5.05916691084254,"V",3.34354156769011,5.05916691084254,0.0551269225259334
120,9,"V",4.81923878081062,4.57158108738289,"IV",4.76235617655091,4.57158108738289,0.0568826042597097
63,9,"V",3.17454191177975,4.64049399664871,"IV",3.23592859539843,4.64049399664871,0.0613866836186769
107,9,"V",3.17454191177975,4.64049399664871,"IV",3.23592859539843,4.64049399664871,0.0613866836186769
121,18,"v",7.27314708849713,4.18808964353578,"III",7.21089370715011,4.18808964353578,0.0622533813470225
121,19,"v",7.27314708849713,4.18808964353578,"iv",7.19834239031648,4.18808964353578,0.0748046981806532
23,10,"ii",6.78011895228638,4.06441723517257,"II",6.86438786918398,4.06441723517257,0.0842689168976039
39,10,"ii",6.78011895228638,4.06441723517257,"II",6.86438786918398,4.06441723517257,0.0842689168976039
67,10,"ii",6.78011895228638,4.06441723517257,"II",6.86438786918398,4.06441723517257,0.0842689168976039
83,10,"ii",6.78011895228638,4.06441723517257,"II",6.86438786918398,4.06441723517257,0.0842689168976039
111,10,"ii",6.78011895228638,4.06441723517257,"II",6.86438786918398,4.06441723517257,0.0842689168976039
53,3,"vi",4.58318898702402,4.94328878727608,"ii",4.67279860867248,4.94328878727608,0.0896096216484592
97,3,"vi",4.58318898702402,4.94328878727608,"ii",4.67279860867248,4.94328878727608,0.0896096216484592
47,4,"vi",5.05200756456951,4.36860039981895,"V",4.96205610674632,4.36860039981895,0.0899514578231875
91,4,"vi",5.05200756456951,4.36860039981895,"V",4.96205610674632,4.36860039981895,0.0899514578231875
26,8,"-VII",5.06897773264097,5.39910414941247,"vi",4.97527312353492,5.39910414941247,0.0937046091060427
42,8,"-VII",5.06897773264097,5.39910414941247,"vi",4.97527312353492,5.39910414941247,0.0937046091060427
70,8,"-VII",5.06897773264097,5.39910414941247,"vi",4.97527312353492,5.39910414941247,0.0937046091060427
86,8,"-VII",5.06897773264097,5.39910414941247,"vi",4.97527312353492,5.39910414941247,0.0937046091060427
114,8,"-VII",5.06897773264097,5.39910414941247,"vi",4.97527312353492,5.39910414941247,0.0937046091060427
