"swapped_idx","alphabet_idx","true_chord","true_ic","true_ent","swapped_chord","swapped_ic","swapped_ent","dist"
27,11,"iv",7.13202875697778,1.89353742148527,"v",7.12766752318229,1.89353742148527,0.00436123379548992
39,11,"i",5.41115324565431,4.23576007654187,"v",5.40663259701319,4.23576007654187,0.0045206486411189
63,11,"i",5.41115324565431,4.23576007654187,"v",5.40663259701319,4.23576007654187,0.0045206486411189
83,11,"i",5.41115324565431,4.23576007654187,"v",5.40663259701319,4.23576007654187,0.0045206486411189
111,11,"i",5.14956355834624,4.61940896926654,"v",5.14504290970512,4.61940896926654,0.0045206486411189
208,11,"i",5.14956355834624,4.61940896926654,"v",5.14504290970512,4.61940896926654,0.0045206486411189
41,12,"-III",2.62274873691295,4.72966598927402,"i",2.61760433322745,4.72966598927402,0.00514440368549662
85,12,"-III",2.62274873691295,4.72966598927402,"i",2.61760433322745,4.72966598927402,0.00514440368549662
113,12,"-III",2.62274873691295,4.72966598927402,"i",2.61760433322745,4.72966598927402,0.00514440368549662
210,12,"-III",2.62274873691295,4.72966598927402,"i",2.61760433322745,4.72966598927402,0.00514440368549662
53,4,"-VI",4.17581384469645,5.17701671755099,"V",4.16503746477676,5.17701671755099,0.0107763799196858
101,4,"-VI",4.17581384469645,5.17701671755099,"V",4.16503746477676,5.17701671755099,0.0107763799196858
198,4,"-VI",4.17581384469645,5.17701671755099,"V",4.16503746477676,5.17701671755099,0.0107763799196858
119,3,"i",3.36674292979634,4.85499796597114,"ii",3.35446303852047,4.85499796597114,0.0122798912758664
216,3,"i",3.36674292979634,4.85499796597114,"ii",3.35446303852047,4.85499796597114,0.0122798912758664
105,12,"-III",4.06748081046706,4.70298949304646,"i",4.05402441045315,4.70298949304646,0.0134564000139168
202,12,"-III",4.06748081046706,4.70298949304646,"i",4.05402441045315,4.70298949304646,0.0134564000139168
40,5,"ii",5.21760762605523,5.20113105281711,"I",5.24145671454389,5.20113105281711,0.0238490884886611
84,5,"ii",5.21760762605523,5.20113105281711,"I",5.24145671454389,5.20113105281711,0.0238490884886611
112,5,"ii",5.21760762605523,5.20113105281711,"I",5.24145671454389,5.20113105281711,0.0238490884886611
209,5,"ii",5.21760762605523,5.20113105281711,"I",5.24145671454389,5.20113105281711,0.0238490884886611
109,9,"-VII",4.20407528306709,5.17132545984237,"IV",4.22958139209137,5.17132545984237,0.0255061090242759
206,9,"-VII",4.20407528306709,5.17132545984237,"IV",4.22958139209137,5.17132545984237,0.0255061090242759
