"Comparison","Row","Orig_Symbol","Orig_Order","Orig_IC","Orig_Entropy","Swap_Symbol","Swap_Order","Swap_IC","Swap_Entropy","Distance"
1,21,"I",10,1.30411757655338,3.95463309993018,"I",10,1.30411757655338,3.95463309993018,
1,22,"I",10,0.526451362610511,2.33071842380552,"I",10,0.526451362610511,2.33071842380552,
1,23,"I",10,0.526451362610511,2.33071842380552,"I",10,0.526451362610511,2.33071842380552,
1,24,"I",10,0.526451362610511,2.33071842380552,"I",10,0.526451362610511,2.33071842380552,
1,25,"I",10,0.526451362610511,2.33071842380552,"I",10,0.526451362610511,2.33071842380552,
1,26,"-III",10,6.26847175224768,2.33071842380552,"vi",10,6.29850792800611,2.33071842380552,0.0300361757584282
1,27,"IV",10,2.82828487538266,4.63084836650315,"IV",10,3.64452910496512,3.61784308196146,
1,28,"I",10,1.58714905823896,3.71312491758981,"I",7,3.86994394315993,2.81877763439037,
1,29,"I",10,2.63091510017938,3.34895591163874,"I",6,2.18069394531921,4.30218691684799,
1,30,"-III",10,1.47021624719736,3.93355807579784,"-III",7,5.98888650145317,4.70886698056411,
1,31,"IV",5,0.0953687582357848,0.669764925331642,"IV",4,3.17307472950938,5.04457438304539,
,,,,,,,,,,
2,45,"I",7,2.2132153329842,4.78790556703311,"I",7,2.2132153329842,4.78790556703311,
2,46,"I",8,2.30238497688799,4.79837756028982,"I",8,2.30238497688799,4.79837756028982,
2,47,"I",9,2.09950827325497,4.79450751670108,"I",9,2.09950827325497,4.79450751670108,
2,48,"I",10,1.92783679932802,4.62664139659296,"I",10,1.92783679932802,4.62664139659296,
2,49,"I",10,0.757561533419688,3.10180180034488,"I",10,0.757561533419688,3.10180180034488,
2,50,"-III",10,6.26847175224768,2.33071842380552,"vi",10,6.29850792800611,2.33071842380552,0.0300361757584282
2,51,"IV",10,2.82828487538266,4.63084836650315,"IV",10,3.64452910496512,3.61784308196146,
2,52,"I",10,1.58714905823896,3.71312491758981,"I",7,3.86994394315993,2.81877763439037,
2,53,"I",10,2.63091510017938,3.34895591163874,"I",6,2.18069394531921,4.30218691684799,
2,54,"-III",10,1.47021624719736,3.93355807579784,"-III",7,5.98888650145317,4.70886698056411,
2,55,"IV",5,0.0953687582357848,0.669764925331642,"IV",4,3.17307472950938,5.04457438304539,
,,,,,,,,,,
3,77,"I",9,1.84358767857479,4.60783405709436,"I",9,1.84358767857479,4.60783405709436,
3,78,"I",10,1.83485142850254,4.52849716935897,"I",10,1.83485142850254,4.52849716935897,
3,79,"I",10,1.30411757655338,3.95463309993018,"I",10,1.30411757655338,3.95463309993018,
3,80,"I",10,0.526451362610511,2.33071842380552,"I",10,0.526451362610511,2.33071842380552,
3,81,"I",10,0.526451362610511,2.33071842380552,"I",10,0.526451362610511,2.33071842380552,
3,82,"-III",10,6.26847175224768,2.33071842380552,"vi",10,6.29850792800611,2.33071842380552,0.0300361757584282
3,83,"IV",10,2.82828487538266,4.63084836650315,"IV",10,3.64452910496512,3.61784308196146,
3,84,"I",10,1.58714905823896,3.71312491758981,"I",7,3.86994394315993,2.81877763439037,
3,85,"I",10,2.63091510017938,3.34895591163874,"I",6,2.18069394531921,4.30218691684799,
3,86,"-III",10,1.47021624719736,3.93355807579784,"-III",7,5.98888650145317,4.70886698056411,
3,87,"IV",5,0.0953687582357848,0.669764925331642,"IV",4,3.17307472950938,5.04457438304539,
,,,,,,,,,,
4,100,"I",6,1.25208392944864,3.95841318147462,"I",6,1.25208392944864,3.95841318147462,
4,101,"I",7,2.2132153329842,4.78790556703311,"I",7,2.2132153329842,4.78790556703311,
4,102,"I",8,2.30238497688799,4.79837756028982,"I",8,2.30238497688799,4.79837756028982,
4,103,"I",9,2.09950827325497,4.79450751670108,"I",9,2.09950827325497,4.79450751670108,
4,104,"-III",10,5.31877068954048,4.62664139659296,"-III",10,5.31877068954048,4.62664139659296,
4,105,"-III",9,3.40546565779115,4.9398885115714,"-VII",9,3.34592742258228,4.9398885115714,0.0595382352088696
4,106,"IV",7,4.29459007884387,3.21723616877561,"IV",10,2.31722585117256,3.85766143031696,
4,107,"I",6,2.93220935532385,3.66427104867727,"I",5,0.724960058875023,2.88769698518053,
4,108,"I",4,2.19756746373656,4.90154731226889,"I",6,5.42405713549577,2.81563404915014,
4,109,"I",5,3.65885220619794,4.67195687191988,"I",4,3.18417002559937,5.06430280541201,
4,110,"I",5,3.05425636183528,5.01672366489092,"I",5,2.66299009401622,5.04055769896217,
,,,,,,,,,,
