"Row","Symbol","Order","Information_content","Entropy"
1,"r",0,2.53085509538171,5.47634857876957
2,"I",1,1.74874698550192,4.0470645566471
3,"V",2,3.96088151639943,4.79670005186907
4,"-VII",3,6.13850433836727,4.16712042860805
5,"I",3,3.26400790326682,4.59553820104803
6,"I",4,2.77888981650488,4.85152124695818
7,"V",5,2.97437753663466,4.84879374657749
8,"-VII",5,1.01369026377307,3.49874175928884
9,"I",5,4.70598430690412,2.42123315814705
10,"I",4,2.77888981650488,4.85152124695818
11,"I",5,4.38380439836951,4.84879374657749
12,"I",4,3.05914198901722,5.14463129257454
13,"I",5,2.9969060990549,5.0329258686697
14,"V",6,4.47194125426478,5.10534129771426
15,"I",7,3.30029620584636,4.50253836811732
16,"I",7,2.38878506686219,4.43407689471466
17,"I",8,2.13877920343747,4.22057879803104
18,"I",9,1.55773498625016,3.97963654070624
19,"I",10,1.25579595058638,3.51976411118671
20,"I",10,1.07433122358123,3.42070480656881
21,"I",10,2.26363827934443,4.5718168075873
22,"I",10,1.40992662649392,3.95171410248885
23,"IV",10,3.64529882671603,4.463917727193
24,"IV",10,0.860396429816219,3.10033282187012
25,"I",10,2.27306794682334,3.85061421026671
26,"I",10,0.39499330934149,1.8632313884865
27,"V",10,1.45641857003005,3.92391367095992
28,"IV",10,0.975256480254879,3.1324610985959
29,"I",10,0.44274606981275,1.93920667889341
30,"r",10,4.80433044217652,2.23589445930727
31,"I",4,3.45858052248308,1.77458927589023
32,"IV",4,3.25569869911172,4.52460093310367
33,"I",5,1.27295613969306,3.87899504751703
34,"IV",6,1.27563030569825,3.59794772349104
35,"I",7,1.45039260719676,4.12611967122005
36,"IV",7,1.44433581574548,4.18369423258566
37,"I",8,1.10307990973559,3.64309196925402
38,"IV",9,1.4572049288326,4.08474906486996
39,"V",10,3.37556558774695,3.59951203628446
40,"IV",10,3.38281538222516,4.27025529719622
41,"I",10,2.70640824833547,3.92267824826135
42,"r",9,4.5815449755044,3.12047290715357
43,"I",4,2.56233552435792,2.80079406347954
44,"I",4,2.18349698298097,4.52460093310367
45,"I",5,1.50047475661039,4.30516884141325
46,"I",6,1.06068414780776,3.69852645934196
47,"V",7,4.5828733846093,3.72850128704309
48,"IV",6,4.13869489342662,4.25693963954314
49,"II",6,5.44463116564814,4.09916736358826
50,"V",5,1.62210861856707,4.27607618068734
51,"I",4,4.19681332225064,3.11638892015178
52,"I",4,3.44688198192547,5.26767973364501
53,"I",5,3.18421262563452,5.03413068633359
54,"I",6,1.67360532463884,4.4521008010607
55,"I",7,1.57995610899068,4.23486276031585
56,"I",8,2.38626183907076,4.27887661821448
57,"I",8,2.77401800489913,4.91889197103583
58,"I",9,2.1613250764944,4.78921031599502
59,"IV",10,4.04734061304708,4.40546358032974
60,"IV",10,0.860396429816219,3.10033282187012
61,"I",10,2.27306794682334,3.85061421026671
62,"I",10,0.39499330934149,1.8632313884865
63,"V",10,1.45641857003005,3.92391367095992
64,"IV",10,0.975256480254879,3.1324610985959
65,"I",10,0.44274606981275,1.93920667889341
66,"r",10,4.80433044217652,2.23589445930727
67,"I",4,3.45858052248308,1.77458927589023
68,"IV",4,3.25569869911172,4.52460093310367
69,"I",5,1.27295613969306,3.87899504751703
70,"IV",6,1.27563030569825,3.59794772349104
71,"I",7,1.45039260719676,4.12611967122005
72,"IV",7,1.44433581574548,4.18369423258566
73,"I",8,1.10307990973559,3.64309196925402
74,"IV",9,1.4572049288326,4.08474906486996
75,"V",10,3.37556558774695,3.59951203628446
76,"IV",10,3.38281538222516,4.27025529719622
77,"I",10,2.70640824833547,3.92267824826135
78,"r",9,4.5815449755044,3.12047290715357
79,"I",4,2.56233552435792,2.80079406347954
80,"IV",4,3.25569869911172,4.52460093310367
81,"I",5,1.27295613969306,3.87899504751703
82,"IV",6,1.27563030569825,3.59794772349104
83,"I",7,1.45039260719676,4.12611967122005
84,"IV",7,1.44433581574548,4.18369423258566
85,"I",8,1.10307990973559,3.64309196925402
86,"IV",9,1.4572049288326,4.08474906486996
87,"I",10,1.10550722230854,3.59951203628446
88,"IV",10,0.99250252137628,3.41734259847346
89,"I",10,0.602971418517572,2.46932639257552
90,"IV",10,0.336736317167936,1.67807396714594
91,"I",10,0.602971418517572,2.46932639257552
92,"IV",10,0.336736317167936,1.67807396714594
93,"I",10,0.602971418517572,2.46932639257552
94,"IV",10,0.336736317167936,1.67807396714594
95,"r",10,4.0628599438766,2.46932639257552
96,"r",5,0.274636378974408,1.29104522740515
