"swapped_idx","alphabet_idx","true_chord","true_ic","true_ent","swapped_chord","swapped_ic","swapped_ent","dist"
10,8,"-VII",5.72648460762932,3.32332308528765,"vi",5.75910302683328,3.32332308528765,0.0326184192039642
34,19,"-VI",5.79614719948574,1.83533895566217,"iv",5.84986749409272,1.83533895566217,0.0537202946069737
82,19,"-VI",5.79614719948574,1.83533895566217,"iv",5.84986749409272,1.83533895566217,0.0537202946069737
138,19,"-VI",5.79614719948574,1.83533895566217,"iv",5.84986749409272,1.83533895566217,0.0537202946069737
20,11,"i",3.12834981542314,4.1144439355942,"v",3.05986016327499,4.1144439355942,0.0684896521481475
34,13,"-VI",5.79614719948574,1.83533895566217,"-VII",5.86465036807886,1.83533895566217,0.0685031685931179
82,13,"-VI",5.79614719948574,1.83533895566217,"-VII",5.86465036807886,1.83533895566217,0.0685031685931179
138,13,"-VI",5.79614719948574,1.83533895566217,"-VII",5.86465036807886,1.83533895566217,0.0685031685931179
41,15,"i",2.32570706993558,4.19707721976099,"-VI",2.24306879656981,4.19707721976099,0.0826382733657729
89,15,"i",2.32570706993558,4.19707721976099,"-VI",2.24306879656981,4.19707721976099,0.0826382733657729
145,15,"i",2.32570706993558,4.19707721976099,"-VI",2.24306879656981,4.19707721976099,0.0826382733657729
35,12,"-VII",2.55938204623207,3.26267332190654,"i",2.65192091252914,3.26267332190654,0.0925388662970721
83,12,"-VII",2.55938204623207,3.26267332190654,"i",2.65192091252914,3.26267332190654,0.0925388662970721
139,12,"-VII",2.55938204623207,3.26267332190654,"i",2.65192091252914,3.26267332190654,0.0925388662970721
