"Comparison","Row","Orig_Symbol","Orig_Order","Orig_IC","Orig_Entropy","Swap_Symbol","Swap_Order","Swap_IC","Swap_Entropy","Distance"
1,5,"I",3,5.66343683060613,5.0222039364442,"I",3,5.66343683060613,5.0222039364442,
1,6,"I",2,4.24849079979974,5.40218208980938,"I",2,4.24849079979974,5.40218208980938,
1,7,"-III",3,5.64211559934645,5.36028582472997,"-III",3,5.64211559934645,5.36028582472997,
1,8,"-VI",3,4.88812172184542,5.24521025379164,"-VI",3,4.88812172184542,5.24521025379164,
1,9,"I",4,5.98701847442831,4.4893978274012,"I",4,5.98701847442831,4.4893978274012,
1,10,"i",2,5.80640049671394,5.40218208980938,"I+",2,5.81925376452578,5.40218208980938,0.0128532678118383
1,11,"i",2,4.21174088322758,5.31931013771381,"i",3,7.10129370203106,3.64269906450951,
1,12,"iv",3,4.37198042237026,5.20760181763722,"iv",1,5.08122518772139,5.44900615343481,
1,13,"i",4,4.11426733472989,4.70180377777515,"i",2,4.16127887250346,5.31581374330748,
1,14,"i",4,3.02857817930638,4.53876545737148,"i",3,3.13090418350318,4.82646379338,
1,15,"i",5,2.06038036685493,4.22404323562507,"i",4,2.33749638068464,4.53237466463014,
,,,,,,,,,,
2,3,"-III",2,5.73212749930807,4.79442539642898,"-III",2,5.73212749930807,4.79442539642898,
2,4,"-VI",3,5.43989177138899,4.82121855551178,"-VI",3,5.43989177138899,4.82121855551178,
2,5,"I",3,5.66343683060613,5.0222039364442,"I",3,5.66343683060613,5.0222039364442,
2,6,"I",2,4.24849079979974,5.40218208980938,"I",2,4.24849079979974,5.40218208980938,
2,7,"-III",3,5.64211559934645,5.36028582472997,"-III",3,5.64211559934645,5.36028582472997,
2,8,"-VI",3,4.88812172184542,5.24521025379164,"V",3,4.90263719604265,5.24521025379164,0.0145154741972258
2,9,"I",4,5.98701847442831,4.4893978274012,"I",4,4.26509924647727,4.05771206421384,
2,10,"i",2,5.80640049671394,5.40218208980938,"i",3,5.7933659873253,5.30578205899106,
2,11,"i",2,4.21174088322758,5.31931013771381,"i",3,4.39069018968541,5.14860952165591,
2,12,"iv",3,4.37198042237026,5.20760181763722,"iv",3,4.37198042237026,5.20760181763722,
2,13,"i",4,4.11426733472989,4.70180377777515,"i",4,4.11426733472989,4.70180377777515,
,,,,,,,,,,
3,8,"-VI",3,4.88812172184542,5.24521025379164,"-VI",3,4.88812172184542,5.24521025379164,
3,9,"I",4,5.98701847442831,4.4893978274012,"I",4,5.98701847442831,4.4893978274012,
3,10,"i",2,5.80640049671394,5.40218208980938,"i",2,5.80640049671394,5.40218208980938,
3,11,"i",2,4.21174088322758,5.31931013771381,"i",2,4.21174088322758,5.31931013771381,
3,12,"iv",3,4.37198042237026,5.20760181763722,"iv",3,4.37198042237026,5.20760181763722,
3,13,"i",4,4.11426733472989,4.70180377777515,"v",4,4.07417409209129,4.70180377777515,0.0400932426386058
3,14,"i",4,3.02857817930638,4.53876545737148,"i",4,2.27099927678455,4.2170462371882,
3,15,"i",5,2.06038036685493,4.22404323562507,"i",5,2.09649748964048,3.92636696598963,
3,16,"iv",6,3.44000450339929,4.66736615932759,"iv",6,3.66004769988968,4.08332414776989,
3,17,"i",5,0.714700350629719,2.88654810485388,"i",4,4.1430721598685,4.66406519159667,
3,18,"i",6,0.582481020977675,2.36954937397351,"i",4,3.02857817930638,4.53876545737148,
,,,,,,,,,,
4,15,"i",5,2.06038036685493,4.22404323562507,"i",5,2.06038036685493,4.22404323562507,
4,16,"iv",6,3.44000450339929,4.66736615932759,"iv",6,3.44000450339929,4.66736615932759,
4,17,"i",5,0.714700350629719,2.88654810485388,"i",5,0.714700350629719,2.88654810485388,
4,18,"i",6,0.582481020977675,2.36954937397351,"i",6,0.582481020977675,2.36954937397351,
4,19,"-III",9,5.37506330078413,4.22404323562507,"-III",9,5.37506330078413,4.22404323562507,
4,20,"-VI",4,4.80090370146923,4.88657255972475,"v",4,4.84148271188467,4.88657255972475,0.0405790104154393
4,21,"i",4,6.35952635496245,4.25542652311455,"i",4,1.19897764143552,3.88155929691301,
4,22,"i",2,4.00162219505822,5.31805229345663,"i",4,0.811969514855411,3.18355419099474,
4,23,"-III",3,5.13765139992129,5.08640646818727,"-III",6,3.41846355686719,3.59963359130799,
4,24,"-VI",3,4.56921474811161,5.20315840247158,"-VI",6,5.24383915724865,4.36299083342187,
4,25,"i",4,6.35952635496245,4.25542652311455,"i",4,6.35952635496245,4.25542652311455,
,,,,,,,,,,
5,19,"-III",9,5.37506330078413,4.22404323562507,"-III",9,5.37506330078413,4.22404323562507,
5,20,"-VI",4,4.80090370146923,4.88657255972475,"-VI",4,4.80090370146923,4.88657255972475,
5,21,"i",4,6.35952635496245,4.25542652311455,"i",4,6.35952635496245,4.25542652311455,
