"Row","Symbol","Order","Information_content","Entropy"
1,"r",0,2.53085509538171,5.47634857876957
2,"I",1,1.74874698550192,4.0470645566471
3,"ii",2,5.0702110213799,4.79551598980749
4,"IV",3,3.90099443185385,4.96762343826091
5,"I",4,2.01442021425783,4.14995753927585
6,"ii",5,3.42674715636956,4.25097617130896
7,"IV",5,2.29575087139701,4.34002317003576
8,"I",6,2.17208961804363,4.26825635819692
9,"ii",7,1.21566095630445,3.45863512084235
10,"IV",6,0.653285630126144,2.59734121908838
11,"I",9,1.70358404900389,3.85286980816931
12,"ii",7,0.85086421733574,2.92610980939861
13,"IV",6,0.653285630126144,2.59734121908838
14,"I",10,2.03966490447015,3.87066493105809
15,"ii",7,0.85086421733574,2.92610980939861
16,"IV",6,0.653285630126144,2.59734121908838
17,"I",10,2.03966490447015,3.87066493105809
18,"ii",7,0.85086421733574,2.92610980939861
19,"IV",6,0.653285630126144,2.59734121908838
20,"I",10,2.03966490447015,3.87066493105809
21,"ii",7,0.85086421733574,2.92610980939861
22,"IV",6,0.653285630126144,2.59734121908838
23,"I",10,2.03966490447015,3.87066493105809
24,"ii",7,0.85086421733574,2.92610980939861
25,"IV",6,0.653285630126144,2.59734121908838
26,"vi",10,3.6124923028959,3.87066493105809
27,"IV",4,5.54058277025449,3.30610662767728
28,"V",3,4.03602933621221,5.1314167274996
29,"I",4,3.56426988878162,4.80048949231367
30,"V",4,3.76062313882397,5.19877838570116
31,"V",5,3.82577411738875,4.40080069317245
32,"I",5,1.57091896603191,4.29562573385546
33,"I",7,3.59718176600917,4.17358843313183
34,"V",6,4.28389022618293,4.99944070537368
35,"V",6,2.14124631464179,4.48971568459791
36,"I",7,2.79775056374205,4.70125034598025
37,"I",6,0.110761802194488,0.755081607898978
38,"vi",9,3.89047729177437,4.93470529046836
39,"IV",8,3.854532912208,3.96470920517726
40,"V",6,0.910017180324452,3.13417479922769
41,"I",7,2.74359746246803,3.24808937730025
42,"V",7,4.04010437073513,4.23671206546555
43,"V",6,3.09310641202026,3.83425394600185
44,"I",5,1.57091896603191,4.29562573385546
45,"I",7,3.59718176600917,4.17358843313183
46,"V",6,4.28389022618293,4.99944070537368
47,"V",6,2.14124631464179,4.48971568459791
48,"I",7,2.79775056374205,4.70125034598025
49,"I",6,0.110761802194488,0.755081607898978
50,"vi",9,3.89047729177437,4.93470529046836
51,"IV",8,3.854532912208,3.96470920517726
52,"V",6,0.910017180324452,3.13417479922769
53,"I",7,2.74359746246803,3.24808937730025
54,"V",7,4.04010437073513,4.23671206546555
55,"V",6,3.09310641202026,3.83425394600185
56,"I",5,1.57091896603191,4.29562573385546
57,"I",7,3.59718176600917,4.17358843313183
58,"V",6,4.28389022618293,4.99944070537368
59,"V",6,2.14124631464179,4.48971568459791
60,"I",7,2.79775056374205,4.70125034598025
61,"ii",6,8.556397694104,0.755081607898978
62,"IV",5,3.12915734132542,4.28977337901982
63,"I",5,1.92859643312191,3.76107324618306
64,"ii",6,2.03871646467039,4.17458599939041
65,"IV",6,0.75757063125193,2.82800864887361
66,"I",8,2.29233077632402,3.59647539470222
67,"ii",7,0.85086421733574,2.92610980939861
68,"IV",6,0.653285630126144,2.59734121908838
69,"I",10,1.25720583912573,3.46779255366032
70,"ii",7,0.85086421733574,2.92610980939861
71,"IV",6,0.653285630126144,2.59734121908838
72,"I",10,2.03966490447015,3.87066493105809
73,"ii",7,0.85086421733574,2.92610980939861
74,"IV",6,0.653285630126144,2.59734121908838
75,"I",10,2.03966490447015,3.87066493105809
76,"ii",7,0.85086421733574,2.92610980939861
77,"IV",6,0.653285630126144,2.59734121908838
78,"I",10,2.03966490447015,3.87066493105809
