"swapped_idx","alphabet_idx","true_chord","true_ic","true_ent","swapped_chord","swapped_ic","swapped_ent","dist"
14,19,"III",7.16045328073595,3.94432604509586,"iv",7.1516577593935,3.94432604509586,0.0087955213424431
38,19,"III",7.47285091366636,3.44618604659879,"iv",7.46405539232392,3.44618604659879,0.0087955213424431
74,13,"vi",4.25530320981928,3.76180040690243,"-VII",4.2363521070211,3.76180040690243,0.0189511027981766
16,4,"VI",4.7564929848475,4.93291364042299,"V",4.78764394804823,4.93291364042299,0.0311509632007336
40,4,"VI",4.7564929848475,4.93291364042299,"V",4.78764394804823,4.93291364042299,0.0311509632007336
14,33,"III",7.16045328073595,3.94432604509586,"vio",7.11227264213932,3.94432604509586,0.048180638596623
38,33,"III",7.47285091366636,3.44618604659879,"vio",7.42467027506974,3.44618604659879,0.048180638596623
14,14,"III",7.16045328073595,3.94432604509586,"-III",7.22824598481542,3.94432604509586,0.0677927040794781
38,14,"III",7.47285091366636,3.44618604659879,"-III",7.54064361774584,3.44618604659879,0.0677927040794781
14,6,"III",7.16045328073595,3.94432604509586,"VI",7.06725990423069,3.94432604509586,0.0931933765052593
38,6,"III",7.47285091366636,3.44618604659879,"VI",7.3796575371611,3.44618604659879,0.0931933765052593
