"Comparison","Row","Orig_Symbol","Orig_Order","Orig_IC","Orig_Entropy","Swap_Symbol","Swap_Order","Swap_IC","Swap_Entropy","Distance"
1,33,"-VII",2,4.6418882868926,5.35640331698411,"-VII",2,4.6418882868926,5.35640331698411,
1,34,"-III",3,4.37517732678957,4.67664102402393,"-III",3,4.37517732678957,4.67664102402393,
1,35,"-III",3,4.32601526965558,5.2401732981941,"-III",3,4.32601526965558,5.2401732981941,
1,36,"-VI",4,4.31460431927777,5.03608820577015,"-VI",4,4.31460431927777,5.03608820577015,
1,37,"-vi",4,6.89903617286574,4.75659254456915,"-vi",4,6.89903617286574,4.75659254456915,
1,38,"-III",2,7.05392588153111,4.18256752824239,"VI",2,7.05392588153111,4.18256752824239,0
1,39,"-III",1,4.94160015332328,5.45652618885223,"-III",1,6.23495701132476,5.40777946421354,
1,40,"-VI",2,4.46733272810036,5.36501486304143,"-VI",1,5.1763342738735,5.45652618885223,
1,41,"-vi",3,6.56767496577242,5.08613167151958,"-vi",2,6.25715312455321,5.3416742030732,
1,42,"-III",2,7.05392588153111,4.18256752824239,"-III",2,7.05392588153111,4.18256752824239,
1,43,"-VI",1,5.1763342738735,5.45652618885223,"-VI",1,5.1763342738735,5.45652618885223,
,,,,,,,,,,
2,37,"-vi",4,6.89903617286574,4.75659254456915,"-vi",4,6.89903617286574,4.75659254456915,
2,38,"-III",2,7.05392588153111,4.18256752824239,"-III",2,7.05392588153111,4.18256752824239,
2,39,"-III",1,4.94160015332328,5.45652618885223,"-III",1,4.94160015332328,5.45652618885223,
2,40,"-VI",2,4.46733272810036,5.36501486304143,"-VI",2,4.46733272810036,5.36501486304143,
2,41,"-vi",3,6.56767496577242,5.08613167151958,"-vi",3,6.56767496577242,5.08613167151958,
2,42,"-III",2,7.05392588153111,4.18256752824239,"VI",2,7.05392588153111,4.18256752824239,0
2,43,"-VI",1,5.1763342738735,5.45652618885223,"-VI",1,5.78104072375157,5.40777946421354,
2,44,"-III",2,4.26881775660207,5.3416742030732,"-III",2,5.46536998235116,4.94538770187716,
2,45,"-III",3,2.84049749397996,4.69997664461027,"-III",2,4.07343269303115,5.28159675522955,
2,46,"-VI",4,2.79983624582075,4.97135699016265,"-VI",3,3.8532770879784,5.23814628576725,
2,47,"-vi",5,7.00599435826744,4.46356287244507,"-vi",4,7.00599435826744,4.46356287244507,
,,,,,,,,,,
