"Comparison","Row","Orig_Symbol","Orig_Order","Orig_IC","Orig_Entropy","Swap_Symbol","Swap_Order","Swap_IC","Swap_Entropy","Distance"
1,3,"r",2,1.85123749467927,3.69167488857668,"r",2,1.85123749467927,3.69167488857668,
1,4,"IV",3,4.67907089934541,3.49252577008612,"IV",3,4.67907089934541,3.49252577008612,
1,5,"I",4,3.55418807746286,4.38886140035468,"I",4,3.55418807746286,4.38886140035468,
1,6,"I",4,3.14023886416558,4.90016333771987,"I",4,3.14023886416558,4.90016333771987,
1,7,"IV",4,5.10544769434126,4.26896738811056,"IV",4,5.10544769434126,4.26896738811056,
1,8,"I",4,3.86652515249458,5.19632254835883,"V",4,3.92655137543603,5.19632254835883,0.0600262229414485
1,9,"I",5,3.40523764358001,4.96708907724177,"I",5,2.37100269268882,4.56977268946167,
1,10,"IV",6,3.2354061447541,4.81567960060236,"IV",6,3.22999474355594,4.81446354941803,
1,11,"I",7,2.84591658758846,4.80591379959968,"I",7,2.07107492778803,3.78886817352257,
1,12,"I",8,2.74326318422421,4.63592183336301,"I",8,1.91192723030866,4.31141015945947,
1,13,"IV",9,2.13809236327495,4.35323329159543,"IV",9,2.60392043947599,4.41261078905697,
,,,,,,,,,,
2,4,"IV",3,4.67907089934541,3.49252577008612,"IV",3,4.67907089934541,3.49252577008612,
2,5,"I",4,3.55418807746286,4.38886140035468,"I",4,3.55418807746286,4.38886140035468,
2,6,"I",4,3.14023886416558,4.90016333771987,"I",4,3.14023886416558,4.90016333771987,
2,7,"IV",4,5.10544769434126,4.26896738811056,"IV",4,5.10544769434126,4.26896738811056,
2,8,"I",4,3.86652515249458,5.19632254835883,"I",4,3.86652515249458,5.19632254835883,
2,9,"I",5,3.40523764358001,4.96708907724177,"IV",5,3.34110126322898,4.96708907724177,0.064136380351028
2,10,"IV",6,3.2354061447541,4.81567960060236,"IV",6,3.07452343175959,4.4004618532628,
2,11,"I",7,2.84591658758846,4.80591379959968,"I",7,2.64577918049237,4.67680372605447,
2,12,"I",8,2.74326318422421,4.63592183336301,"I",8,2.32312377437722,4.36403923524206,
2,13,"IV",9,2.13809236327495,4.35323329159543,"IV",8,1.21783849117037,3.85995675054114,
2,14,"I",10,0.138628726863433,0.87118710035544,"I",9,1.11953025290885,3.51832435899026,
,,,,,,,,,,
