"Row","Symbol","Order","Information_content","Entropy"
1,"r",0,2.53085509538171,5.47634857876957
2,"I",1,1.74874698550192,4.0470645566471
3,"-VII",2,5.39578278686187,4.79517108237794
4,"I",3,1.85750747033092,4.23655339802769
5,"-VII",4,2.53928786000614,4.78774787461103
6,"I",5,0.623545110232947,2.50738564621384
7,"I",6,4.2356647755811,3.6221280499236
8,"I",6,2.69869808315065,4.69002304133747
9,"I",7,2.0340414341242,4.52220287942773
10,"I",7,1.224995837459,3.83915426893098
11,"-VII",8,5.91035584160241,3.51643770964926
12,"-VII",6,3.3748809362595,4.43058452202829
13,"I",7,2.63565025030845,4.5781177155718
14,"I",6,0.53595751245301,2.45005653198114
15,"I",9,2.40041311502148,4.55999104974451
16,"-VII",8,3.89422561296096,3.62091135300691
17,"-VII",6,4.46134647834313,3.41092966244621
18,"I",5,3.30674911957757,4.96046229393552
19,"I",6,1.94522209294603,4.53991026859674
20,"I",7,2.99851616827507,4.96613269116063
21,"-VII",8,3.54004282194825,4.25685454032095
22,"-VII",6,4.46134647834313,3.41092966244621
23,"IV",5,3.57375200323692,4.96046229393552
24,"V",6,4.50591441100652,4.76497976056442
25,"I",4,3.59234800439881,4.50994672619003
26,"IV",4,3.72056744695854,5.22591599058156
27,"V",5,2.44228080505861,4.36636055618632
28,"I",6,1.90259805589173,4.58420231197652
29,"I",7,3.83087506160288,4.74261647428562
30,"I",7,2.86146960181476,4.8429032770656
31,"I",8,2.04526680611257,4.18261031029566
32,"I",9,1.94678046582565,4.25597520030924
33,"-VII",9,5.66552773280548,3.09548481354126
34,"-VII",7,3.61464281047354,4.2709198846075
35,"I",7,2.63565025030845,4.5781177155718
36,"I",6,0.53595751245301,2.45005653198114
37,"I",9,2.40041311502148,4.55999104974451
38,"-VII",8,3.89422561296096,3.62091135300691
39,"-VII",6,4.46134647834313,3.41092966244621
40,"I",5,3.30674911957757,4.96046229393552
41,"I",6,1.94522209294603,4.53991026859674
42,"I",7,2.99851616827507,4.96613269116063
43,"-VII",8,3.54004282194825,4.25685454032095
44,"-VII",6,4.46134647834313,3.41092966244621
45,"IV",5,3.57375200323692,4.96046229393552
46,"V",6,4.50591441100652,4.76497976056442
47,"I",4,3.59234800439881,4.50994672619003
48,"IV",4,3.72056744695854,5.22591599058156
49,"V",5,2.44228080505861,4.36636055618632
50,"I",6,1.90259805589173,4.58420231197652
51,"I",7,3.83087506160288,4.74261647428562
52,"IV",7,3.11875042048897,4.8429032770656
53,"V",8,2.10610871720712,4.50090067534575
54,"I",9,1.72827559060117,4.09725815536567
55,"IV",9,4.85115715686183,2.90665214142792
56,"V",9,2.05150404039205,3.99843468328641
57,"I",10,2.09399172278192,4.22255615233977
58,"I",9,4.41872599318276,2.73999205795731
59,"I",9,2.15146711079221,4.63356830055844
60,"I",10,2.38964298188935,3.96264289120636
61,"I",10,2.13936231567403,4.35298204070674
62,"-VII",9,5.66552773280548,3.09548481354126
63,"-VII",7,3.61464281047354,4.2709198846075
64,"I",7,2.63565025030845,4.5781177155718
65,"I",6,0.53595751245301,2.45005653198114
66,"I",9,2.40041311502148,4.55999104974451
67,"-VII",8,3.89422561296096,3.62091135300691
68,"-VII",6,4.46134647834313,3.41092966244621
69,"I",5,3.30674911957757,4.96046229393552
70,"I",6,1.94522209294603,4.53991026859674
71,"I",7,2.99851616827507,4.96613269116063
72,"-VII",8,3.54004282194825,4.25685454032095
73,"-VII",6,4.46134647834313,3.41092966244621
74,"IV",5,3.57375200323692,4.96046229393552
75,"V",6,4.50591441100652,4.76497976056442
76,"I",4,3.59234800439881,4.50994672619003
77,"IV",4,3.72056744695854,5.22591599058156
