"Comparison","Row","Orig_Symbol","Orig_Order","Orig_IC","Orig_Entropy","Swap_Symbol","Swap_Order","Swap_IC","Swap_Entropy","Distance"
1,104,"I",6,2.42387976024185,3.90106278304788,"I",6,2.42387976024185,3.90106278304788,
1,105,"-VII",6,3.39454960018272,4.43587058103099,"-VII",6,3.39454960018272,4.43587058103099,
1,106,"I",6,1.59204607611172,3.64500374535172,"I",6,1.59204607611172,3.64500374535172,
1,107,"I",7,3.42909762073033,4.41252862613996,"I",7,3.42909762073033,4.41252862613996,
1,108,"I",7,1.50664925914379,4.1669159725785,"I",7,1.50664925914379,4.1669159725785,
1,109,"IV",6,5.66915573832575,3.04149305586892,"V",6,5.6643663663671,3.04149305586892,0.00478937195865914
1,110,"I",5,2.97269192478218,5.00856068958701,"I",5,2.75911058417843,4.79618712604846,
1,111,"-VII",6,4.51305787199476,4.63562634095576,"-VII",6,4.29553150916555,4.41323758581053,
1,112,"I",6,2.74898204069595,4.05693812621347,"I",5,4.33854268677961,2.51990042634283,
1,113,"I",6,2.26448687996724,4.18367989887862,"I",4,3.206591128024,4.96009494759967,
1,114,"-VII",7,3.65124314870806,4.09706117549804,"-VII",5,2.91655897870752,4.68549720012962,
,,,,,,,,,,
2,91,"-III",4,5.68913049280386,4.91475719171966,"-III",4,5.68913049280386,4.91475719171966,
2,92,"I",3,4.91800405767165,4.8438088972519,"I",3,4.91800405767165,4.8438088972519,
2,93,"-III",3,3.54104298371721,4.82896661113814,"-III",3,3.54104298371721,4.82896661113814,
2,94,"v",4,4.05570702222413,4.60149279913632,"v",4,4.05570702222413,4.60149279913632,
2,95,"-VI",4,5.61915306198804,4.05118377782983,"-VI",4,5.61915306198804,4.05118377782983,
2,96,"-VII",3,4.58151061712814,5.06708566392945,"V",3,4.5696869971608,5.06708566392945,0.0118236199673403
2,97,"-VI",3,3.43436788045229,4.73483529162984,"-VI",3,4.92554234725979,3.9802606609618,
2,98,"-VII",4,2.25626633470125,4.61967545899888,"-VII",3,3.05869095812306,4.96296398289756,
2,99,"-VII",5,2.65716557863272,4.30438885004932,"-VII",4,4.75472657766312,4.51732710704359,
2,100,"-VII",5,4.93478810801028,3.88227571414228,"-VII",3,4.09061048699185,5.12702339584444,
2,101,"I",4,4.17816956772118,4.9825439221171,"I",4,4.17816956772118,4.9825439221171,
,,,,,,,,,,
3,98,"-VII",4,2.25626633470125,4.61967545899888,"-VII",4,2.25626633470125,4.61967545899888,
3,99,"-VII",5,2.65716557863272,4.30438885004932,"-VII",5,2.65716557863272,4.30438885004932,
3,100,"-VII",5,4.93478810801028,3.88227571414228,"-VII",5,4.93478810801028,3.88227571414228,
3,101,"I",4,4.17816956772118,4.9825439221171,"I",4,4.17816956772118,4.9825439221171,
3,102,"I",4,2.69334777781241,4.95367845295653,"I",4,2.69334777781241,4.95367845295653,
3,103,"-VII",5,3.15603436167619,5.0457066072601,"I",5,3.19883487469004,5.0457066072601,0.0428005130138516
3,104,"I",6,2.42387976024185,3.90106278304788,"I",6,1.78509678517032,4.50560405478821,
3,105,"-VII",6,3.39454960018272,4.43587058103099,"-VII",7,3.84936025057344,4.5628077624991,
3,106,"I",6,1.59204607611172,3.64500374535172,"I",7,2.90946191385668,3.4616518299371,
3,107,"I",7,3.42909762073033,4.41252862613996,"I",7,3.14120508251341,4.54458618932923,
3,108,"I",7,1.50664925914379,4.1669159725785,"I",7,2.32708420202476,4.53637782092935,
,,,,,,,,,,
4,86,"I",5,2.54017147356745,4.53641737196101,"I",5,2.54017147356745,4.53641737196101,
4,87,"-VII",6,2.76429018335412,4.60629635762539,"-VII",6,2.76429018335412,4.60629635762539,
4,88,"I",6,0.676861921421787,2.70616366513892,"I",6,0.676861921421787,2.70616366513892,
4,89,"v",7,6.72428343886394,2.95235172193667,"v",7,6.72428343886394,2.95235172193667,
4,90,"IV",4,2.59286285360683,4.31454524111641,"IV",4,2.59286285360683,4.31454524111641,
4,91,"-III",4,5.68913049280386,4.91475719171966,"-VI",4,5.73443477947371,4.91475719171966,0.045304286669845
4,92,"I",3,4.91800405767165,4.8438088972519,"I",3,4.11961955696807,4.58242148338495,
4,93,"-III",3,3.54104298371721,4.82896661113814,"-III",3,5.77859556159029,5.12645083521991,
4,94,"v",4,4.05570702222413,4.60149279913632,"v",3,4.81263579794449,5.0370391982016,
4,95,"-VI",4,5.61915306198804,4.05118377782983,"-VI",3,5.25792753050302,4.65677850210451,
4,96,"-VII",3,4.58151061712814,5.06708566392945,"-VII",3,4.58151061712814,5.06708566392945,
,,,,,,,,,,
5,70,"-VII",4,4.38741422903348,4.55587259769803,"-VII",4,4.38741422903348,4.55587259769803,
5,71,"I",4,5.09244709712903,4.54670668601157,"I",4,5.09244709712903,4.54670668601157,
5,72,"v",3,5.58737557713092,4.89635095385384,"v",3,5.58737557713092,4.89635095385384,
5,73,"v",3,3.01961212925397,4.74513201892507,"v",3,3.01961212925397,4.74513201892507,
5,74,"I",4,2.32635068537102,4.55587259769803,"I",4,2.32635068537102,4.55587259769803,
5,75,"-VII",5,5.6125541944991,3.90520758680394,"-VI",5,5.56525352136782,3.90520758680394,0.0473006731312768
5,76,"I",4,3.28694198445507,4.234961916856,"I",4,5.15512811639185,4.49908387979978,
5,77,"-VII",4,2.94758009921498,4.99736594707385,"-VII",3,4.56936759579323,5.25955646485955,
5,78,"I",5,1.7142691629582,3.83504634010491,"I",3,0.940122319049901,3.45860487855304,
5,79,"I",6,3.68326373794933,4.61459875312053,"I",4,4.43792574328438,4.15294429106282,
5,80,"-VII",6,2.99436432111438,4.55110644979919,"-VII",4,3.4361228783268,5.06302806902783,
,,,,,,,,,,
6,131,"-VII",6,2.76429018335412,4.60629635762539,"-VII",6,2.76429018335412,4.60629635762539,
6,132,"I",6,0.676861921421787,2.70616366513892,"I",6,0.676861921421787,2.70616366513892,
6,133,"v",7,6.72428343886394,2.95235172193667,"v",7,6.72428343886394,2.95235172193667,
6,134,"v",4,3.3519204112515,4.31454524111641,"v",4,3.3519204112515,4.31454524111641,
6,135,"I",4,2.32635068537102,4.55587259769803,"I",4,2.32635068537102,4.55587259769803,
6,136,"-VII",5,5.6125541944991,3.90520758680394,"-VI",5,5.56525352136782,3.90520758680394,0.0473006731312768
6,137,"I",4,3.28694198445507,4.234961916856,"I",4,5.15512811639185,4.49908387979978,
6,138,"-VII",4,2.94758009921498,4.99736594707385,"-VII",3,4.56936759579323,5.25955646485955,
6,139,"I",5,1.7142691629582,3.83504634010491,"I",3,0.940122319049901,3.45860487855304,
6,140,"I",6,3.68326373794933,4.61459875312053,"I",4,4.43792574328438,4.15294429106282,
6,141,"-VII",6,2.99436432111438,4.55110644979919,"-VII",4,3.4361228783268,5.06302806902783,
,,,,,,,,,,
7,22,"v",7,6.1594936119634,4.70286403789042,"v",7,6.1594936119634,4.70286403789042,
7,23,"I",4,3.94579997220987,3.75910442938104,"I",4,3.94579997220987,3.75910442938104,
7,24,"V",3,5.36663907096273,5.12041473933708,"V",3,5.36663907096273,5.12041473933708,
7,25,"V",3,4.62229270740171,4.94255333963339,"V",3,4.62229270740171,4.94255333963339,
7,26,"-VII",3,5.86395869042861,5.18444284429052,"-VII",3,5.86395869042861,5.18444284429052,
7,27,"I",3,3.56845353578568,5.08119081016202,"IV",3,3.63407647552183,5.08119081016202,0.0656229397361558
7,28,"v",4,5.80667524609816,4.76718334569307,"v",4,6.49212830951623,3.89756675087321,
7,29,"v",3,3.01961212925397,4.74513201892507,"v",3,2.01935898521973,4.44176879268483,
7,30,"-VII",4,4.38741422903348,4.55587259769803,"-VII",4,5.59100464204176,4.50278605834452,
7,31,"I",4,5.09244709712903,4.54670668601157,"I",3,4.78651791676307,5.07671755869163,
7,32,"v",3,5.58737557713092,4.89635095385384,"v",3,5.58737557713092,4.89635095385384,
,,,,,,,,,,
8,62,"v",7,6.1594936119634,4.70286403789042,"v",7,6.1594936119634,4.70286403789042,
8,63,"I",4,3.94579997220987,3.75910442938104,"I",4,3.94579997220987,3.75910442938104,
8,64,"V",3,5.36663907096273,5.12041473933708,"V",3,5.36663907096273,5.12041473933708,
8,65,"V",3,4.62229270740171,4.94255333963339,"V",3,4.62229270740171,4.94255333963339,
8,66,"-VII",3,5.86395869042861,5.18444284429052,"-VII",3,5.86395869042861,5.18444284429052,
8,67,"I",3,3.56845353578568,5.08119081016202,"IV",3,3.63407647552183,5.08119081016202,0.0656229397361558
8,68,"v",4,5.80667524609816,4.76718334569307,"v",4,6.49212830951623,3.89756675087321,
8,69,"v",3,3.01961212925397,4.74513201892507,"v",3,2.01935898521973,4.44176879268483,
8,70,"-VII",4,4.38741422903348,4.55587259769803,"-VII",4,5.59100464204176,4.50278605834452,
8,71,"I",4,5.09244709712903,4.54670668601157,"I",3,4.78651791676307,5.07671755869163,
8,72,"v",3,5.58737557713092,4.89635095385384,"v",3,5.58737557713092,4.89635095385384,
,,,,,,,,,,
9,22,"v",7,6.1594936119634,4.70286403789042,"v",7,6.1594936119634,4.70286403789042,
9,23,"I",4,3.94579997220987,3.75910442938104,"I",4,3.94579997220987,3.75910442938104,
9,24,"V",3,5.36663907096273,5.12041473933708,"V",3,5.36663907096273,5.12041473933708,
9,25,"V",3,4.62229270740171,4.94255333963339,"V",3,4.62229270740171,4.94255333963339,
9,26,"-VII",3,5.86395869042861,5.18444284429052,"-VII",3,5.86395869042861,5.18444284429052,
9,27,"I",3,3.56845353578568,5.08119081016202,"-VII",3,3.6369436049612,5.08119081016202,0.0684900691755228
9,28,"v",4,5.80667524609816,4.76718334569307,"v",4,5.70836401837582,4.75275976949405,
9,29,"v",3,3.01961212925397,4.74513201892507,"v",3,3.9522886981667,5.10595621896841,
9,30,"-VII",4,4.38741422903348,4.55587259769803,"-VII",3,5.17787238619951,4.82784330631113,
9,31,"I",4,5.09244709712903,4.54670668601157,"I",3,4.78651791676307,5.07671755869163,
9,32,"v",3,5.58737557713092,4.89635095385384,"v",3,5.58737557713092,4.89635095385384,
,,,,,,,,,,
10,62,"v",7,6.1594936119634,4.70286403789042,"v",7,6.1594936119634,4.70286403789042,
10,63,"I",4,3.94579997220987,3.75910442938104,"I",4,3.94579997220987,3.75910442938104,
10,64,"V",3,5.36663907096273,5.12041473933708,"V",3,5.36663907096273,5.12041473933708,
10,65,"V",3,4.62229270740171,4.94255333963339,"V",3,4.62229270740171,4.94255333963339,
10,66,"-VII",3,5.86395869042861,5.18444284429052,"-VII",3,5.86395869042861,5.18444284429052,
10,67,"I",3,3.56845353578568,5.08119081016202,"-VII",3,3.6369436049612,5.08119081016202,0.0684900691755228
10,68,"v",4,5.80667524609816,4.76718334569307,"v",4,5.70836401837582,4.75275976949405,
10,69,"v",3,3.01961212925397,4.74513201892507,"v",3,3.9522886981667,5.10595621896841,
10,70,"-VII",4,4.38741422903348,4.55587259769803,"-VII",3,5.17787238619951,4.82784330631113,
10,71,"I",4,5.09244709712903,4.54670668601157,"I",3,4.78651791676307,5.07671755869163,
10,72,"v",3,5.58737557713092,4.89635095385384,"v",3,5.58737557713092,4.89635095385384,
,,,,,,,,,,
