"Row","Symbol","Order","Information_content","Entropy"
1,"r",0,2.53085509538171,5.47634857876957
2,"i",1,3.53531957968047,4.04565444768758
3,"i",2,1.85125750979379,4.58062289472694
4,"-VII",3,3.93927022097484,4.25348309291714
5,"-VII",4,2.62935843712051,4.62714990289668
6,"i",5,2.77808075623798,4.36595086625166
7,"i",6,0.891619505700518,3.12567294836952
8,"-VII",7,2.71117402180905,4.0280779267236
9,"-VII",7,1.41341687661476,3.55163890316919
10,"i",8,2.71306861108555,4.49706720108442
11,"i",9,1.4260695562919,3.85339390265098
12,"-VII",10,1.09844164890564,3.28748198556738
13,"-VII",8,0.331174877478486,1.5848515589102
14,"i",10,2.04492357111719,4.06860581112798
15,"i",10,1.27045817280399,3.6840633601763
16,"-VII",10,1.09844164890564,3.28748198556738
17,"-VI",8,5.03300202071331,1.5848515589102
18,"-VII",6,3.06959074903589,3.90962228962464
19,"-VII",5,4.12363656286461,3.61897093003085
20,"-VI",5,4.95286499989822,4.4487148624526
21,"-VII",4,2.8237546155059,4.73513474502224
22,"-VII",5,3.66118736720997,4.20342487951356
23,"-VI",5,4.90613722580423,4.42885529841156
24,"-VII",4,2.8237546155059,4.73513474502224
25,"i",5,2.16538007014122,4.20342487951356
26,"-VII",6,3.11433080697388,4.09442514983705
27,"-VI",6,1.62735340114434,3.87751680046175
28,"-VII",7,3.41646592120618,4.44492078375064
29,"i",7,1.98792363167337,3.97433537680784
30,"-VII",8,2.76195404462702,4.35268559578899
31,"-VI",8,0.291759924159016,1.52114447913969
32,"-VII",10,0.666863279355705,2.67284367519532
33,"i",10,0.551584957444742,2.24424984674826
34,"-VII",10,0.689244804203344,2.57918453409086
35,"-VI",8,0.291759924159016,1.52114447913969
36,"-VII",10,0.666863279355705,2.67284367519532
37,"i",10,0.551584957444742,2.24424984674826
38,"-VII",10,0.689244804203344,2.57918453409086
39,"-VI",8,0.291759924159016,1.52114447913969
40,"-VII",10,0.666863279355705,2.67284367519532
41,"i",10,0.551584957444742,2.24424984674826
42,"i",10,3.91263979517157,2.57918453409086
43,"-VII",8,1.89998859289127,4.22134453611414
44,"-VII",6,0.518750241923144,2.21151482315924
45,"i",9,1.61390195242592,3.87567044573911
46,"i",7,0.690038467555525,2.71474615351478
47,"-VII",8,0.996955661441066,3.2273386346348
48,"-VI",8,5.03300202071331,1.5848515589102
49,"-VII",6,3.06959074903589,3.90962228962464
50,"-VII",5,4.12363656286461,3.61897093003085
51,"-VI",5,4.95286499989822,4.4487148624526
52,"-VII",4,2.8237546155059,4.73513474502224
53,"-VII",5,3.66118736720997,4.20342487951356
54,"-VI",5,4.90613722580423,4.42885529841156
55,"-VII",4,2.8237546155059,4.73513474502224
56,"i",5,2.16538007014122,4.20342487951356
57,"-VII",6,3.11433080697388,4.09442514983705
58,"-VI",6,1.62735340114434,3.87751680046175
59,"-VII",7,3.41646592120618,4.44492078375064
60,"i",7,1.98792363167337,3.97433537680784
61,"-VII",8,2.76195404462702,4.35268559578899
62,"i",8,4.38687676519605,1.52114447913969
63,"-VII",5,0.279837338620034,1.48998793966628
64,"i",8,0.734321494906181,2.84918811208006
65,"-VII",8,0.476287940472944,2.07290496044457
66,"-VI",10,2.33211282107196,4.34383984660271
67,"-VII",9,1.03161535109165,3.45589894958424
68,"i",10,0.751211860724818,2.59378431947139
69,"-VII",8,0.835143999436576,2.90263327403105
70,"-VI",8,3.66303767895635,2.83661716139788
71,"-VII",8,2.64302891647235,4.54235491652159
72,"I",9,4.48193168009727,3.97433537680784
73,"V",4,4.77535495478945,4.9399097958363
74,"IV",4,3.78556505007644,4.92294951012974
75,"V",4,3.24381232109976,4.8292402772312
76,"I",5,3.18309232478552,4.38727063843958
77,"V",5,3.63062688112268,5.14433149315196
78,"IV",6,2.86833874905373,4.61375966484493
79,"V",7,2.14684542087086,4.35465245487827
80,"I",8,2.44240857064568,4.64884526439496
81,"V",9,2.22089353893022,4.51097205739033
82,"IV",10,0.361584762165145,1.7435329190014
83,"V",10,0.45868080849297,2.03613518841312
84,"I",10,0.481394553655155,2.17085717855778
85,"V",10,0.527827452387893,2.21189351140477
86,"IV",10,0.361584762165145,1.7435329190014
87,"-VII",10,6.45467149825042,2.03613518841312
88,"I",6,1.98584406074241,4.71392581113686
89,"-VII",6,5.02523538484796,3.79812282101138
90,"I",4,2.08957521603603,4.23909947027257
91,"-VI",5,4.65966029538567,4.85200613937902
92,"-VII",5,3.80424326875675,4.4969456046536
93,"v",4,4.23693075868928,4.25054677186039
94,"I",4,2.42978272453397,4.72957710220746
95,"i",5,6.40536104793437,4.32062418314292
96,"-VII",3,5.34316829570289,4.89921572719671
97,"-VI",3,4.20291225588168,4.78219193369038
98,"-VII",3,3.56185375624532,4.91981735468112
99,"i",4,2.46992817003931,4.4453251818033
100,"-VII",5,3.09432107050917,4.64237900846773
101,"-VI",6,2.06081291419405,4.25919553676875
102,"-VII",7,1.97318318739775,4.2863162986531
103,"i",8,1.533692710452,3.6954915770453
104,"-VII",9,2.43496606273448,4.27514082630598
105,"-VI",8,0.291759924159016,1.52114447913969
106,"-VII",10,0.666863279355705,2.67284367519532
107,"i",10,0.551584957444742,2.24424984674826
108,"-VII",10,0.689244804203344,2.57918453409086
109,"-VI",8,0.291759924159016,1.52114447913969
110,"i",10,5.32535924549102,2.67284367519532
111,"-VII",6,4.43507057306059,5.05283171679839
112,"-VI",4,3.60060818663144,4.40465359343797
113,"-VII",4,2.61361116611897,4.56624658549145
114,"i",5,1.62079660501258,4.00961788635376
115,"-VII",6,3.33052393791668,4.29247882872019
116,"-VI",6,2.06081291419405,4.25919553676875
117,"-VII",7,1.97318318739775,4.2863162986531
118,"i",8,1.533692710452,3.6954915770453
119,"-VII",9,2.43496606273448,4.27514082630598
120,"-VI",8,0.291759924159016,1.52114447913969
121,"-VII",10,0.666863279355705,2.67284367519532
122,"i",10,0.551584957444742,2.24424984674826
123,"-VII",10,0.689244804203344,2.57918453409086
124,"-VI",8,0.291759924159016,1.52114447913969
125,"i",10,5.32535924549102,2.67284367519532
126,"-VII",6,4.43507057306059,5.05283171679839
127,"-VI",4,3.60060818663144,4.40465359343797
128,"-VII",4,2.61361116611897,4.56624658549145
129,"i",5,1.62079660501258,4.00961788635376
130,"-VII",6,3.33052393791668,4.29247882872019
131,"-VI",6,2.06081291419405,4.25919553676875
132,"-VII",7,1.97318318739775,4.2863162986531
133,"i",8,1.533692710452,3.6954915770453
134,"-VII",9,2.43496606273448,4.27514082630598
