"Comparison","Row","Orig_Symbol","Orig_Order","Orig_IC","Orig_Entropy","Swap_Symbol","Swap_Order","Swap_IC","Swap_Entropy","Distance"
1,94,"V",4,2.73257550405741,4.62917415596566,"V",4,2.73257550405741,4.62917415596566,
1,95,"I",5,2.06202307155536,4.39456030341846,"I",5,2.06202307155536,4.39456030341846,
1,96,"v",6,6.34247479443601,4.66071888855426,"v",6,6.34247479443601,4.66071888855426,
1,97,"-V",4,7.42189436979139,4.74394185091262,"-V",4,7.42189436979139,4.74394185091262,
1,98,"IV",1,5.08917895085754,5.41002253727781,"IV",1,5.08917895085754,5.41002253727781,
1,99,"iii",2,5.55791593517986,5.02715269557589,"i",2,5.56732804630186,5.02715269557589,0.00941211112200158
1,100,"ii",2,3.74248320160308,5.19997080073597,"ii",2,4.95910029589644,5.35729278980554,
1,101,"V",3,2.92974054195566,4.83202020749643,"V",3,4.651665336116,3.86051642639948,
1,102,"I",4,2.51780133449689,4.83606946219493,"I",3,4.21171557752705,4.83442682032517,
1,103,"v",5,6.18708147548192,4.85627287633509,"v",3,5.70448210729985,5.40014324171262,
1,104,"I",4,2.47927880597086,4.74394185091262,"I",4,2.47927880597086,4.74394185091262,
,,,,,,,,,,
2,94,"V",4,2.73257550405741,4.62917415596566,"V",4,2.73257550405741,4.62917415596566,
2,95,"I",5,2.06202307155536,4.39456030341846,"I",5,2.06202307155536,4.39456030341846,
2,96,"v",6,6.34247479443601,4.66071888855426,"v",6,6.34247479443601,4.66071888855426,
2,97,"-V",4,7.42189436979139,4.74394185091262,"-V",4,7.42189436979139,4.74394185091262,
2,98,"IV",1,5.08917895085754,5.41002253727781,"IV",1,5.08917895085754,5.41002253727781,
2,99,"iii",2,5.55791593517986,5.02715269557589,"-VII",2,5.57176120058666,5.02715269557589,0.0138452654067986
2,100,"ii",2,3.74248320160308,5.19997080073597,"ii",2,5.39829374565829,5.36098711072315,
2,101,"V",3,2.92974054195566,4.83202020749643,"V",3,3.56279977807672,5.1755333861895,
