"Row","Symbol","Order","Information_content","Entropy"
1,"r",0,2.53085509538171,5.47634857876957
2,"I",1,1.74874698550192,4.0470645566471
3,"V",2,3.96088151639943,4.79670005186907
4,"IV",3,3.11883586301051,4.44549684995747
5,"I",4,2.24381023680754,4.33168427785954
6,"V",5,1.82065471554845,4.29357796836327
7,"IV",6,0.9438121997596,3.19852812970894
8,"I",7,1.96401900183675,4.08123356032033
9,"V",8,1.46286248343962,3.89496352785328
10,"IV",9,0.806037516714834,2.79432099365767
11,"I",10,1.38920708942066,3.36299221154674
12,"V",10,0.996996059226628,3.26641406859206
13,"IV",10,0.235940019011489,1.24971110172134
14,"I",10,0.212865526973297,1.11308911669733
15,"V",10,0.996996059226628,3.26641406859206
16,"IV",10,0.235940019011489,1.24971110172134
17,"IV",10,6.14010246782215,1.11308911669733
18,"IV",6,3.72944709633747,4.33084749403484
19,"ii",6,4.73234572960197,4.28045143859077
20,"V",5,3.47297127766331,4.33858095829635
21,"ii",4,4.63369610187645,4.48138880219542
22,"V",4,1.12950135023349,3.68659421092716
23,"vi",5,4.6963670517972,4.85279802365587
24,"ii",5,2.65577140727016,4.79337967912377
25,"IV",6,4.5646763092881,3.57619010440855
26,"I",4,2.74861851926878,4.56939705375201
27,"vi",5,4.06240595645602,4.56765162546302
28,"ii",5,4.51042668022229,4.2199653934062
29,"IV",4,2.95520962212334,4.04245847694143
30,"V",5,1.58214741021142,4.08821881999696
31,"I",5,1.58163712150754,4.22151478255463
32,"V",6,3.44330600196597,4.59186441428719
33,"IV",6,3.3182675715392,4.3419727206818
34,"I",6,3.56984193499047,4.21067983347627
35,"V",6,2.54718955301692,4.51832102678795
36,"IV",7,2.06376599377834,3.96834585485109
37,"I",8,1.97051896907306,4.07949982381789
38,"V",8,1.46286248343962,3.89496352785328
39,"IV",9,0.806037516714834,2.79432099365767
40,"IV",10,4.20473821848743,2.93996834993192
41,"IV",6,3.72944709633747,4.33084749403484
42,"ii",6,4.73234572960197,4.28045143859077
43,"V",5,3.47297127766331,4.33858095829635
44,"ii",4,4.63369610187645,4.48138880219542
45,"V",4,1.12950135023349,3.68659421092716
46,"IV",5,4.78110222532846,4.85279802365587
47,"V",5,2.17720696341096,4.3261771934093
48,"I",5,1.79377344272215,4.38900426575208
49,"IV",6,3.4645100658488,4.60963309980025
50,"V",6,2.60169891987645,3.85425072813436
51,"IV",6,3.36092926382304,4.62643391738809
52,"V",7,2.3176281595551,4.2596794875041
53,"I",8,1.63805276255683,4.10673315177772
54,"IV",8,0.857938107381607,3.14838393496756
55,"V",10,1.77376047222682,3.856562163954
56,"IV",10,2.45696706824578,4.23034400954824
57,"V",9,1.20339833821298,3.40957627545184
58,"I",8,0.964015133322899,3.29809806081218
59,"IV",8,0.857938107381607,3.14838393496756
60,"V",10,1.77376047222682,3.856562163954
61,"IV",10,2.45696706824578,4.23034400954824
62,"iii",9,4.91232718523194,3.40957627545184
63,"ii",5,2.10077742779342,3.5509971993713
64,"V",5,1.99925470582689,3.69070890919726
65,"ii",6,4.89800696579136,4.47365891282064
66,"V",4,2.83200681392697,4.11191875877577
67,"IV",4,4.59622081449035,5.01730823015214
68,"V",5,2.17720696341096,4.3261771934093
69,"I",5,1.79377344272215,4.38900426575208
70,"V",6,4.39468717197601,4.60963309980025
71,"IV",5,2.98547379384517,4.49040247577773
72,"V",6,2.33901140640431,4.43706728535497
73,"I",7,2.47305913797893,4.6180278980911
74,"V",8,2.27452949414119,4.53353105701215
75,"IV",9,2.30512763708855,4.35826289967768
76,"V",10,0.564453519407963,2.38534755993394
77,"I",10,0.485194714996415,2.18206497334368
78,"V",10,0.534119830801521,2.22845353392713
