"Row","Symbol","Order","Information_content","Entropy"
1,"r",0,2.53054875818109,5.47630412836729
2,"I",1,1.74864089588333,4.04702670327992
3,"I",2,2.20032183471548,4.79868094634722
4,"I",3,1.98142002549362,4.76193605513176
5,"I",4,1.57969399470993,4.4368457644185
6,"I",5,1.27421964548846,3.90624052425148
7,"I",6,1.88966745639418,4.66417716796817
8,"I",7,1.81663367916443,4.54675785850639
9,"I",8,1.43129559165541,4.23486815313177
10,"I",9,2.14601971865242,4.7668457379668
11,"I",10,1.36213852253334,4.05480494131361
12,"I",10,0.538835988398908,2.36546240899675
13,"I",10,0.538835988398908,2.36546240899675
14,"I",10,0.538835988398908,2.36546240899675
15,"I",10,0.538835988398908,2.36546240899675
16,"I",10,0.538835988398908,2.36546240899675
17,"I",10,0.538835988398908,2.36546240899675
18,"I",10,0.538835988398908,2.36546240899675
19,"I",10,0.538835988398908,2.36546240899675
20,"I",10,0.538835988398908,2.36546240899675
21,"I",10,0.538835988398908,2.36546240899675
22,"I",10,0.538835988398908,2.36546240899675
23,"I",10,0.538835988398908,2.36546240899675
24,"I",10,0.538835988398908,2.36546240899675
25,"I",10,0.538835988398908,2.36546240899675
26,"I",10,0.538835988398908,2.36546240899675
27,"I",10,0.538835988398908,2.36546240899675
28,"I",10,0.538835988398908,2.36546240899675
29,"I",10,0.538835988398908,2.36546240899675
30,"-III",10,6.15075056791792,2.36546240899675
31,"-III",10,3.93039552848287,4.41715106630859
32,"-III",7,4.36396442110838,3.86812815537756
33,"-III",4,1.91048176646688,4.70787522646082
34,"-III",6,2.76581812445505,4.9531988533706
35,"-V",6,7.33803011770218,4.55670145620754
36,"V",2,6.2228877672781,4.94297733988618
37,"V",1,4.86328336220718,5.46987477815984
38,"I",2,4.24822173436657,5.35639695952827
39,"I",3,3.87833429328071,5.32575998012888
40,"I",4,3.67416837166399,5.25818321353676
41,"I",5,2.58504877465649,4.90792005770313
42,"I",6,2.61753919350309,4.6426598258847
43,"I",7,2.14481653579609,4.58801361629091
44,"I",8,2.55661881502097,4.80355108636675
45,"I",9,2.2408791038947,4.72339951386998
46,"I",10,2.13280232511939,4.41197120235087
47,"I",10,1.01719115568388,3.59295373702862
48,"I",10,0.538835988398908,2.36546240899675
49,"I",10,0.538835988398908,2.36546240899675
50,"I",10,0.538835988398908,2.36546240899675
51,"I",10,0.538835988398908,2.36546240899675
52,"I",10,0.538835988398908,2.36546240899675
53,"I",10,0.538835988398908,2.36546240899675
54,"I",10,0.538835988398908,2.36546240899675
55,"I",10,0.538835988398908,2.36546240899675
56,"I",10,0.538835988398908,2.36546240899675
57,"I",10,0.538835988398908,2.36546240899675
58,"I",10,0.538835988398908,2.36546240899675
59,"I",10,0.538835988398908,2.36546240899675
60,"I",10,0.538835988398908,2.36546240899675
61,"I",10,0.538835988398908,2.36546240899675
62,"I",10,0.538835988398908,2.36546240899675
63,"I",10,0.538835988398908,2.36546240899675
64,"I",10,0.538835988398908,2.36546240899675
65,"I",10,0.538835988398908,2.36546240899675
66,"I",10,0.538835988398908,2.36546240899675
67,"I",10,0.538835988398908,2.36546240899675
68,"I",10,0.538835988398908,2.36546240899675
69,"I",10,0.538835988398908,2.36546240899675
70,"-III",10,6.15075056791792,2.36546240899675
71,"-III",10,3.93039552848287,4.41715106630859
72,"-III",7,4.36396442110838,3.86812815537756
73,"-III",4,1.91048176646688,4.70787522646082
74,"-III",6,2.76581812445505,4.9531988533706
75,"-V",6,7.33803011770218,4.55670145620754
76,"V",2,6.2228877672781,4.94297733988618
77,"V",1,4.86328336220718,5.46987477815984
78,"I",2,4.24822173436657,5.35639695952827
79,"I",3,3.87833429328071,5.32575998012888
80,"I",4,3.67416837166399,5.25818321353676
81,"I",5,2.58504877465649,4.90792005770313
82,"-III",6,5.83468143896158,4.6426598258847
83,"-III",5,3.07963186490512,4.87826558831777
84,"-III",6,3.9795701413788,4.43470294162262
85,"-III",4,1.91048176646688,4.70787522646082
86,"-III",6,2.76581812445505,4.9531988533706
87,"-III",6,1.922564020632,4.55670145620754
88,"-III",7,1.67948426031717,4.25838483468309
89,"-III",8,1.39726299364642,3.86623950225994
90,"r",9,2.77131449811373,3.86623950225994
91,"r",3,0.557039764532078,2.13089726801443
