"Comparison","Row","Orig_Symbol","Orig_Order","Orig_IC","Orig_Entropy","Swap_Symbol","Swap_Order","Swap_IC","Swap_Entropy","Distance"
1,57,"IV",4,4.79528215228522,4.9678250687019,"IV",4,4.79528215228522,4.9678250687019,
1,58,"ii",4,5.18829945348578,5.18864617971456,"ii",4,5.18829945348578,5.18864617971456,
1,59,"IV",3,3.73850999955018,4.82078014998256,"IV",3,3.73850999955018,4.82078014998256,
1,60,"II",4,6.60832916085472,4.59527172249002,"II",4,6.60832916085472,4.59527172249002,
1,61,"IV",2,4.19515823831984,5.18391570588771,"IV",2,4.19515823831984,5.18391570588771,
1,62,"ii",3,6.2258427257305,4.59256848933539,"i",3,6.2258427257305,4.59256848933539,0
1,63,"V",2,3.41830125311897,5.14410061718592,"V",2,5.24794379504781,5.35660038086248,
1,64,"vi",3,4.80030947001865,4.98669697481769,"vi",3,6.08506088990218,4.76438088878868,
1,65,"V",4,5.16794911812195,4.73766236865878,"V",2,4.54420922721686,5.33314694511126,
1,66,"iii",3,5.3800958340321,4.96895752471906,"iii",3,5.3800958340321,4.96895752471906,
1,67,"vi",3,4.28139769246881,5.00595347738991,"vi",3,4.28139769246881,5.00595347738991,
,,,,,,,,,,
2,17,"IV",3,3.79683764464228,5.05989095858432,"IV",3,3.79683764464228,5.05989095858432,
2,18,"iv",4,5.69656405411162,4.59872281212216,"iv",4,5.69656405411162,4.59872281212216,
2,19,"I",3,3.3808346708422,5.23997749035896,"I",3,3.3808346708422,5.23997749035896,
2,20,"iv",4,4.81113595000986,4.9678250687019,"iv",4,4.81113595000986,4.9678250687019,
2,21,"I",4,3.55570062467586,4.91944486886581,"I",4,3.55570062467586,4.91944486886581,
2,22,"V",4,5.14404424154816,4.8776889569895,"#IV",4,5.13840306909132,4.8776889569895,0.00564117245684148
2,23,"IV",3,3.79683764464228,5.05989095858432,"IV",3,3.32319773049662,2.46501720968768,
2,24,"V",4,4.16343648795728,4.59872281212216,"V",3,5.27569892089226,5.24590096010068,
2,25,"IV",4,2.90299969855754,4.79793394260797,"IV",2,4.59480501949411,5.36841721571895,
2,26,"ii",5,5.18147197929599,4.38147778005405,"ii",3,4.61158401915442,4.98709971770009,
2,27,"IV",4,3.70233478200573,4.53859166269973,"IV",4,3.70233478200573,4.53859166269973,
,,,,,,,,,,
3,30,"vi",4,5.02029754460889,4.68964731443033,"vi",4,5.02029754460889,4.68964731443033,
3,31,"V",4,5.16794911812195,4.73766236865878,"V",4,5.16794911812195,4.73766236865878,
3,32,"iii",3,5.3800958340321,4.96895752471906,"iii",3,5.3800958340321,4.96895752471906,
3,33,"vi",3,4.28139769246881,5.00595347738991,"vi",3,4.28139769246881,5.00595347738991,
3,34,"vi",3,3.82511743092874,5.0128599370836,"vi",3,3.82511743092874,5.0128599370836,
3,35,"V",4,4.71568235332626,5.06201617480404,"vi",4,4.72277090685231,5.06201617480404,0.00708855352605475
3,36,"iii",4,5.85430820272086,4.21524171361351,"iii",3,4.40387403454991,5.23927240173334,
3,37,"vi",3,4.28139769246881,5.00595347738991,"vi",4,4.10226219612945,2.59971766952256,
3,38,"v",3,6.06761425323144,5.0128599370836,"v",4,7.03344057269134,3.48094505404961,
3,39,"v",2,5.19557687224421,5.15435225524854,"v",2,5.19557687224421,5.15435225524854,
3,40,"vi",2,6.16257059834513,5.19632977953067,"vi",2,6.16257059834513,5.19632977953067,
,,,,,,,,,,
4,64,"vi",3,4.80030947001865,4.98669697481769,"vi",3,4.80030947001865,4.98669697481769,
4,65,"V",4,5.16794911812195,4.73766236865878,"V",4,5.16794911812195,4.73766236865878,
4,66,"iii",3,5.3800958340321,4.96895752471906,"iii",3,5.3800958340321,4.96895752471906,
4,67,"vi",3,4.28139769246881,5.00595347738991,"vi",3,4.28139769246881,5.00595347738991,
4,68,"vi",3,3.82511743092874,5.0128599370836,"vi",3,3.82511743092874,5.0128599370836,
4,69,"V",4,4.71568235332626,5.06201617480404,"vi",4,4.72277090685231,5.06201617480404,0.00708855352605475
4,70,"iii",4,5.85430820272086,4.21524171361351,"iii",3,4.40387403454991,5.23927240173334,
4,71,"vi",3,4.28139769246881,5.00595347738991,"vi",4,4.10226219612945,2.59971766952256,
4,72,"ii",3,3.25567913769881,5.0128599370836,"ii",4,4.46122963059352,3.48094505404961,
4,73,"vi",4,5.00784534599231,4.62037230886061,"vi",4,4.89318999384361,4.75771630346625,
4,74,"V",3,5.10832631031619,4.38337688646673,"V",3,5.10832631031619,4.38337688646673,
,,,,,,,,,,
5,80,"vi",5,5.50167731554501,4.55532788818308,"vi",5,5.50167731554501,4.55532788818308,
5,81,"V",4,3.6405713970339,4.13662586676036,"V",4,3.6405713970339,4.13662586676036,
5,82,"iii",4,4.53376251373288,4.59808431309451,"iii",4,4.53376251373288,4.59808431309451,
5,83,"vi",4,4.92172260712035,3.87535611121376,"vi",4,4.92172260712035,3.87535611121376,
5,84,"vi",3,3.82511743092874,5.0128599370836,"vi",3,3.82511743092874,5.0128599370836,
5,85,"V",4,4.71568235332626,5.06201617480404,"vi",4,4.72277090685231,5.06201617480404,0.00708855352605475
5,86,"iii",4,5.85430820272086,4.21524171361351,"iii",3,4.40387403454991,5.23927240173334,
5,87,"vi",3,4.28139769246881,5.00595347738991,"vi",4,4.10226219612945,2.59971766952256,
5,88,"vi",3,3.82511743092874,5.0128599370836,"vi",4,1.07827332901807,3.48094505404961,
5,89,"V",4,4.71568235332626,5.06201617480404,"V",5,4.92192000674654,4.87843497008829,
5,90,"iii",4,5.85430820272086,4.21524171361351,"iii",4,5.85430820272086,4.21524171361351,
,,,,,,,,,,
6,84,"vi",3,3.82511743092874,5.0128599370836,"vi",3,3.82511743092874,5.0128599370836,
6,85,"V",4,4.71568235332626,5.06201617480404,"V",4,4.71568235332626,5.06201617480404,
6,86,"iii",4,5.85430820272086,4.21524171361351,"iii",4,5.85430820272086,4.21524171361351,
6,87,"vi",3,4.28139769246881,5.00595347738991,"vi",3,4.28139769246881,5.00595347738991,
6,88,"vi",3,3.82511743092874,5.0128599370836,"vi",3,3.82511743092874,5.0128599370836,
6,89,"V",4,4.71568235332626,5.06201617480404,"vi",4,4.72277090685231,5.06201617480404,0.00708855352605475
6,90,"iii",4,5.85430820272086,4.21524171361351,"iii",3,4.40387403454991,5.23927240173334,
