Seq,Row,Symbol,Order,IC,Entropy,Function
1Orig,61,#ivo,8,5.7986584991506,4.6060445177196,diff
1Orig,62,I,5,1.93081852001844,3.8305125672195,diff
1Orig,63,I,6,4.4230143023969,4.38415764969014,diff
1Orig,64,IV,5,1.94219507391082,4.66041423196676,diff
1Orig,65,#ivo,4,5.85420115745702,4.97805667481855,diff
1Orig,66,I,4,1.74381996397228,3.52520450506312,diff
1Orig,67,I,5,4.17382523536376,4.85606672146261,diff
1Orig,68,IV,5,1.94219507391082,4.66041423196676,diff
1Orig,69,#ivo,4,5.85420115745702,4.97805667481855,diff
1Orig,70,V,4,1.74529511240437,3.52520450506312,diff
1Orig,71,III,5,6.56562385792354,4.57346852278967,diff
1Swap,61,#ivo,8,5.7986584991506,4.6060445177196,diff
1Swap,62,I,5,1.93081852001844,3.8305125672195,diff
1Swap,63,I,6,4.4230143023969,4.38415764969014,diff
1Swap,64,IV,5,1.94219507391082,4.66041423196676,diff
1Swap,65,#ivo,4,5.85420115745702,4.97805667481855,diff
1Swap,66,V,4,1.74529511240437,3.52520450506312,diff
1Swap,67,I,5,3.07522237716831,4.57346852278967,diff
1Swap,68,IV,5,1.7969672937744,4.4653674112682,diff
1Swap,69,#ivo,4,6.42290918915871,3.44160543695478,diff
1Swap,70,V,4,2.05726619375306,3.6602364399977,diff
1Swap,71,III,5,6.6149924239139,4.45085468749193,diff
2Orig,65,#ivo,4,5.85420115745702,4.97805667481855,diff
2Orig,66,I,4,1.74381996397228,3.52520450506312,diff
2Orig,67,I,5,4.17382523536376,4.85606672146261,diff
2Orig,68,IV,5,1.94219507391082,4.66041423196676,diff
2Orig,69,#ivo,4,5.85420115745702,4.97805667481855,diff
2Orig,70,V,4,1.74529511240437,3.52520450506312,diff
2Orig,71,III,5,6.56562385792354,4.57346852278967,diff
2Orig,72,vi,2,2.43005147274804,4.77743530273115,diff
2Orig,73,I,3,4.70398451712114,4.97304426986763,diff
2Orig,74,II,3,5.18399807380742,4.95718236223111,diff
2Orig,75,IV,3,4.41967872274959,4.59337078529834,diff
2Swap,65,#ivo,4,5.85420115745702,4.97805667481855,diff
2Swap,66,I,4,1.74381996397228,3.52520450506312,diff
2Swap,67,I,5,4.17382523536376,4.85606672146261,diff
2Swap,68,IV,5,1.94219507391082,4.66041423196676,diff
2Swap,69,#ivo,4,5.85420115745702,4.97805667481855,diff
2Swap,70,I,4,1.74381996397228,3.52520450506312,diff
2Swap,71,III,5,6.33885459494923,4.85606672146261,diff
2Swap,72,vi,2,3.329213995793,4.97378822166393,diff
2Swap,73,I,3,3.15239702472867,5.04476993302056,diff
2Swap,74,II,4,5.84364842374686,4.00435039995582,diff
2Swap,75,IV,3,4.41967872274959,4.59337078529834,diff
3Orig,85,V,7,1.23461492829003,3.47230310795326,diff
3Orig,86,I,8,2.66389587595012,4.76999579032417,diff
3Orig,87,I,9,3.04885737960647,4.62294399121256,diff
3Orig,88,IV,9,3.69159160253988,2.72481852457878,diff
3Orig,89,#ivo,9,6.36292192232429,3.63259270633449,diff
3Orig,90,I,5,1.74381996397228,3.52520450506312,diff
3Orig,91,vi,6,2.53250928423263,4.87618003315256,diff
3Orig,92,I,5,4.90718597396939,2.66815860547354,diff
3Orig,93,vi,4,1.39943091276202,4.01466529524796,diff
3Orig,94,IV,5,4.28990906611022,4.02962553551093,diff
3Orig,95,ii,5,4.55916325742047,4.75985171505921,diff
3Swap,85,V,7,1.23461492829003,3.47230310795326,diff
3Swap,86,I,8,2.66389587595012,4.76999579032417,diff
3Swap,87,I,9,3.04885737960647,4.62294399121256,diff
3Swap,88,IV,9,3.69159160253988,2.72481852457878,diff
3Swap,89,#ivo,9,6.36292192232429,3.63259270633449,diff
3Swap,90,V,5,1.74529511240437,3.52520450506312,diff
3Swap,91,vi,6,6.69671504760344,3.74371437914735,diff
3Swap,92,I,2,4.69225796764901,5.32418688673387,diff
3Swap,93,vi,3,4.03796020367729,5.0746956478773,diff
3Swap,94,IV,4,2.91866633545224,4.71000213408906,diff
3Swap,95,ii,5,4.84725653649102,4.21324928297579,diff
4Orig,55,V,7,4.31835519774713,3.9421205391728,diff
4Orig,56,I,6,1.80821459897962,4.3991669888201,diff
4Orig,57,I,7,1.62367101803384,3.97743901201568,diff
4Orig,58,IV,7,1.7861503882853,4.44808137120202,diff
4Orig,59,#ivo,7,5.84772891921103,4.28985549113874,diff
4Orig,60,I,5,1.74381996397228,3.52520450506312,diff
4Orig,61,vi,6,2.99190796961459,4.90941513075879,diff
4Orig,62,ii,5,3.75230262840995,4.42565364861392,diff
4Orig,63,IV,4,4.24435338502678,4.2333212635873,diff
4Orig,64,I,4,3.52031452480578,4.52333424023896,diff
4Orig,65,IV,4,4.86545266259612,4.80418810513798,diff
4Swap,55,V,7,4.31835519774713,3.9421205391728,diff
4Swap,56,I,6,1.80821459897962,4.3991669888201,diff
4Swap,57,I,7,1.62367101803384,3.97743901201568,diff
4Swap,58,IV,7,1.7861503882853,4.44808137120202,diff
4Swap,59,#ivo,7,5.84772891921103,4.28985549113874,diff
4Swap,60,V,5,1.74529511240437,3.52520450506312,diff
4Swap,61,vi,6,6.64477994762767,3.94547968801801,diff
4Swap,62,ii,2,4.66566959259027,5.32418688673387,diff
4Swap,63,IV,3,3.39502085748315,5.02252397898405,diff
4Swap,64,I,4,2.5251919664383,4.51269686929027,diff
4Swap,65,IV,5,4.68692645895349,5.0577602166767,diff
5Orig,57,IV,6,4.09681025242648,4.91319340081567,diff
5Orig,58,I,6,2.63221129332479,4.650081596549,diff
5Orig,59,I,7,3.66723845936313,4.68857112660736,diff
5Orig,60,IV,7,2.36347197966053,4.67888300842846,diff
5Orig,61,#ivo,8,5.7986584991506,4.6060445177196,diff
5Orig,62,I,5,1.93081852001844,3.8305125672195,diff
5Orig,63,I,6,4.4230143023969,4.38415764969014,diff
5Orig,64,IV,5,1.94219507391082,4.66041423196676,diff
5Orig,65,#ivo,4,5.85420115745702,4.97805667481855,diff
5Orig,66,I,4,1.74381996397228,3.52520450506312,diff
5Orig,67,I,5,4.17382523536376,4.85606672146261,diff
5Swap,57,IV,6,4.09681025242648,4.91319340081567,diff
5Swap,58,I,6,2.63221129332479,4.650081596549,diff
5Swap,59,I,7,3.66723845936313,4.68857112660736,diff
5Swap,60,IV,7,2.36347197966053,4.67888300842846,diff
5Swap,61,#ivo,8,5.7986584991506,4.6060445177196,diff
5Swap,62,V,5,1.93280078886683,3.8305125672195,diff
5Swap,63,I,6,3.3488832391,4.09226305433516,diff
5Swap,64,IV,5,1.7969672937744,4.4653674112682,diff
5Swap,65,#ivo,4,6.42290918915871,3.44160543695478,diff
5Swap,66,I,4,1.62924491920071,3.6602364399977,diff
5Swap,67,I,5,4.34463811173245,4.41003059087504,diff
6Orig,3,IV,2,3.13711764555501,4.60784566687696,diff
6Orig,4,I,3,2.64180522877056,4.77803744218645,diff
6Orig,5,I,4,3.10110259291439,4.96715253804474,diff
6Orig,6,IV,5,4.56029950611029,4.13452540747418,diff
6Orig,7,#ivo,5,5.47947829762149,4.84230778965763,diff
6Orig,8,I,5,1.93081852001844,3.8305125672195,diff
6Orig,9,V,6,4.26673639248514,4.83233481150579,diff
6Orig,10,I,6,3.28400705607258,4.59497049615873,diff
6Orig,11,I,6,3.22395733281081,5.20791411018094,diff
6Orig,12,I,5,1.20429195310158,3.89361036250513,diff
6Orig,13,I,8,2.10033011752125,4.42888296753242,diff
6Swap,3,IV,2,3.13711764555501,4.60784566687696,diff
6Swap,4,I,3,2.64180522877056,4.77803744218645,diff
6Swap,5,I,4,3.10110259291439,4.96715253804474,diff
6Swap,6,IV,5,4.56029950611029,4.13452540747418,diff
6Swap,7,#ivo,5,5.47947829762149,4.84230778965763,diff
6Swap,8,V,5,1.93280078886683,3.8305125672195,diff
6Swap,9,V,6,3.28798405003032,4.29549189803707,diff
6Swap,10,I,5,1.35491924773258,4.12497242705381,diff
6Swap,11,I,7,2.53472212252832,4.65855140294213,diff
6Swap,12,I,5,2.41612364813605,4.98258780765828,diff
6Swap,13,I,6,1.86251995409807,4.5528317149739,diff
7Orig,52,V,7,0.151596649410682,0.926337201662917,diff
7Orig,53,V,10,1.13120493950969,3.27601477521119,diff
7Orig,54,I,10,3.03235658206786,3.53080273606044,diff
7Orig,55,I,10,2.02744951400262,4.4602985643102,diff
7Orig,56,I,9,0.859647976188795,3.13138485197077,diff
7Orig,57,I,10,1.93424817012298,3.81055075344048,diff
7Orig,58,I,10,1.51277924156403,3.82394590055437,diff
7Orig,59,I,10,0.944775077229531,3.07823225317816,diff
7Orig,60,IV,10,3.19287426063401,4.24227115151005,diff
7Orig,61,IV,10,2.45504992843362,4.20175282840811,diff
7Orig,62,V,10,5.13547124802196,2.54181470622894,diff
7Swap,52,V,7,0.151596649410682,0.926337201662917,diff
7Swap,53,V,10,1.13120493950969,3.27601477521119,diff
7Swap,54,I,10,3.03235658206786,3.53080273606044,diff
7Swap,55,I,10,2.02744951400262,4.4602985643102,diff
7Swap,56,I,9,0.859647976188795,3.13138485197077,diff
7Swap,57,V,10,1.93191274778773,3.81055075344048,diff
7Swap,58,I,10,3.33251246963479,2.83669535068731,diff
