Comparison,Row,Orig_Symbol,Orig_Order,Orig_IC,Orig_Entropy,Swap_Symbol,Swap_Order,Swap_IC,Swap_Entropy,Distance
1,4,V,3,4.69404654859594,5.27313096157576,V,3,4.69404654859594,5.27313096157576,
1,5,I,4,2.24960232914023,4.88117734917878,I,4,2.24960232914023,4.88117734917878,
1,6,V,5,2.55377610113065,5.04129591578907,V,5,2.55377610113065,5.04129591578907,
1,7,V,6,3.8567095012153,4.60364988545817,V,6,3.8567095012153,4.60364988545817,
1,8,I,6,2.44749403550958,4.5740804255975,I,6,2.44749403550958,4.5740804255975,
1,9,ii,7,5.72566060791211,3.78569985435641,-III,7,5.72676268684204,3.78569985435641,0.00110207892992964
1,10,I,5,4.40838513732569,4.01875112059,I,5,5.4993846261453,4.6306320758903,
1,11,IV,4,2.941858151794,5.0978379576327,IV,3,4.86931360928016,5.00853508399654,
1,12,V,5,3.41848637638904,4.70321717408336,V,3,4.98002001901263,4.62891357224964,
1,13,I,6,1.55708155477194,4.21520965750551,I,3,3.67946767490085,5.22067304571998,
1,14,ii,7,3.01466307502609,4.61335458224546,ii,4,4.54595909172568,5.1920387674186,
,,,,,,,,,,
2,9,ii,7,5.72566060791211,3.78569985435641,ii,7,5.72566060791211,3.78569985435641,
2,10,I,5,4.40838513732569,4.01875112059,I,5,4.40838513732569,4.01875112059,
2,11,IV,4,2.941858151794,5.0978379576327,IV,4,2.941858151794,5.0978379576327,
2,12,V,5,3.41848637638904,4.70321717408336,V,5,3.41848637638904,4.70321717408336,
2,13,I,6,1.55708155477194,4.21520965750551,I,6,1.55708155477194,4.21520965750551,
2,14,ii,7,3.01466307502609,4.61335458224546,I,7,3.0337360282042,4.61335458224546,0.0190729531781111
2,15,I,6,4.1258593529377,3.38856715078151,I,7,2.38471026140737,4.58863348368551,
2,16,IV,5,2.26393634687941,4.65289309714754,IV,7,3.79723284155342,2.90652520421423,
2,17,V,6,2.5785440332493,4.3858758389171,V,7,3.14477523642576,4.66790877236753,
2,18,I,6,1.00418500897792,3.4994387236383,I,8,1.07454541833789,3.2726192681835,
2,19,vi,8,4.00791677662752,4.61335458224546,vi,9,4.39911708931734,4.8354651818294,
,,,,,,,,,,
3,26,ii,5,4.505402702704,5.07317324893715,ii,5,4.505402702704,5.07317324893715,
3,27,I,6,4.55837065940747,3.92680303886005,I,6,4.55837065940747,3.92680303886005,
3,28,IV,4,2.941858151794,5.0978379576327,IV,4,2.941858151794,5.0978379576327,
3,29,V,5,3.41848637638904,4.70321717408336,V,5,3.41848637638904,4.70321717408336,
3,30,I,6,1.55708155477194,4.21520965750551,I,6,1.55708155477194,4.21520965750551,
3,31,ii,7,3.01466307502609,4.61335458224546,I,7,3.0337360282042,4.61335458224546,0.0190729531781111
3,32,I,6,4.1258593529377,3.38856715078151,I,7,2.38471026140737,4.58863348368551,
3,33,IV,5,2.26393634687941,4.65289309714754,IV,7,3.79723284155342,2.90652520421423,
3,34,V,6,2.5785440332493,4.3858758389171,V,7,3.14477523642576,4.66790877236753,
3,35,I,6,1.00418500897792,3.4994387236383,I,8,1.07454541833789,3.2726192681835,
3,36,iii,8,5.13310162984331,4.61335458224546,iii,9,4.5137743461201,4.8354651818294,
,,,,,,,,,,
4,43,iii,4,5.05436393266534,5.25312395523794,iii,4,5.05436393266534,5.25312395523794,
4,44,vi,5,1.61618740390486,4.03932473416135,vi,5,1.61618740390486,4.03932473416135,
4,45,IV,6,2.1791670311593,4.29802738389231,IV,6,2.1791670311593,4.29802738389231,
4,46,V,6,0.568063799317617,2.40581340868243,V,6,0.568063799317617,2.40581340868243,
4,47,I,5,0.385524876049528,1.96193066024133,I,5,0.385524876049528,1.96193066024133,
4,48,iii,9,3.60972714659836,4.5667058890257,I,9,3.57512398320146,4.5667058890257,0.0346031633969064
4,49,vi,6,0.409967615764672,1.90603894869687,vi,6,4.51280134143547,4.57796293686496,
4,50,IV,10,1.31178442929687,3.51947457695867,IV,6,2.41079495218243,4.44628713623757,
4,51,V,6,0.568063799317617,2.40581340868243,V,6,0.332858876488086,1.67509440575509,
4,52,I,5,0.385524876049528,1.96193066024133,I,8,1.15422421300775,3.10380891102695,
4,53,iii,10,1.8549424797099,4.36963790490158,iii,9,5.86473278245308,4.01561661031283,
,,,,,,,,,,
5,98,iii,4,5.05436393266534,5.25312395523794,iii,4,5.05436393266534,5.25312395523794,
5,99,vi,5,1.61618740390486,4.03932473416135,vi,5,1.61618740390486,4.03932473416135,
5,100,IV,6,2.1791670311593,4.29802738389231,IV,6,2.1791670311593,4.29802738389231,
