Comparison,Row,Orig_Symbol,Orig_Order,Orig_IC,Orig_Entropy,Swap_Symbol,Swap_Order,Swap_IC,Swap_Entropy,Distance
1,26,ii,3,2.63322209717755,4.78559253978181,ii,3,2.63322209717755,4.78559253978181,
1,27,ii,4,3.57362092832334,4.3741921280285,ii,4,3.57362092832334,4.3741921280285,
1,28,I,5,3.35000995863157,4.27621610883266,I,5,3.35000995863157,4.27621610883266,
1,29,I,5,2.00691133634269,4.70538024754711,I,5,2.00691133634269,4.70538024754711,
1,30,vi,5,4.84158566758068,4.29372684264128,vi,5,4.84158566758068,4.29372684264128,
1,31,vi,5,3.15395205007236,4.87336758166512,IV,5,3.14610357146322,4.87336758166512,0.00784847860913551
1,32,IV,5,4.06010552872238,5.01655904826216,IV,5,4.11678310800283,4.05975295712462,
1,33,IV,5,2.30135458693232,4.50552989934629,IV,5,2.75564239849147,4.58578245588006,
1,34,V,6,2.73586996770012,4.62230341494835,V,5,4.38264268684695,3.76346536718153,
1,35,iii,7,4.84859019645478,4.38608051003687,iii,5,5.53606435128234,4.28530701809593,
1,36,V,5,4.78531778184087,4.14081168009016,V,4,4.47200914350764,4.61996759521201,
,,,,,,,,,,
2,8,IV,6,0.222351079757524,1.26854784051895,IV,6,0.222351079757524,1.26854784051895,
2,9,V,7,0.215929747364492,1.23787631255001,V,7,0.215929747364492,1.23787631255001,
2,10,iii,9,5.11401456639649,4.00075279705348,iii,9,5.11401456639649,4.00075279705348,
2,11,V,5,4.78531778184087,4.14081168009016,V,5,4.78531778184087,4.14081168009016,
2,12,-VII,4,6.72621159734726,4.42550928749448,-VII,4,6.72621159734726,4.42550928749448,
2,13,vi,2,5.59242911331918,5.22750472871588,v,2,5.56967378766408,5.22750472871588,0.0227553256550967
2,14,-VI,2,4.92708762908558,5.31855856024908,-VI,2,4.81068602907772,5.29501837552189,
2,15,V,3,3.82326193510908,4.90975995816794,V,3,4.82674669950072,4.48434931791713,
2,16,IV,3,3.63503323216422,4.78265422620271,IV,3,5.0215217171812,3.97963322310251,
2,17,iii,4,5.14378367055781,4.25424210379881,iii,3,4.77178234795843,4.86449892693075,
2,18,ii,3,2.63322209717755,4.78559253978181,ii,3,2.63322209717755,4.78559253978181,
,,,,,,,,,,
3,7,IV,6,1.1966425896282,3.89755224687421,IV,6,1.1966425896282,3.89755224687421,
3,8,IV,6,0.222351079757524,1.26854784051895,IV,6,0.222351079757524,1.26854784051895,
3,9,V,7,0.215929747364492,1.23787631255001,V,7,0.215929747364492,1.23787631255001,
3,10,iii,9,5.11401456639649,4.00075279705348,iii,9,5.11401456639649,4.00075279705348,
3,11,V,5,4.78531778184087,4.14081168009016,V,5,4.78531778184087,4.14081168009016,
3,12,-VII,4,6.72621159734726,4.42550928749448,III,4,6.75427268005945,4.42550928749448,0.0280610827121945
3,13,vi,2,5.59242911331918,5.22750472871588,vi,2,2.21385253813069,4.68684096501572,
3,14,-VI,2,4.92708762908558,5.31855856024908,-VI,3,6.30342061559964,5.03672234828659,
3,15,V,3,3.82326193510908,4.90975995816794,V,2,3.54957072011469,5.20083075857601,
3,16,IV,3,3.63503323216422,4.78265422620271,IV,3,3.63503323216422,4.78265422620271,
3,17,iii,4,5.14378367055781,4.25424210379881,iii,4,5.14378367055781,4.25424210379881,
,,,,,,,,,,
4,11,V,5,4.78531778184087,4.14081168009016,V,5,4.78531778184087,4.14081168009016,
4,12,-VII,4,6.72621159734726,4.42550928749448,-VII,4,6.72621159734726,4.42550928749448,
4,13,vi,2,5.59242911331918,5.22750472871588,vi,2,5.59242911331918,5.22750472871588,
4,14,-VI,2,4.92708762908558,5.31855856024908,-VI,2,4.92708762908558,5.31855856024908,
4,15,V,3,3.82326193510908,4.90975995816794,V,3,3.82326193510908,4.90975995816794,
4,16,IV,3,3.63503323216422,4.78265422620271,-VI,3,3.58849706258253,4.78265422620271,0.0465361695816906
4,17,iii,4,5.14378367055781,4.25424210379881,iii,4,7.25983692971556,4.48141505416617,
4,18,ii,3,2.63322209717755,4.78559253978181,ii,1,5.026973506273,5.43813566654174,
4,19,ii,4,3.57362092832334,4.3741921280285,ii,2,3.71225169578844,5.19835594658535,
4,20,-VII,5,6.09826298986579,4.27621610883266,-VII,3,5.6461849686316,4.87067600348831,
4,21,vi,3,4.54929289029965,4.92664199626024,vi,3,4.54929289029965,4.92664199626024,
,,,,,,,,,,
5,19,ii,4,3.57362092832334,4.3741921280285,ii,4,3.57362092832334,4.3741921280285,
5,20,-VII,5,6.09826298986579,4.27621610883266,-VII,5,6.09826298986579,4.27621610883266,
5,21,vi,3,4.54929289029965,4.92664199626024,vi,3,4.54929289029965,4.92664199626024,
5,22,-VI,3,5.73302660623971,3.85578478648724,-VI,3,5.73302660623971,3.85578478648724,
5,23,V,3,3.82326193510908,4.90975995816794,V,3,3.82326193510908,4.90975995816794,
5,24,IV,3,3.63503323216422,4.78265422620271,-VI,3,3.58849706258253,4.78265422620271,0.0465361695816906
5,25,iii,4,5.14378367055781,4.25424210379881,iii,4,7.25983692971556,4.48141505416617,
5,26,ii,3,2.63322209717755,4.78559253978181,ii,1,5.026973506273,5.43813566654174,
5,27,ii,4,3.57362092832334,4.3741921280285,ii,2,3.71225169578844,5.19835594658535,
5,28,I,5,3.35000995863157,4.27621610883266,I,3,3.27234716290049,4.87067600348831,
5,29,I,5,2.00691133634269,4.70538024754711,I,4,3.01789288172975,5.08531967047964,
,,,,,,,,,,
6,29,I,5,2.00691133634269,4.70538024754711,I,5,2.00691133634269,4.70538024754711,
6,30,vi,5,4.84158566758068,4.29372684264128,vi,5,4.84158566758068,4.29372684264128,
6,31,vi,5,3.15395205007236,4.87336758166512,vi,5,3.15395205007236,4.87336758166512,
6,32,IV,5,4.06010552872238,5.01655904826216,IV,5,4.06010552872238,5.01655904826216,
6,33,IV,5,2.30135458693232,4.50552989934629,IV,5,2.30135458693232,4.50552989934629,
6,34,V,6,2.73586996770012,4.62230341494835,I,6,2.80122286332113,4.62230341494835,0.065352895621007
6,35,iii,7,4.84859019645478,4.38608051003687,iii,7,5.55330254019239,3.07695457382535,
6,36,V,5,4.78531778184087,4.14081168009016,V,5,5.99480060780747,4.03511108381279,
6,37,I,4,1.7282476542288,4.42550928749448,I,3,2.1420390421644,4.88696459789,
6,38,I,5,3.52990150505768,4.83980716119292,I,4,2.10309256780192,4.82227435417966,
6,39,vi,5,4.0902106622858,4.68295712135022,vi,5,2.10516826076504,4.67924366217045,
,,,,,,,,,,
7,15,V,3,3.82326193510908,4.90975995816794,V,3,3.82326193510908,4.90975995816794,
7,16,IV,3,3.63503323216422,4.78265422620271,IV,3,3.63503323216422,4.78265422620271,
7,17,iii,4,5.14378367055781,4.25424210379881,iii,4,5.14378367055781,4.25424210379881,
7,18,ii,3,2.63322209717755,4.78559253978181,ii,3,2.63322209717755,4.78559253978181,
7,19,ii,4,3.57362092832334,4.3741921280285,ii,4,3.57362092832334,4.3741921280285,
7,20,-VII,5,6.09826298986579,4.27621610883266,II,5,6.01384946578635,4.27621610883266,0.0844135240794408
7,21,vi,3,4.54929289029965,4.92664199626024,vi,3,6.57521025976174,4.75578155609727,
7,22,-VI,3,5.73302660623971,3.85578478648724,-VI,2,5.90027243044154,5.1865068861257,
7,23,V,3,3.82326193510908,4.90975995816794,V,2,3.54957072011469,5.20083075857601,
7,24,IV,3,3.63503323216422,4.78265422620271,IV,3,3.63503323216422,4.78265422620271,
7,25,iii,4,5.14378367055781,4.25424210379881,iii,4,5.14378367055781,4.25424210379881,
,,,,,,,,,,
8,15,V,3,3.82326193510908,4.90975995816794,V,3,3.82326193510908,4.90975995816794,
8,16,IV,3,3.63503323216422,4.78265422620271,IV,3,3.63503323216422,4.78265422620271,
8,17,iii,4,5.14378367055781,4.25424210379881,iii,4,5.14378367055781,4.25424210379881,
8,18,ii,3,2.63322209717755,4.78559253978181,ii,3,2.63322209717755,4.78559253978181,
8,19,ii,4,3.57362092832334,4.3741921280285,ii,4,3.57362092832334,4.3741921280285,
8,20,-VII,5,6.09826298986579,4.27621610883266,i,5,6.18592761039024,4.27621610883266,0.087664620524448
8,21,vi,3,4.54929289029965,4.92664199626024,vi,3,7.00891985205158,4.19810796559912,
8,22,-VI,3,5.73302660623971,3.85578478648724,-VI,2,3.80655160440839,5.25887637782884,
8,23,V,3,3.82326193510908,4.90975995816794,V,3,3.91384420922382,4.59913651765044,
8,24,IV,3,3.63503323216422,4.78265422620271,IV,3,3.63503323216422,4.78265422620271,
8,25,iii,4,5.14378367055781,4.25424210379881,iii,4,5.14378367055781,4.25424210379881,
,,,,,,,,,,
9,33,IV,5,2.30135458693232,4.50552989934629,IV,5,2.30135458693232,4.50552989934629,
9,34,V,6,2.73586996770012,4.62230341494835,V,6,2.73586996770012,4.62230341494835,
9,35,iii,7,4.84859019645478,4.38608051003687,iii,7,4.84859019645478,4.38608051003687,
9,36,V,5,4.78531778184087,4.14081168009016,V,5,4.78531778184087,4.14081168009016,
9,37,I,4,1.7282476542288,4.42550928749448,I,4,1.7282476542288,4.42550928749448,
9,38,I,5,3.52990150505768,4.83980716119292,V,5,3.43982451343008,4.83980716119292,0.0900769916276034
9,39,vi,5,4.0902106622858,4.68295712135022,vi,5,4.81408365221128,4.52169751401126,
9,40,vi,5,3.56493027045334,4.68886121032257,vi,4,3.58478377769035,5.19511893052633,
9,41,IV,5,3.08569934899876,5.09574722539834,IV,5,2.6250495147903,4.64872506012978,
