Comparison,Row,Orig_Symbol,Orig_Order,Orig_IC,Orig_Entropy,Swap_Symbol,Swap_Order,Swap_IC,Swap_Entropy,Distance
1,26,I,7,1.75479228145594,4.26108786600193,I,7,1.75479228145594,4.26108786600193,
1,27,V,7,4.30450069589785,4.27029018917229,V,7,4.30450069589785,4.27029018917229,
1,28,I,6,2.96519254935801,4.76199893995027,I,6,2.96519254935801,4.76199893995027,
1,29,V,7,3.09421039200562,4.39291272100114,V,7,3.09421039200562,4.39291272100114,
1,30,I,7,2.22831321866117,4.58541147753447,I,7,2.22831321866117,4.58541147753447,
1,31,V,8,3.04989875911335,4.41511787737516,I,8,3.05585929702176,4.41511787737516,0.00596053790840712
1,32,I,8,1.1891611475399,3.65913474786856,I,8,2.18731260198746,4.15846897990523,
1,33,V,9,2.299844097073,4.47564815697137,V,9,3.74642716231937,3.8689032343966,
1,34,I,9,0.95232719531641,3.30157648890363,I,7,0.859781178853535,3.0145354069433,
1,35,V,10,1.76969161568905,4.34092492336883,V,9,3.86600655879792,4.00784015946086,
1,36,I,10,1.46091547297521,3.78762161737865,I,6,1.83185856292955,4.28875308562174,
,,,,,,,,,,
2,37,V,10,1.34900141894008,3.93857195895926,V,10,1.34900141894008,3.93857195895926,
2,38,I,10,1.46091547297521,3.78762161737865,I,10,1.46091547297521,3.78762161737865,
2,39,V,10,1.34900141894008,3.93857195895926,V,10,1.34900141894008,3.93857195895926,
2,40,I,10,1.46091547297521,3.78762161737865,I,10,1.46091547297521,3.78762161737865,
2,41,V,10,1.34900141894008,3.93857195895926,V,10,1.34900141894008,3.93857195895926,
2,42,II,10,5.78566318298815,3.78762161737865,-II,10,5.79440661677937,3.78762161737865,0.00874343379121356
2,43,V,5,2.55670743301513,3.6325906329647,V,3,5.71007815459098,4.50064779405603,
2,44,II,5,1.47212299678232,3.8299961997879,II,2,5.92845862260346,5.17795016084224,
2,45,V,5,0.525998065503266,2.36641563625238,V,2,3.63769323193576,5.24071230009494,
2,46,II,6,0.719317218830667,2.92276955891055,II,3,3.17956596601971,4.95276416026797,
2,47,V,7,3.0914533714782,2.628764287722,V,4,1.55426521842298,4.11674137788026,
,,,,,,,,,,
3,65,III,2,6.49392058480511,4.83603510245779,III,2,6.49392058480511,4.83603510245779,
3,66,VI,2,5.18380809820893,4.95169929806197,VI,2,5.18380809820893,4.95169929806197,
3,67,III,2,6.49392058480511,4.83603510245779,III,2,6.49392058480511,4.83603510245779,
3,68,VI,2,5.18380809820893,4.95169929806197,VI,2,5.18380809820893,4.95169929806197,
3,69,V,2,5.44173273843846,4.83603510245779,V,2,5.44173273843846,4.83603510245779,
3,70,V,2,3.99656735319841,5.30613269070794,I,2,4.0063338026861,5.30613269070794,0.00976644948768657
3,71,I,3,2.97335900543109,5.08375514777484,I,3,2.08230635475222,4.93992993872952,
3,72,I,4,2.15908789504544,4.90357390112031,I,4,3.08405960722002,5.1841518135678,
3,73,vi,5,4.56080713809449,5.03296476418536,vi,5,4.61275015311805,4.8596020677446,
3,74,vi,5,2.50402241238391,4.73538445718649,vi,5,3.67623149577346,4.81371646720628,
3,75,IV,6,2.51349188996281,4.82411617649109,IV,6,2.29756166696674,4.86320935556729,
,,,,,,,,,,
4,55,V,8,2.51560675638299,3.61178267079639,V,8,2.51560675638299,3.61178267079639,
4,56,II,7,1.4414071529321,4.03365191234895,II,7,1.4414071529321,4.03365191234895,
4,57,III,8,7.7174042668534,3.61178267079639,III,8,7.7174042668534,3.61178267079639,
4,58,VI,2,5.16382480190589,5.1066059932851,VI,2,5.16382480190589,5.1066059932851,
4,59,III,2,6.49392058480511,4.83603510245779,III,2,6.49392058480511,4.83603510245779,
4,60,VI,2,5.18380809820893,4.95169929806197,I,2,5.19664844398235,4.95169929806197,0.0128403457734247
4,61,III,2,6.49392058480511,4.83603510245779,III,2,5.12461825570223,5.3868272023956,
4,62,VI,2,5.18380809820893,4.95169929806197,VI,3,4.44431809757032,4.43526102105792,
4,63,III,2,6.49392058480511,4.83603510245779,III,3,6.85721368727042,4.40622461799125,
