Comparison,Row,Orig_Symbol,Orig_Order,Orig_IC,Orig_Entropy,Swap_Symbol,Swap_Order,Swap_IC,Swap_Entropy,Distance
1,6,I,5,1.72463750913904,4.28934133135754,I,5,1.72463750913904,4.28934133135754,
1,7,IV,6,4.23471723016932,4.58060579609424,IV,6,4.23471723016932,4.58060579609424,
1,8,V,6,2.41573298697509,4.05409404164287,V,6,2.41573298697509,4.05409404164287,
1,9,I,7,0.772634306028891,2.85315835557825,I,7,0.772634306028891,2.85315835557825,
1,10,I,8,2.71490829852202,4.60067977282978,I,8,2.71490829852202,4.60067977282978,
1,11,IV,9,2.88518827350216,3.94376227493493,V,9,2.93133945451814,3.94376227493493,0.0461511810159867
1,12,V,8,2.38879720003803,4.62259770683039,V,8,3.44615544639014,4.27619727851583,
1,13,I,9,1.15043380306387,3.52231580343947,I,7,3.65356221402852,4.57467150396047,
1,14,I,10,1.42239191343845,4.05659361301731,I,6,1.34836131471134,3.93529307859824,
1,15,IV,10,1.26621245605258,3.58345348959638,IV,7,3.48804798161834,4.8789837486225,
1,16,V,10,0.208949431585347,1.19880880542682,V,8,3.58051974371155,4.34724293806431,
,,,,,,,,,,
