Comparison,Row,Orig_Symbol,Orig_Order,Orig_IC,Orig_Entropy,Swap_Symbol,Swap_Order,Swap_IC,Swap_Entropy,Distance
1,107,II,5,3.85400830912121,4.91326180850878,II,5,3.85400830912121,4.91326180850878,
1,108,VI,5,5.41914885615008,3.17719180710253,VI,5,5.41914885615008,3.17719180710253,
1,109,III,4,6.73113161599606,4.73417168898886,III,4,6.73113161599606,4.73417168898886,
1,110,III,2,4.28497493611807,4.87301050995424,III,2,4.28497493611807,4.87301050995424,
1,111,II,2,6.59913571506307,5.13736254708358,II,2,6.59913571506307,5.13736254708358,
1,112,-VII,1,5.14172255516818,5.43830358757471,VI,1,5.15025803459671,5.43830358757471,0.00853547942852995
1,113,IV,2,4.45041157205204,5.27724450383482,IV,2,5.20164994913686,5.25545650659517,
1,114,I,3,2.22948917954722,4.92530136715183,I,2,4.7878568002835,5.34598709491976,
1,115,I,4,2.2520144804008,4.91573377017802,I,3,4.57394542494684,5.096688583242,
1,116,-VII,5,4.137038683667,4.82718513022081,-VII,3,5.11782289096993,5.36393256326064,
1,117,IV,5,2.48102122979056,4.17891954951514,IV,4,3.0987118793747,4.48395812370221,
,,,,,,,,,,
2,115,I,4,2.2520144804008,4.91573377017802,I,4,2.2520144804008,4.91573377017802,
2,116,-VII,5,4.137038683667,4.82718513022081,-VII,5,4.137038683667,4.82718513022081,
2,117,IV,5,2.48102122979056,4.17891954951514,IV,5,2.48102122979056,4.17891954951514,
2,118,I,6,2.73066249973297,4.8101845239333,I,6,2.73066249973297,4.8101845239333,
2,119,I,7,2.73005225885511,4.74922655190692,I,7,2.73005225885511,4.74922655190692,
2,120,-VII,8,2.53725185893935,4.47033711469954,I,8,2.52780262454045,4.47033711469954,0.00944923439889678
2,121,IV,9,1.31035691190215,3.20856348224256,IV,9,4.14096392862441,4.91366596088943,
2,122,I,10,0.697501603668092,2.54708997130008,I,6,3.43078796877754,4.65215616985096,
2,123,I,10,1.25959814732376,3.61431981804211,I,6,2.83644332560926,4.75170064232118,
2,124,-VII,10,0.849674300885767,2.88009020827057,-VII,7,4.71373449161773,4.88287496986765,
