Comparison,Row,Orig_Symbol,Orig_Order,Orig_IC,Orig_Entropy,Swap_Symbol,Swap_Order,Swap_IC,Swap_Entropy,Distance
1,48,I,4,1.74862395397984,4.48878971134035,I,4,1.74862395397984,4.48878971134035,
1,49,-VII,5,5.51389477854281,4.95702482987497,-VII,5,5.51389477854281,4.95702482987497,
1,50,I,4,2.5435263230608,4.45807359056621,I,4,2.5435263230608,4.45807359056621,
1,51,IV,5,4.23574075605349,4.71912716135667,IV,5,4.23574075605349,4.71912716135667,
1,52,V,5,3.93491751771339,4.50697313093287,V,5,3.93491751771339,4.50697313093287,
1,53,IV,4,5.80897719613554,2.61269921384249,vi,4,5.8136296302201,2.61269921384249,0.00465243408456217
1,54,ii,4,4.91152725651133,4.79748296267455,ii,4,4.63784808097325,4.79242932746457,
1,55,V,4,3.48105842363507,4.61907434590543,V,4,2.66362454587247,4.7678727904963,
1,56,I,4,1.74862395397984,4.48878971134035,I,5,3.74910364273839,4.92004267168623,
1,57,-VII,5,5.51389477854281,4.95702482987497,-VII,5,5.40803095394265,5.06726850418594,
1,58,I,4,2.5435263230608,4.45807359056621,I,4,2.5435263230608,4.45807359056621,
,,,,,,,,,,
2,56,I,4,1.74862395397984,4.48878971134035,I,4,1.74862395397984,4.48878971134035,
2,57,-VII,5,5.51389477854281,4.95702482987497,-VII,5,5.51389477854281,4.95702482987497,
2,58,I,4,2.5435263230608,4.45807359056621,I,4,2.5435263230608,4.45807359056621,
2,59,IV,5,4.23574075605349,4.71912716135667,IV,5,4.23574075605349,4.71912716135667,
2,60,V,5,3.93491751771339,4.50697313093287,V,5,3.93491751771339,4.50697313093287,
2,61,IV,4,5.80897719613554,2.61269921384249,vi,4,5.8136296302201,2.61269921384249,0.00465243408456217
2,62,IV,4,3.53385707956987,4.79748296267455,IV,4,3.5089843536777,4.79242932746457,
2,63,I,5,1.92066243855152,4.22791927798875,I,5,3.06009522552727,4.75020610203037,
2,64,ii,6,5.54276638138926,4.40998393480256,ii,6,5.19960473576602,4.02817233117262,
2,65,ii,4,3.6526979268947,4.77829151705964,ii,4,4.17720061158477,4.47305135408076,
