Comparison,Row,Orig_Symbol,Orig_Order,Orig_IC,Orig_Entropy,Swap_Symbol,Swap_Order,Swap_IC,Swap_Entropy,Distance
1,8,-VII,4,5.5180933149466,3.90688310441633,-VII,4,5.5180933149466,3.90688310441633,
1,9,i,3,4.90974875078087,5.25632213924953,i,3,4.90974875078087,5.25632213924953,
1,10,i,3,3.68016229377602,4.97471954969957,i,3,3.68016229377602,4.97471954969957,
1,11,IV,4,4.6468970170758,4.8508397936922,IV,4,4.6468970170758,4.8508397936922,
1,12,-VII,4,4.48856767062568,4.86940681127275,-VII,4,4.48856767062568,4.86940681127275,
1,13,i,4,4.67523375930434,4.85471116754992,-III,4,4.66784611534333,4.85471116754992,0.00738764396101388
1,14,-III,4,5.1252480972482,4.41597132267513,-III,4,4.32498812908322,4.84810918096594,
1,15,IV,3,3.97427221764498,5.13916464893839,IV,4,4.69251418357403,4.9552966914514,
1,16,-VII,4,5.5180933149466,3.90688310441633,-VII,4,5.297540522852,4.17145463133199,
1,17,i,3,4.90974875078087,5.25632213924953,i,3,4.90974875078087,5.25632213924953,
1,18,i,3,3.68016229377602,4.97471954969957,i,3,3.68016229377602,4.97471954969957,
,,,,,,,,,,
2,174,-VII,4,5.5180933149466,3.90688310441633,-VII,4,5.5180933149466,3.90688310441633,
2,175,i,3,4.90974875078087,5.25632213924953,i,3,4.90974875078087,5.25632213924953,
2,176,i,3,3.68016229377602,4.97471954969957,i,3,3.68016229377602,4.97471954969957,
2,177,IV,4,4.6468970170758,4.8508397936922,IV,4,4.6468970170758,4.8508397936922,
2,178,-VII,4,4.48856767062568,4.86940681127275,-VII,4,4.48856767062568,4.86940681127275,
2,179,i,4,4.67523375930434,4.85471116754992,-III,4,4.66784611534333,4.85471116754992,0.00738764396101388
2,180,r,4,1.69659766729931,4.41597132267513,r,4,3.2604761252213,4.84810918096594,
2,181,r,4,0.814500771126025,2.66241291846203,r,4,0.656550653042401,2.21014652920284,
,,,,,,,,,,
3,42,i,6,2.81523898794666,4.87686696212619,i,6,2.81523898794666,4.87686696212619,
3,43,i,7,2.75296516289994,4.91805270491118,i,7,2.75296516289994,4.91805270491118,
3,44,i,8,2.88220851378719,4.89212041500054,i,8,2.88220851378719,4.89212041500054,
3,45,IV,9,4.31111353792568,4.92622387167504,IV,9,4.31111353792568,4.92622387167504,
3,46,-VII,10,3.14792204030361,3.83101289276689,-VII,10,3.14792204030361,3.83101289276689,
3,47,i,6,5.68792050144031,3.13736717590822,-III,6,5.6805328574793,3.13736717590822,0.00738764396101477
3,48,-III,4,5.1252480972482,4.41597132267513,-III,4,4.32498812908322,4.84810918096594,
3,49,IV,3,3.97427221764498,5.13916464893839,IV,4,4.69251418357403,4.9552966914514,
3,50,-VII,4,5.5180933149466,3.90688310441633,-VII,4,5.297540522852,4.17145463133199,
3,51,i,3,4.90974875078087,5.25632213924953,i,3,4.90974875078087,5.25632213924953,
3,52,i,3,3.68016229377602,4.97471954969957,i,3,3.68016229377602,4.97471954969957,
,,,,,,,,,,
4,10,i,3,3.68016229377602,4.97471954969957,i,3,3.68016229377602,4.97471954969957,
4,11,IV,4,4.6468970170758,4.8508397936922,IV,4,4.6468970170758,4.8508397936922,
4,12,-VII,4,4.48856767062568,4.86940681127275,-VII,4,4.48856767062568,4.86940681127275,
4,13,i,4,4.67523375930434,4.85471116754992,i,4,4.67523375930434,4.85471116754992,
4,14,-III,4,5.1252480972482,4.41597132267513,-III,4,5.1252480972482,4.41597132267513,
4,15,IV,3,3.97427221764498,5.13916464893839,-VI,3,3.98216092952179,5.13916464893839,0.00788871187680673
4,16,-VII,4,5.5180933149466,3.90688310441633,-VII,4,5.13408967564993,4.7017421519962,
4,17,i,3,4.90974875078087,5.25632213924953,i,3,3.19111484600455,4.75669106193576,
4,18,i,3,3.68016229377602,4.97471954969957,i,4,3.04005972577913,4.70482610062582,
4,19,IV,4,4.6468970170758,4.8508397936922,IV,5,4.68259164017005,4.64360069147825,
4,20,-VII,4,4.48856767062568,4.86940681127275,-VII,5,4.80449911682859,4.42320335213988,
,,,,,,,,,,
5,26,i,3,3.68016229377602,4.97471954969957,i,3,3.68016229377602,4.97471954969957,
5,27,IV,4,4.6468970170758,4.8508397936922,IV,4,4.6468970170758,4.8508397936922,
5,28,-VII,4,4.48856767062568,4.86940681127275,-VII,4,4.48856767062568,4.86940681127275,
5,29,i,4,4.67523375930434,4.85471116754992,i,4,4.67523375930434,4.85471116754992,
5,30,-III,4,5.1252480972482,4.41597132267513,-III,4,5.1252480972482,4.41597132267513,
5,31,IV,3,3.97427221764498,5.13916464893839,-VI,3,3.98216092952179,5.13916464893839,0.00788871187680673
5,32,-VII,4,5.5180933149466,3.90688310441633,-VII,4,5.13408967564993,4.7017421519962,
5,33,i,3,4.90974875078087,5.25632213924953,i,3,3.19111484600455,4.75669106193576,
5,34,i,3,3.68016229377602,4.97471954969957,i,4,3.04005972577913,4.70482610062582,
5,35,-ii,4,7.36109220436669,4.8508397936922,-ii,5,7.55767206955335,4.64360069147825,
5,36,i,2,4.3780803887442,4.36223856029407,i,2,4.3780803887442,4.36223856029407,
,,,,,,,,,,
6,7,IV,3,3.97427221764498,5.13916464893839,IV,3,3.97427221764498,5.13916464893839,
6,8,-VII,4,5.5180933149466,3.90688310441633,-VII,4,5.5180933149466,3.90688310441633,
6,9,i,3,4.90974875078087,5.25632213924953,i,3,4.90974875078087,5.25632213924953,
6,10,i,3,3.68016229377602,4.97471954969957,i,3,3.68016229377602,4.97471954969957,
6,11,IV,4,4.6468970170758,4.8508397936922,IV,4,4.6468970170758,4.8508397936922,
6,12,-VII,4,4.48856767062568,4.86940681127275,-III,4,4.49804564866322,4.86940681127275,0.00947797803754025
6,13,i,4,4.67523375930434,4.85471116754992,i,4,2.47520041247329,4.67013195786252,
6,14,-III,4,5.1252480972482,4.41597132267513,-III,4,7.03831810900553,1.90594464141668,
6,15,IV,3,3.97427221764498,5.13916464893839,IV,3,4.37063268471906,4.9844673942833,
6,16,-VII,4,5.5180933149466,3.90688310441633,-VII,3,5.13166680946127,4.55658800022935,
6,17,i,3,4.90974875078087,5.25632213924953,i,3,4.90974875078087,5.25632213924953,
,,,,,,,,,,
7,173,IV,3,3.97427221764498,5.13916464893839,IV,3,3.97427221764498,5.13916464893839,
7,174,-VII,4,5.5180933149466,3.90688310441633,-VII,4,5.5180933149466,3.90688310441633,
7,175,i,3,4.90974875078087,5.25632213924953,i,3,4.90974875078087,5.25632213924953,
7,176,i,3,3.68016229377602,4.97471954969957,i,3,3.68016229377602,4.97471954969957,
7,177,IV,4,4.6468970170758,4.8508397936922,IV,4,4.6468970170758,4.8508397936922,
7,178,-VII,4,4.48856767062568,4.86940681127275,-III,4,4.49804564866322,4.86940681127275,0.00947797803754025
7,179,i,4,4.67523375930434,4.85471116754992,i,4,2.47520041247329,4.67013195786252,
7,180,r,4,1.69659766729931,4.41597132267513,r,4,5.09195175854104,1.90594464141668,
7,181,r,4,0.814500771126025,2.66241291846203,r,3,0.924008958370857,2.93251124335153,
,,,,,,,,,,
8,31,IV,3,3.97427221764498,5.13916464893839,IV,3,3.97427221764498,5.13916464893839,
8,32,-VII,4,5.5180933149466,3.90688310441633,-VII,4,5.5180933149466,3.90688310441633,
8,33,i,3,4.90974875078087,5.25632213924953,i,3,4.90974875078087,5.25632213924953,
8,34,i,3,3.68016229377602,4.97471954969957,i,3,3.68016229377602,4.97471954969957,
8,35,-ii,4,7.36109220436669,4.8508397936922,-ii,4,7.36109220436669,4.8508397936922,
8,36,i,2,4.3780803887442,4.36223856029407,iv,2,4.38846576082018,4.36223856029407,0.0103853720759766
8,37,i,2,2.2190130129206,5.00900801952644,i,2,5.43442363041256,5.12971825489889,
8,38,i,3,2.05292156559509,4.82392384294662,i,2,3.85187948972366,5.29829371633598,
8,39,i,4,3.6708573432376,4.8984040622522,i,3,3.20916886580018,5.0656714761607,
8,40,i,4,3.15808421947687,5.04101277789013,i,4,2.44685175243409,4.83355021385329,
