Comparison,Row,Orig_Symbol,Orig_Order,Orig_IC,Orig_Entropy,Swap_Symbol,Swap_Order,Swap_IC,Swap_Entropy,Distance
1,159,II,5,6.13044709196442,4.36510399754367,II,5,6.13044709196442,4.36510399754367,
1,160,IV,3,3.57188440462663,4.51442341625878,IV,3,3.57188440462663,4.51442341625878,
1,161,IV,3,4.38907722240631,4.75960494647723,IV,3,4.38907722240631,4.75960494647723,
1,162,V,3,3.52450974785364,5.12297584426032,V,3,3.52450974785364,5.12297584426032,
1,163,V,4,1.51338543300578,4.31524580821778,V,4,1.51338543300578,4.31524580821778,
1,164,-VII,5,5.03044819958034,4.22582635557556,i,5,5.03303583752913,4.22582635557556,0.00258763794878991
1,165,-VII,5,3.12630122619911,4.32131533182938,-VII,5,4.11267571714212,4.46504485980279,
1,166,-VII,5,3.19049054698201,4.93064904861021,-VII,4,5.04249953499213,3.65160326540828,
1,167,-VII,4,0.919946894272231,3.43745125087195,-VII,4,4.05611747513,4.59121948514822,
1,168,V,7,4.8872577919517,4.35866106154982,V,4,4.65726326466671,4.92541470886136,
1,169,V,4,0.864956741989269,3.202882062805,V,4,1.28562958210378,3.86698439255189,
,,,,,,,,,,
2,44,-VII,7,3.08658166752009,4.14581607576943,-VII,7,3.08658166752009,4.14581607576943,
2,45,I,6,0.193891215989609,1.09213931697934,I,6,0.193891215989609,1.09213931697934,
2,46,I,8,1.41428971330505,3.8151571780939,I,8,1.41428971330505,3.8151571780939,
2,47,vi,9,5.33339804775764,4.31251726397684,vi,9,5.33339804775764,4.31251726397684,
2,48,vi,4,3.58400635801067,5.07548437105075,vi,4,3.58400635801067,5.07548437105075,
2,49,ii,5,4.73193832905367,4.97304035245717,V,5,4.74069876597332,4.97304035245717,0.008760436919653
2,50,II,5,7.06602764352243,2.85017784340764,II,5,6.5648329852728,4.21050833389201,
2,51,IV,3,3.57188440462663,4.51442341625878,IV,3,1.92599740342253,4.70528910957342,
2,52,IV,3,4.38907722240631,4.75960494647723,IV,4,3.99241656293167,4.56642764681949,
2,53,V,3,3.52450974785364,5.12297584426032,V,4,3.88508637999631,4.5875033770447,
2,54,V,4,1.51338543300578,4.31524580821778,V,4,1.51338543300578,4.31524580821778,
,,,,,,,,,,
3,145,V,4,0.864956741989269,3.202882062805,V,4,0.864956741989269,3.202882062805,
3,146,IV,6,5.60648856623169,4.286011112002,IV,6,5.60648856623169,4.286011112002,
3,147,IV,3,3.14393153909574,4.92839488585421,IV,3,3.14393153909574,4.92839488585421,
3,148,I,4,2.95902590420757,4.91412989442377,I,4,2.95902590420757,4.91412989442377,
3,149,I,5,2.50102323684915,4.65381602974963,I,5,2.50102323684915,4.65381602974963,
3,150,I,6,3.27617669646313,4.92433639564085,IV,6,3.28644037146,4.92433639564085,0.0102636749968714
3,151,I,7,1.59159147347449,4.27877889304596,I,7,2.86031907758407,4.29599972407509,
3,152,V,8,3.39328422978688,4.36605196387982,V,8,2.44591972864375,4.5332631754319,
3,153,V,8,1.47319102252088,3.96539295004949,V,7,0.978512872698795,3.21250595813818,
3,154,IV,9,1.3078376571569,3.72820858198015,IV,10,2.36015906993776,4.49188741002952,
3,155,IV,10,0.883921360602723,2.89100232726553,IV,7,0.766452506846395,2.52496163201579,
,,,,,,,,,,
4,139,vi,7,4.75629003522142,4.94191626274791,vi,7,4.75629003522142,4.94191626274791,
4,140,-VII,7,5.94909614135642,4.29465685923378,-VII,7,5.94909614135642,4.29465685923378,
4,141,-VII,4,5.00796734723284,3.99571267419992,-VII,4,5.00796734723284,3.99571267419992,
4,142,-VII,3,4.51521677792354,5.12289561205445,-VII,3,4.51521677792354,5.12289561205445,
4,143,-VII,3,3.3793635805875,5.1340744880729,-VII,3,3.3793635805875,5.1340744880729,
4,144,V,4,4.48548620995988,4.9047111513923,-VI,4,4.49921205443763,4.9047111513923,0.013725844477757
4,145,V,4,0.864956741989269,3.202882062805,V,4,4.45324136258472,3.8340266392771,
4,146,IV,6,5.60648856623169,4.286011112002,IV,4,4.55885207625099,4.2618294544555,
4,147,IV,3,3.14393153909574,4.92839488585421,IV,4,4.63162020357549,4.44083586983775,
4,148,I,4,2.95902590420757,4.91412989442377,I,3,3.35237103597676,5.12402504544839,
4,149,I,5,2.50102323684915,4.65381602974963,I,4,2.81904398337983,4.89060994676215,
,,,,,,,,,,
5,37,IV,2,4.40600416097949,5.04448600772317,IV,2,4.40600416097949,5.04448600772317,
5,38,IV,3,4.38907722240631,4.75960494647723,IV,3,4.38907722240631,4.75960494647723,
5,39,I,3,3.9395929635245,5.12297584426032,I,3,3.9395929635245,5.12297584426032,
5,40,-VII,4,5.03090605250488,4.73892071233798,-VII,4,5.03090605250488,4.73892071233798,
5,41,I,4,2.52931740835708,4.160624587184,I,4,2.52931740835708,4.160624587184,
5,42,I,5,2.63661679135948,4.64952468371488,-VII,5,2.60557139967124,4.64952468371488,0.0310453916882354
5,43,I,6,2.22442601660405,4.28340054501045,I,6,1.14203804346602,3.31195525518537,
5,44,-VII,7,3.08658166752009,4.14581607576943,-VII,7,1.85242693326487,4.38999756938287,
5,45,I,6,0.193891215989609,1.09213931697934,I,7,1.36977120127857,3.78125436989935,
5,46,I,8,1.41428971330505,3.8151571780939,I,8,3.68269167705161,4.23058072182101,
5,47,vi,9,5.33339804775764,4.31251726397684,vi,7,5.80570977196239,3.65173481598118,
,,,,,,,,,,
6,31,I,5,3.02143392125869,4.83974679154489,I,5,3.02143392125869,4.83974679154489,
6,32,I,6,1.57318472276292,4.31722172739153,I,6,1.57318472276292,4.31722172739153,
6,33,vi,7,4.75629003522142,4.94191626274791,vi,7,4.75629003522142,4.94191626274791,
6,34,-VII,7,5.94909614135642,4.29465685923378,-VII,7,5.94909614135642,4.29465685923378,
6,35,ii,4,7.10816106178161,3.99571267419992,ii,4,7.10816106178161,3.99571267419992,
6,36,II,2,5.87116200893273,5.35020744897048,iv,2,5.83571317292844,5.35020744897048,0.0354488360042895
6,37,IV,2,4.40600416097949,5.04448600772317,IV,2,5.44550415968356,5.40390494979466,
6,38,IV,3,4.38907722240631,4.75960494647723,IV,2,3.96145067441055,5.28493179401289,
6,39,I,3,3.9395929635245,5.12297584426032,I,3,3.11537593106684,5.11040280457916,
6,40,-VII,4,5.03090605250488,4.73892071233798,-VII,4,4.97428724990083,4.89661281933563,
6,41,I,4,2.52931740835708,4.160624587184,I,4,2.52931740835708,4.160624587184,
,,,,,,,,,,
7,54,V,4,1.51338543300578,4.31524580821778,V,4,1.51338543300578,4.31524580821778,
7,55,V,5,3.94332040430259,4.22582635557556,V,5,3.94332040430259,4.22582635557556,
7,56,V,5,1.48777022886747,4.07062951186024,V,5,1.48777022886747,4.07062951186024,
7,57,IV,6,4.23253856628441,4.98799504482257,IV,6,4.23253856628441,4.98799504482257,
7,58,IV,7,1.50772579862278,3.92885670671278,IV,7,1.50772579862278,3.92885670671278,
7,59,I,7,3.79775465366012,3.21539995198128,V,7,3.83372597569934,3.21539995198128,0.035971322039217
7,60,I,7,2.1986588452562,4.40931752998675,I,6,4.41825577317508,2.38360167288448,
7,61,I,7,3.68667018880864,4.34014904957371,I,6,4.12649012372271,4.86236037859285,
7,62,I,7,1.59159147347449,4.27877889304596,I,5,3.25850431274118,5.05547020890287,
7,63,V,8,3.39328422978688,4.36605196387982,V,6,3.47704227619442,4.63018528601665,
7,64,V,8,1.47319102252088,3.96539295004949,V,7,3.13123273480463,4.32483936942049,
,,,,,,,,,,
8,136,IV,4,3.04980074403803,5.06248863486461,IV,4,3.04980074403803,5.06248863486461,
8,137,I,5,3.02143392125869,4.83974679154489,I,5,3.02143392125869,4.83974679154489,
8,138,I,6,1.57318472276292,4.31722172739153,I,6,1.57318472276292,4.31722172739153,
8,139,vi,7,4.75629003522142,4.94191626274791,vi,7,4.75629003522142,4.94191626274791,
8,140,-VII,7,5.94909614135642,4.29465685923378,-VII,7,5.94909614135642,4.29465685923378,
8,141,-VII,4,5.00796734723284,3.99571267419992,V,4,5.04963361280072,3.99571267419992,0.0416662655678817
8,142,-VII,3,4.51521677792354,5.12289561205445,-VII,3,7.01322600285603,3.59789694582794,
8,143,-VII,3,3.3793635805875,5.1340744880729,-VII,2,4.42123357257184,5.27140050221953,
8,144,V,4,4.48548620995988,4.9047111513923,V,3,4.82054290177159,5.15238985667283,
8,145,V,4,0.864956741989269,3.202882062805,V,3,2.75902558019206,4.78073469143238,
8,146,IV,6,5.60648856623169,4.286011112002,IV,4,5.5096817483503,4.47471374548993,
,,,,,,,,,,
9,20,I,10,0.984859738320785,3.43848412241247,I,10,0.984859738320785,3.43848412241247,
9,21,IV,10,3.65632527809006,3.39258678522466,IV,10,3.65632527809006,3.39258678522466,
9,22,IV,9,0.60174520036962,2.5723246585961,IV,9,0.60174520036962,2.5723246585961,
9,23,I,10,1.34923358808,3.65009121477674,I,10,1.34923358808,3.65009121477674,
9,24,I,10,0.0716420388952406,0.495932698620621,I,10,0.0716420388952406,0.495932698620621,
9,25,vi,10,5.77606940926882,3.5978589197214,-VII,10,5.8238151247458,3.5978589197214,0.0477457154769718
9,26,-VII,7,5.94909614135642,4.29465685923378,-VII,6,3.91353087446436,2.57414267258818,
9,27,I,4,1.51359581979333,3.99571267419992,I,6,2.88198330358855,4.61379160342763,
9,28,I,4,4.8327881264788,4.5452814109959,I,7,3.33309552691182,4.2877426261929,
9,29,IV,3,4.27288100074622,5.34531238204965,IV,6,3.76263323245929,5.09378680747543,
9,30,IV,4,3.04980074403803,5.06248863486461,IV,6,1.04589032045529,3.571870409511,
,,,,,,,,,,
10,161,IV,3,4.38907722240631,4.75960494647723,IV,3,4.38907722240631,4.75960494647723,
10,162,V,3,3.52450974785364,5.12297584426032,V,3,3.52450974785364,5.12297584426032,
10,163,V,4,1.51338543300578,4.31524580821778,V,4,1.51338543300578,4.31524580821778,
10,164,-VII,5,5.03044819958034,4.22582635557556,-VII,5,5.03044819958034,4.22582635557556,
10,165,-VII,5,3.12630122619911,4.32131533182938,-VII,5,3.12630122619911,4.32131533182938,
10,166,-VII,5,3.19049054698201,4.93064904861021,IV,5,3.2455754527817,4.93064904861021,0.0550849057996867
10,167,-VII,4,0.919946894272231,3.43745125087195,-VII,4,4.99699739293712,3.80441236682001,
10,168,V,7,4.8872577919517,4.35866106154982,V,4,5.25628659824205,4.73658541166026,
10,169,V,4,0.864956741989269,3.202882062805,V,3,2.83853414621051,4.91747887492629,
10,170,IV,6,5.60648856623169,4.286011112002,IV,4,5.22402210166643,4.95807584192845,
10,171,IV,3,3.14393153909574,4.92839488585421,IV,3,3.14393153909574,4.92839488585421,
,,,,,,,,,,
11,151,I,7,1.59159147347449,4.27877889304596,I,7,1.59159147347449,4.27877889304596,
11,152,V,8,3.39328422978688,4.36605196387982,V,8,3.39328422978688,4.36605196387982,
11,153,V,8,1.47319102252088,3.96539295004949,V,8,1.47319102252088,3.96539295004949,
11,154,IV,9,1.3078376571569,3.72820858198015,IV,9,1.3078376571569,3.72820858198015,
11,155,IV,10,0.883921360602723,2.89100232726553,IV,10,0.883921360602723,2.89100232726553,
11,156,vi,9,6.1448720581759,2.11272284795632,vio,9,6.20279373004407,2.11272284795632,0.0579216718681659
11,157,vi,5,1.44653656019823,3.75228656689299,vi,4,7.60147587458195,3.57531472446582,
11,158,ii,5,4.95498546642936,3.746533834406,ii,1,5.01782484178981,5.45861926619094,
11,159,II,5,6.13044709196442,4.36510399754367,II,2,5.17513874097819,5.29787340142898,
11,160,IV,3,3.57188440462663,4.51442341625878,IV,3,3.57188440462663,4.51442341625878,
11,161,IV,3,4.38907722240631,4.75960494647723,IV,3,4.38907722240631,4.75960494647723,
,,,,,,,,,,
12,28,I,4,4.8327881264788,4.5452814109959,I,4,4.8327881264788,4.5452814109959,
12,29,IV,3,4.27288100074622,5.34531238204965,IV,3,4.27288100074622,5.34531238204965,
12,30,IV,4,3.04980074403803,5.06248863486461,IV,4,3.04980074403803,5.06248863486461,
12,31,I,5,3.02143392125869,4.83974679154489,I,5,3.02143392125869,4.83974679154489,
12,32,I,6,1.57318472276292,4.31722172739153,I,6,1.57318472276292,4.31722172739153,
