Comparison,Row,Orig_Symbol,Orig_Order,Orig_IC,Orig_Entropy,Swap_Symbol,Swap_Order,Swap_IC,Swap_Entropy,Distance
1,21,V,4,3.08972613054226,4.94787716125198,V,4,3.08972613054226,4.94787716125198,
1,22,I,5,2.51748147789842,4.80763562287672,I,5,2.51748147789842,4.80763562287672,
1,23,V,6,3.54735644790319,4.20639355192139,V,6,3.54735644790319,4.20639355192139,
1,24,I,5,1.95064307737854,4.47538482472918,I,5,1.95064307737854,4.47538482472918,
1,25,I,6,2.82613771191187,4.71277721944877,I,6,2.82613771191187,4.71277721944877,
1,26,I,7,3.11500563329277,4.32228158891409,IV,7,3.15565111227083,4.32228158891409,0.0406454789780564
1,27,V,7,3.45763385391588,3.88128631320783,V,7,2.63536074911961,4.23385465453763,
1,28,I,7,1.18082566519841,3.50717036313773,I,8,2.01400116439203,3.36918148227069,
1,29,IV,7,5.98048809223336,0.891636977695509,IV,8,3.04900195015158,4.37048202351394,
1,30,II,6,6.01056559729966,3.09480180990167,II,8,6.32758931020338,3.38652430506899,
1,31,IV,5,4.83783884899,4.27722680652024,IV,4,4.60069558247678,4.7065395578602,
,,,,,,,,,,
2,13,IV,3,4.67611627026076,4.74469803111814,IV,3,4.67611627026076,4.74469803111814,
2,14,II,3,5.65653480679282,4.89145247001414,II,3,5.65653480679282,4.89145247001414,
2,15,IV,3,4.67611627026076,4.74469803111814,IV,3,4.67611627026076,4.74469803111814,
2,16,II,3,5.65653480679282,4.89145247001414,II,3,5.65653480679282,4.89145247001414,
2,17,I,3,2.03978807985096,4.74469803111814,I,3,2.03978807985096,4.74469803111814,
2,18,IV,4,5.01167130357627,4.71698987802159,VI,4,4.96910716890595,4.71698987802159,0.0425641346703198
2,19,II,3,4.22492481784593,5.13530241549396,II,4,4.69582756397903,4.37324417540691,
2,20,I,4,3.87438331419154,4.74595288294999,I,3,3.98753252923503,4.80368727373409,
2,21,V,4,3.08972613054226,4.94787716125198,V,4,4.9087116122531,4.34876512049783,
2,22,I,5,2.51748147789842,4.80763562287672,I,3,3.11485634489382,5.13218424172554,
2,23,V,6,3.54735644790319,4.20639355192139,V,4,2.96282933184722,5.10445727531018,
,,,,,,,,,,
3,18,IV,4,5.01167130357627,4.71698987802159,IV,4,5.01167130357627,4.71698987802159,
3,19,II,3,4.22492481784593,5.13530241549396,II,3,4.22492481784593,5.13530241549396,
3,20,I,4,3.87438331419154,4.74595288294999,I,4,3.87438331419154,4.74595288294999,
3,21,V,4,3.08972613054226,4.94787716125198,V,4,3.08972613054226,4.94787716125198,
3,22,I,5,2.51748147789842,4.80763562287672,I,5,2.51748147789842,4.80763562287672,
3,23,V,6,3.54735644790319,4.20639355192139,VII,6,3.60021297429841,4.20639355192139,0.0528565263952232
3,24,I,5,1.95064307737854,4.47538482472918,I,4,2.26510170160762,3.08051298018698,
3,25,I,6,2.82613771191187,4.71277721944877,I,4,2.73132910365406,4.98295268851735,
3,26,I,7,3.11500563329277,4.32228158891409,I,4,1.60312513091959,4.49867547699019,
3,27,V,7,3.45763385391588,3.88128631320783,V,4,5.18111500262701,4.80188679898971,
3,28,I,7,1.18082566519841,3.50717036313773,I,4,3.46826113369028,5.01790433831273,
,,,,,,,,,,
4,62,IV,4,5.01167130357627,4.71698987802159,IV,4,5.01167130357627,4.71698987802159,
4,63,II,3,4.22492481784593,5.13530241549396,II,3,4.22492481784593,5.13530241549396,
4,64,I,4,3.87438331419154,4.74595288294999,I,4,3.87438331419154,4.74595288294999,
4,65,V,4,3.08972613054226,4.94787716125198,V,4,3.08972613054226,4.94787716125198,
4,66,I,5,2.51748147789842,4.80763562287672,I,5,2.51748147789842,4.80763562287672,
4,67,V,6,3.54735644790319,4.20639355192139,VII,6,3.60021297429841,4.20639355192139,0.0528565263952232
4,68,IV,5,4.24399276093694,4.47538482472918,IV,4,7.20388243419959,3.08051298018698,
4,69,II,5,5.75479614815479,4.68967952656253,II,2,5.77584069853125,5.0136084933435,
4,70,IV,3,5.61580338733654,3.00650920350592,IV,2,4.38342470074546,5.20849778097751,
4,71,II,3,5.65653480679282,4.89145247001414,II,3,5.65653480679282,4.89145247001414,
4,72,IV,3,4.67611627026076,4.74469803111814,IV,3,4.67611627026076,4.74469803111814,
,,,,,,,,,,
5,6,I,5,3.63521924618255,4.89594624372356,I,5,3.63521924618255,4.89594624372356,
5,7,IV,5,3.55052058456401,4.87628165622968,IV,5,3.55052058456401,4.87628165622968,
5,8,II,6,5.63896737273659,3.71080197614679,II,6,5.63896737273659,3.71080197614679,
5,9,IV,5,4.83783884899,4.27722680652024,IV,5,4.83783884899,4.27722680652024,
5,10,II,4,6.02091702919936,4.22615400912446,II,4,6.02091702919936,4.22615400912446,
5,11,IV,3,4.67611627026076,4.74469803111814,II,3,4.62311373372121,4.74469803111814,0.0530025365395437
5,12,II,3,5.65653480679282,4.89145247001414,II,3,4.41335613291219,5.12146679257799,
5,13,IV,3,4.67611627026076,4.74469803111814,IV,3,5.01479641665367,4.85078517306627,
5,14,II,3,5.65653480679282,4.89145247001414,II,3,5.6037651416409,4.93668699756413,
5,15,IV,3,4.67611627026076,4.74469803111814,IV,3,4.67611627026076,4.74469803111814,
5,16,II,3,5.65653480679282,4.89145247001414,II,3,5.65653480679282,4.89145247001414,
,,,,,,,,,,
6,8,II,6,5.63896737273659,3.71080197614679,II,6,5.63896737273659,3.71080197614679,
6,9,IV,5,4.83783884899,4.27722680652024,IV,5,4.83783884899,4.27722680652024,
6,10,II,4,6.02091702919936,4.22615400912446,II,4,6.02091702919936,4.22615400912446,
6,11,IV,3,4.67611627026076,4.74469803111814,IV,3,4.67611627026076,4.74469803111814,
6,12,II,3,5.65653480679282,4.89145247001414,II,3,5.65653480679282,4.89145247001414,
6,13,IV,3,4.67611627026076,4.74469803111814,II,3,4.62311373372121,4.74469803111814,0.0530025365395437
6,14,II,3,5.65653480679282,4.89145247001414,II,3,4.41335613291219,5.12146679257799,
6,15,IV,3,4.67611627026076,4.74469803111814,IV,3,5.01479641665367,4.85078517306627,
6,16,II,3,5.65653480679282,4.89145247001414,II,3,5.6037651416409,4.93668699756413,
6,17,I,3,2.03978807985096,4.74469803111814,I,3,2.03978807985096,4.74469803111814,
6,18,IV,4,5.01167130357627,4.71698987802159,IV,4,5.01167130357627,4.71698987802159,
,,,,,,,,,,
7,10,II,4,6.02091702919936,4.22615400912446,II,4,6.02091702919936,4.22615400912446,
7,11,IV,3,4.67611627026076,4.74469803111814,IV,3,4.67611627026076,4.74469803111814,
7,12,II,3,5.65653480679282,4.89145247001414,II,3,5.65653480679282,4.89145247001414,
7,13,IV,3,4.67611627026076,4.74469803111814,IV,3,4.67611627026076,4.74469803111814,
7,14,II,3,5.65653480679282,4.89145247001414,II,3,5.65653480679282,4.89145247001414,
7,15,IV,3,4.67611627026076,4.74469803111814,II,3,4.62311373372121,4.74469803111814,0.0530025365395437
7,16,II,3,5.65653480679282,4.89145247001414,II,3,4.41335613291219,5.12146679257799,
7,17,I,3,2.03978807985096,4.74469803111814,I,3,3.91028266017459,4.85078517306627,
7,18,IV,4,5.01167130357627,4.71698987802159,IV,4,4.2262158793626,4.04254975938534,
7,19,II,3,4.22492481784593,5.13530241549396,II,4,3.07740322379701,4.84154601895354,
7,20,I,4,3.87438331419154,4.74595288294999,I,4,4.07671062140419,4.38345502410113,
,,,,,,,,,,
8,65,V,4,3.08972613054226,4.94787716125198,V,4,3.08972613054226,4.94787716125198,
8,66,I,5,2.51748147789842,4.80763562287672,I,5,2.51748147789842,4.80763562287672,
8,67,V,6,3.54735644790319,4.20639355192139,V,6,3.54735644790319,4.20639355192139,
8,68,IV,5,4.24399276093694,4.47538482472918,IV,5,4.24399276093694,4.47538482472918,
8,69,II,5,5.75479614815479,4.68967952656253,II,5,5.75479614815479,4.68967952656253,
8,70,IV,3,5.61580338733654,3.00650920350592,II,3,5.562800850797,3.00650920350592,0.0530025365395437
8,71,II,3,5.65653480679282,4.89145247001414,II,3,4.41335613291219,5.12146679257799,
8,72,IV,3,4.67611627026076,4.74469803111814,IV,3,5.01479641665367,4.85078517306627,
8,73,II,3,5.65653480679282,4.89145247001414,II,3,5.6037651416409,4.93668699756413,
8,74,IV,3,4.67611627026076,4.74469803111814,IV,3,4.67611627026076,4.74469803111814,
8,75,II,3,5.65653480679282,4.89145247001414,II,3,5.65653480679282,4.89145247001414,
,,,,,,,,,,
9,67,V,6,3.54735644790319,4.20639355192139,V,6,3.54735644790319,4.20639355192139,
9,68,IV,5,4.24399276093694,4.47538482472918,IV,5,4.24399276093694,4.47538482472918,
9,69,II,5,5.75479614815479,4.68967952656253,II,5,5.75479614815479,4.68967952656253,
