Comparison,Row,Orig_Symbol,Orig_Order,Orig_IC,Orig_Entropy,Swap_Symbol,Swap_Order,Swap_IC,Swap_Entropy,Distance
1,98,ii,2,4.93901176453516,5.35152708862847,ii,2,4.93901176453516,5.35152708862847,
1,99,V,3,3.79415246058891,4.53117502382976,V,3,3.79415246058891,4.53117502382976,
1,100,I,3,2.79404094512703,5.01949960416878,I,3,2.79404094512703,5.01949960416878,
1,101,-VI,4,5.86183251178964,5.26793182821284,-VI,4,5.86183251178964,5.26793182821284,
1,102,I,4,4.50682865414448,4.58839151077325,I,4,4.50682865414448,4.58839151077325,
1,103,vi,4,4.78454861319744,4.90842198253443,-VII,4,4.78552390648666,4.90842198253443,0.000975293289227075
1,104,vi,3,4.98150594902057,4.44424508739868,vi,3,5.39943209339509,3.45860487855304,
1,105,ii,3,4.61460889694328,5.30635291934494,ii,3,4.35754342292832,5.11636012965706,
1,106,V,4,3.81272514337484,4.52336602502307,V,4,3.18617006382257,4.42423204529858,
1,107,V,4,3.49227687726,4.97161554149261,V,4,2.49654534373184,4.97116814918394,
1,108,iii,5,4.42011668584871,4.55453451984369,iii,5,4.42011668584871,4.55453451984369,
,,,,,,,,,,
2,18,IV,4,2.0340252230876,4.6350605680654,IV,4,2.0340252230876,4.6350605680654,
2,19,V,5,4.7894032102572,4.8967656971924,V,5,4.7894032102572,4.8967656971924,
2,20,iii,4,2.31754504763849,4.86957722182052,iii,4,2.31754504763849,4.86957722182052,
2,21,V,5,4.84057065726198,4.01136832718917,V,5,4.84057065726198,4.01136832718917,
2,22,I,4,2.99754074628202,4.84810594482617,I,4,2.99754074628202,4.84810594482617,
2,23,vii,5,6.8776404544657,4.58493060150909,-iiio,5,6.87555210706456,4.58493060150909,0.00208834740113772
2,24,III,3,2.99136713798672,3.57042356173801,III,3,6.99101302303043,4.12351126720703,
2,25,vi,3,0.997893770177676,3.5902515523002,vi,1,4.412624561702,5.3938329962451,
2,26,v,4,6.13057600855945,3.43186847913545,v,2,4.84938865751764,5.26114449082834,
2,27,I,3,1.00757501314948,3.62276361861082,I,3,1.00757501314948,3.62276361861082,
2,28,IV,4,2.0340252230876,4.6350605680654,IV,4,2.0340252230876,4.6350605680654,
,,,,,,,,,,
3,55,vi,5,4.46975916709018,4.98478350659062,vi,5,4.46975916709018,4.98478350659062,
3,56,IV,4,3.57740695033234,5.06066980661294,IV,4,3.57740695033234,5.06066980661294,
3,57,IV,5,2.97417812020245,4.21444815979329,IV,5,2.97417812020245,4.21444815979329,
