Comparison,Row,Orig_Symbol,Orig_Order,Orig_IC,Orig_Entropy,Swap_Symbol,Swap_Order,Swap_IC,Swap_Entropy,Distance
1,36,-VI,8,6.29925269793744,4.76262459817789,-VI,8,6.29925269793744,4.76262459817789,
1,37,V,4,3.83553355105689,4.60833148889454,V,4,3.83553355105689,4.60833148889454,
1,38,V,4,4.02920097846322,4.60679347323817,V,4,4.02920097846322,4.60679347323817,
1,39,I,4,3.81513268879125,4.94899902334057,I,4,3.81513268879125,4.94899902334057,
1,40,I,4,3.37706671728486,5.19807906952117,I,4,3.37706671728486,5.19807906952117,
1,41,II,5,5.4131857617224,4.96900145485102,iii,5,5.43991558451864,4.96900145485102,0.026729822796236
1,42,II,5,1.11006608065037,3.51447925658745,II,5,6.37436114481026,4.03271335131648,
1,43,V,6,3.59217530070918,4.448977956785,V,3,3.83476560846805,4.67730318298012,
1,44,V,6,1.39942909384232,4.13917066875218,V,3,3.43015227744442,5.16079520181511,
1,45,I,7,1.67888769573019,3.86161569920332,I,4,3.58819636650516,4.42150669888704,
1,46,IV,8,3.61259912827115,4.49600622549863,IV,4,3.89164872466693,5.16787646848091,
,,,,,,,,,,
2,31,I,5,3.00895276865372,4.80890064714524,I,5,3.00895276865372,4.80890064714524,
2,32,I,6,2.30287158771269,4.45071826155058,I,6,2.30287158771269,4.45071826155058,
2,33,ii,7,4.7617316384993,5.06743859189599,ii,7,4.7617316384993,5.06743859189599,
2,34,V,6,2.94871379516845,4.83691729486573,V,6,2.94871379516845,4.83691729486573,
2,35,I,7,2.41219280984856,4.64403429496795,I,7,2.41219280984856,4.64403429496795,
2,36,-VI,8,6.29925269793744,4.76262459817789,v,8,6.26205350554397,4.76262459817789,0.0371991923934729
2,37,V,4,3.83553355105689,4.60833148889454,V,4,5.59231101784574,4.87758356712887,
2,38,V,4,4.02920097846322,4.60679347323817,V,2,4.01450194815431,5.28843447997625,
2,39,I,4,3.81513268879125,4.94899902334057,I,3,3.73818072216066,5.05089002315321,
2,40,I,4,3.37706671728486,5.19807906952117,I,4,2.15908789504544,4.90357390112031,
2,41,II,5,5.4131857617224,4.96900145485102,II,5,5.36117424315063,5.01207454696013,
,,,,,,,,,,
3,31,I,5,3.00895276865372,4.80890064714524,I,5,3.00895276865372,4.80890064714524,
3,32,I,6,2.30287158771269,4.45071826155058,I,6,2.30287158771269,4.45071826155058,
3,33,ii,7,4.7617316384993,5.06743859189599,ii,7,4.7617316384993,5.06743859189599,
3,34,V,6,2.94871379516845,4.83691729486573,V,6,2.94871379516845,4.83691729486573,
3,35,I,7,2.41219280984856,4.64403429496795,I,7,2.41219280984856,4.64403429496795,
3,36,-VI,8,6.29925269793744,4.76262459817789,-III,8,6.24539887728798,4.76262459817789,0.053853820649465
3,37,V,4,3.83553355105689,4.60833148889454,V,3,5.29190130639013,5.1939589581792,
3,38,V,4,4.02920097846322,4.60679347323817,V,3,2.35707001769301,4.73373107642874,
3,39,I,4,3.81513268879125,4.94899902334057,I,4,3.75862292752595,4.86203185314697,
3,40,I,4,3.37706671728486,5.19807906952117,I,4,3.32170541992192,5.1697538080687,
3,41,II,5,5.4131857617224,4.96900145485102,II,5,5.32857183526599,5.08183460735336,
,,,,,,,,,,
4,45,I,7,1.67888769573019,3.86161569920332,I,7,1.67888769573019,3.86161569920332,
4,46,IV,8,3.61259912827115,4.49600622549863,IV,8,3.61259912827115,4.49600622549863,
4,47,IV,6,4.39413098864847,3.43334529112284,IV,6,4.39413098864847,3.43334529112284,
4,48,I,5,3.00895276865372,4.80890064714524,I,5,3.00895276865372,4.80890064714524,
4,49,I,6,2.30287158771269,4.45071826155058,I,6,2.30287158771269,4.45071826155058,
4,50,vi,7,4.85554508343637,5.06743859189599,-VII,7,4.91313289918657,5.06743859189599,0.0575878157502032
4,51,ii,6,4.23394310123669,4.71840715027031,ii,6,5.10800223283392,3.8565423285176,
4,52,V,5,0.963199062465143,3.30164970673934,V,5,5.03930013434041,4.15700300544322,
4,53,I,5,0.614723654918155,2.72249743665066,I,3,4.10394885109706,4.7096567742647,
