Comparison,Row,Orig_Symbol,Orig_Order,Orig_IC,Orig_Entropy,Swap_Symbol,Swap_Order,Swap_IC,Swap_Entropy,Distance
1,113,-VII,8,1.32324582305488,3.59891091454974,-VII,8,1.32324582305488,3.59891091454974,
1,114,i,9,2.77300665292017,3.79180149379044,i,9,2.77300665292017,3.79180149379044,
1,115,i,9,1.4260695562919,3.85339390265098,i,9,1.4260695562919,3.85339390265098,
1,116,-VII,10,1.24297845647109,3.46456365062379,-VII,10,1.24297845647109,3.46456365062379,
1,117,-VII,10,1.12451185003534,3.25141344687368,-VII,10,1.12451185003534,3.25141344687368,
1,118,i,10,1.94397531813219,3.92100387826457,-VI,10,1.92522739280873,3.92100387826457,0.018747925323459
1,119,i,10,1.62975588056521,4.03526971855182,i,6,6.37879106593313,1.85649338076187,
1,120,-VII,10,1.24297845647109,3.46456365062379,-VII,4,3.06538195574854,4.99665689811124,
1,121,-VII,10,1.12451185003534,3.25141344687368,-VII,5,5.25671886415612,4.01572736449639,
1,122,i,10,1.94397531813219,3.92100387826457,i,3,3.12913439396305,5.04374293891889,
1,123,i,10,1.62975588056521,4.03526971855182,i,4,2.19677447040832,4.53733188942151,
,,,,,,,,,,
2,121,-VII,10,1.12451185003534,3.25141344687368,-VII,10,1.12451185003534,3.25141344687368,
2,122,i,10,1.94397531813219,3.92100387826457,i,10,1.94397531813219,3.92100387826457,
2,123,i,10,1.62975588056521,4.03526971855182,i,10,1.62975588056521,4.03526971855182,
2,124,-VII,10,1.24297845647109,3.46456365062379,-VII,10,1.24297845647109,3.46456365062379,
2,125,-VII,10,1.12451185003534,3.25141344687368,-VII,10,1.12451185003534,3.25141344687368,
2,126,i,10,1.94397531813219,3.92100387826457,-VI,10,1.92522739280873,3.92100387826457,0.018747925323459
2,127,i,10,1.62975588056521,4.03526971855182,i,6,6.37879106593313,1.85649338076187,
2,128,-VII,10,1.24297845647109,3.46456365062379,-VII,4,3.06538195574854,4.99665689811124,
2,129,-VII,10,1.12451185003534,3.25141344687368,-VII,5,5.25671886415612,4.01572736449639,
2,130,r,10,4.14707236128461,3.92100387826457,r,3,3.29474198778189,5.04374293891889,
2,131,r,3,1.87834750834643,3.67856579063611,r,3,1.87834750834643,3.67856579063611,
,,,,,,,,,,
3,9,-VII,5,1.83581531883821,4.11109322138571,-VII,5,1.83581531883821,4.11109322138571,
3,10,-VI,6,4.50640970970813,4.15572778592831,-VI,6,4.50640970970813,4.15572778592831,
3,11,-VII,4,1.78971009824127,4.47051637163869,-VII,4,1.78971009824127,4.47051637163869,
3,12,i,5,2.68625918028122,4.293638161238,i,5,2.68625918028122,4.293638161238,
3,13,i,6,1.64468572881564,3.97572831246681,i,6,1.64468572881564,3.97572831246681,
3,14,-VII,7,3.99659569442254,4.75027231877064,-VI,7,3.91996609054678,4.75027231877064,0.076629603875757
3,15,-VII,6,1.3651738300222,3.65053245007065,-VII,6,1.03298576988527,3.1684441940738,
3,16,i,7,1.56126593467722,3.752767185996,i,7,1.91414685179318,3.12711774724723,
3,17,i,7,0.830650901797972,3.01134158054181,i,7,1.64537031417191,3.96354253301447,
3,18,-VII,8,1.17028806502067,3.47160243112718,-VII,8,4.41622180505411,4.35959030238349,
3,19,-VII,10,1.6853031997026,3.76630831013196,-VII,5,2.11440656019904,4.15714601846814,
,,,,,,,,,,
