Comparison,Row,Orig_Symbol,Orig_Order,Orig_IC,Orig_Entropy,Swap_Symbol,Swap_Order,Swap_IC,Swap_Entropy,Distance
1,73,V,6,4.43226364135158,3.39430689078312,V,6,4.43226364135158,3.39430689078312,
1,74,V,5,2.92438624252496,4.8272414261301,V,5,2.92438624252496,4.8272414261301,
1,75,V,5,1.70799485058652,4.38223196970746,V,5,1.70799485058652,4.38223196970746,
1,76,I,6,3.21788763791762,4.54977292356649,I,6,3.21788763791762,4.54977292356649,
1,77,ii,6,4.17058789012753,4.86580773643291,ii,6,4.17058789012753,4.86580773643291,
1,78,V,7,3.24475702739937,4.00648055466227,I,7,3.22664025420893,4.00648055466227,0.0181167731904472
1,79,I,7,2.24760388455717,4.4623904115294,I,5,5.01547120848782,4.06748149607677,
1,80,IV,6,4.08401444574225,4.35411186176564,IV,4,3.75249089683996,5.04356415314655,
1,81,IV,6,4.51302618169963,4.2550498053713,IV,5,2.59655969181035,4.78478142545037,
1,82,V,5,3.87615903986907,4.61101016088248,V,6,3.95706718136944,4.64684520236438,
1,83,I,5,2.56145203538036,4.54461792256417,I,6,3.00539980036931,4.10689131534605,
,,,,,,,,,,
2,75,V,5,1.70799485058652,4.38223196970746,V,5,1.70799485058652,4.38223196970746,
2,76,I,6,3.21788763791762,4.54977292356649,I,6,3.21788763791762,4.54977292356649,
2,77,ii,6,4.17058789012753,4.86580773643291,ii,6,4.17058789012753,4.86580773643291,
2,78,V,7,3.24475702739937,4.00648055466227,V,7,3.24475702739937,4.00648055466227,
2,79,I,7,2.24760388455717,4.4623904115294,I,7,2.24760388455717,4.4623904115294,
2,80,IV,6,4.08401444574225,4.35411186176564,ii,6,4.10356615842691,4.35411186176564,0.0195517126846623
2,81,IV,6,4.51302618169963,4.2550498053713,IV,6,2.42520022742839,4.01887612325704,
2,82,V,5,3.87615903986907,4.61101016088248,V,7,1.48461737603671,3.7320005857302,
2,83,I,5,2.56145203538036,4.54461792256417,I,6,1.5064856570613,3.96350401085768,
2,84,ii,6,3.87038974031602,4.96481012157199,ii,7,1.91374533755039,4.46816511485947,
2,85,V,7,2.49479259436473,4.23400747698581,V,8,3.52570129385102,3.56800091307852,
,,,,,,,,,,
3,9,I,5,2.56145203538036,4.54461792256417,I,5,2.56145203538036,4.54461792256417,
3,10,ii,6,3.87038974031602,4.96481012157199,ii,6,3.87038974031602,4.96481012157199,
3,11,V,7,2.49479259436473,4.23400747698581,V,7,2.49479259436473,4.23400747698581,
3,12,I,6,1.17455004639064,3.72305932650134,I,6,1.17455004639064,3.72305932650134,
3,13,vi,9,5.20329895403865,4.68273987295421,vi,9,5.20329895403865,4.68273987295421,
3,14,IV,5,3.91200698545363,4.38159133256836,I,5,3.93259128908489,4.38159133256836,0.0205843036312543
3,15,V,5,2.44697205861361,4.63780710244409,V,5,3.61419607556217,4.11296974458111,
3,16,V,6,3.53353222265577,4.39006490193509,V,5,4.77073269393089,3.9689281798687,
3,17,V,6,3.50107700134871,4.00283356867654,V,4,4.04665399310047,4.84335684521438,
3,18,V,6,2.129969482469,4.44462299393681,V,4,2.84025148283856,4.86972524280123,
3,19,I,6,1.1387625288396,3.71549760689171,I,5,3.3027958274742,5.01636297697002,
,,,,,,,,,,
4,83,I,5,2.56145203538036,4.54461792256417,I,5,2.56145203538036,4.54461792256417,
4,84,ii,6,3.87038974031602,4.96481012157199,ii,6,3.87038974031602,4.96481012157199,
4,85,V,7,2.49479259436473,4.23400747698581,V,7,2.49479259436473,4.23400747698581,
4,86,I,6,1.17455004639064,3.72305932650134,I,6,1.17455004639064,3.72305932650134,
4,87,vi,9,5.20329895403865,4.68273987295421,vi,9,5.20329895403865,4.68273987295421,
4,88,IV,5,3.91200698545363,4.38159133256836,I,5,3.93259128908489,4.38159133256836,0.0205843036312543
4,89,IV,5,3.88772279921345,4.63780710244409,IV,5,3.45777591984972,4.11296974458111,
4,90,V,5,2.66227715940206,4.61681067777944,V,5,3.87731528580353,4.50272093236596,
4,91,V,6,3.63737488145181,4.26873441384918,V,5,3.72803918561076,4.380769927208,
4,92,V,5,3.65052010595606,4.82147650562526,V,5,3.42818006115749,4.33449250451252,
4,93,V,5,1.47224289318641,4.04685241092518,V,5,2.17973931612577,4.46906628291877,
,,,,,,,,,,
5,16,V,6,3.53353222265577,4.39006490193509,V,6,3.53353222265577,4.39006490193509,
5,17,V,6,3.50107700134871,4.00283356867654,V,6,3.50107700134871,4.00283356867654,
5,18,V,6,2.129969482469,4.44462299393681,V,6,2.129969482469,4.44462299393681,
5,19,I,6,1.1387625288396,3.71549760689171,I,6,1.1387625288396,3.71549760689171,
5,20,IV,7,4.3715848856898,3.49711160005269,IV,7,4.3715848856898,3.49711160005269,
5,21,V,7,2.41032759855684,4.18242292910738,I,7,2.43273629398905,4.18242292910738,0.0224086954322078
5,22,I,8,2.40876403559135,3.96779261343733,I,7,3.24346054723722,4.77449155895759,
5,23,IV,8,1.7644743985872,4.14725428461536,IV,8,2.47721886645533,4.55632985416026,
5,24,V,7,0.593616292443068,2.39571535282118,V,8,3.79272338781274,2.21117419003312,
5,25,I,9,0.981996972715392,3.27608564927647,I,8,1.69222406277931,3.84929793336682,
5,26,ii,9,5.23651587987172,3.69848272721554,ii,9,5.22643967983272,4.07048686956308,
,,,,,,,,,,
6,85,V,7,2.49479259436473,4.23400747698581,V,7,2.49479259436473,4.23400747698581,
6,86,I,6,1.17455004639064,3.72305932650134,I,6,1.17455004639064,3.72305932650134,
6,87,vi,9,5.20329895403865,4.68273987295421,vi,9,5.20329895403865,4.68273987295421,
6,88,IV,5,3.91200698545363,4.38159133256836,IV,5,3.91200698545363,4.38159133256836,
6,89,IV,5,3.88772279921345,4.63780710244409,IV,5,3.88772279921345,4.63780710244409,
6,90,V,5,2.66227715940206,4.61681067777944,-VI,5,2.69265969913777,4.61681067777944,0.0303825397357063
6,91,V,6,3.63737488145181,4.26873441384918,V,4,0.171374246027033,1.04298818213562,
6,92,V,5,3.65052010595606,4.82147650562526,V,7,4.69823325888192,4.18101291088222,
6,93,V,5,1.47224289318641,4.04685241092518,V,3,4.05281975507676,5.18195857872304,
6,94,r,6,3.25300736722028,4.75213612433279,r,4,3.12711251568492,4.90501689088896,
6,95,I,6,2.43165216097235,2.62142689947895,I,4,1.9359507098391,3.12947074591649,
,,,,,,,,,,
7,61,IV,4,5.79308233376245,3.30682234966818,IV,4,5.79308233376245,3.30682234966818,
7,62,V,3,3.60233578643069,5.14738305253462,V,3,3.60233578643069,5.14738305253462,
7,63,iii,4,4.57754121126574,4.91806733750443,iii,4,4.57754121126574,4.91806733750443,
7,64,vi,5,3.9919601755331,3.98634795409913,vi,5,3.9919601755331,3.98634795409913,
7,65,vi,4,4.3682377170961,4.77695538716534,vi,4,4.3682377170961,4.77695538716534,
7,66,-VII,4,5.53224076057198,4.98988192139464,-III,4,5.49630183549085,4.98988192139464,0.0359389250811271
7,67,IV,3,4.55084155719688,3.53978160648001,IV,4,4.26042247690356,4.35880917155561,
7,68,I,3,3.58137089828424,5.12005988504645,I,3,1.67618295196289,4.41686490224179,
7,69,V,4,4.72588318717285,5.12674126288594,V,4,4.53280893839608,4.89747788800716,
7,70,-VII,4,2.93499832156678,4.78161336933158,-VII,4,4.94541427080142,4.72760776427263,
7,71,IV,5,0.799136623558629,2.82402737999891,IV,4,2.02024452981038,4.06582463283702,
,,,,,,,,,,
8,25,I,9,0.981996972715392,3.27608564927647,I,9,0.981996972715392,3.27608564927647,
8,26,ii,9,5.23651587987172,3.69848272721554,ii,9,5.23651587987172,3.69848272721554,
8,27,iii,6,5.3678151376031,3.71069134207914,iii,6,5.3678151376031,3.71069134207914,
8,28,V,4,3.6244221439834,4.26242186552242,V,4,3.6244221439834,4.26242186552242,
8,29,vi,4,2.91254605682621,4.53929151866849,vi,4,2.91254605682621,4.53929151866849,
