Comparison,Row,Orig_Symbol,Orig_Order,Orig_IC,Orig_Entropy,Swap_Symbol,Swap_Order,Swap_IC,Swap_Entropy,Distance
1,9,IV,7,2.65748309141929,4.47024277014517,IV,7,2.65748309141929,4.47024277014517,
1,10,I,5,4.62202798247146,3.05459202464567,I,5,4.62202798247146,3.05459202464567,
1,11,I,4,4.34206841028805,4.23480309694565,I,4,4.34206841028805,4.23480309694565,
1,12,IV,4,4.11664811110724,5.07553614709789,IV,4,4.11664811110724,5.07553614709789,
1,13,-VII,5,4.07242798932005,5.10875432645848,-VII,5,4.07242798932005,5.10875432645848,
1,14,I,6,4.25134614752028,4.12253911672941,-III,6,4.2542909159812,4.12253911672941,0.00294476846092273
1,15,I,5,2.55417430650946,4.5392344011069,I,5,5.94193831073856,4.66165727043101,
1,16,IV,6,3.00564753735226,4.71303661438604,IV,3,4.93285151040251,4.76216601458613,
1,17,-VII,5,1.51524722645075,4.18526311486205,-VII,3,5.28441876412659,4.63385252636758,
1,18,I,5,4.13273709192608,4.14554935407603,I,3,4.05867973256474,5.18716289950375,
1,19,I,5,2.55417430650946,4.5392344011069,I,4,3.20950593599802,4.8717151169337,
,,,,,,,,,,
2,8,-VII,7,3.63528809146761,4.23889397450456,-VII,7,3.63528809146761,4.23889397450456,
2,9,IV,7,2.65748309141929,4.47024277014517,IV,7,2.65748309141929,4.47024277014517,
2,10,I,5,4.62202798247146,3.05459202464567,I,5,4.62202798247146,3.05459202464567,
2,11,I,4,4.34206841028805,4.23480309694565,I,4,4.34206841028805,4.23480309694565,
2,12,IV,4,4.11664811110724,5.07553614709789,IV,4,4.11664811110724,5.07553614709789,
2,13,-VII,5,4.07242798932005,5.10875432645848,V,5,4.07931217911944,5.10875432645848,0.00688418979939165
2,14,I,6,4.25134614752028,4.12253911672941,I,5,2.37100269268882,4.56977268946167,
2,15,I,5,2.55417430650946,4.5392344011069,I,6,2.63968394167685,4.8090554528864,
2,16,IV,6,3.00564753735226,4.71303661438604,IV,7,2.46211090243932,4.61522729423741,
2,17,-VII,5,1.51524722645075,4.18526311486205,-VII,8,5.27691785160685,4.0016251313022,
2,18,I,5,4.13273709192608,4.14554935407603,I,6,3.46171973013661,4.25891190407252,
,,,,,,,,,,
3,33,IV,6,1.55596169581446,4.38297116994889,IV,6,1.55596169581446,4.38297116994889,
3,34,I,7,1.35145787698578,4.02608185746101,I,7,1.35145787698578,4.02608185746101,
3,35,IV,8,1.56641139704076,4.28967774636509,IV,8,1.56641139704076,4.28967774636509,
3,36,i,10,6.46670373873302,4.34449478336461,i,10,6.46670373873302,4.34449478336461,
3,37,i,3,4.04542656796893,5.07660997171168,i,3,4.04542656796893,5.07660997171168,
3,38,-VII,3,4.23601053896818,5.00436626352279,iv,3,4.24501272008147,5.00436626352279,0.00900218111328943
3,39,IV,4,2.14515672087737,4.30231865178897,IV,4,4.9555529271553,4.82754257898578,
3,40,i,5,1.38116062860262,3.91789644416077,i,4,5.53342855322348,4.62192952223279,
3,41,i,5,0.396452498117082,2.0603484040667,i,3,4.02771219921955,5.05088104342392,
3,42,-VII,7,2.66914643730566,4.13437089743881,-VII,3,4.23601053896818,5.00436626352279,
3,43,IV,8,2.9931266687242,3.9222401538665,IV,4,2.14515672087737,4.30231865178897,
,,,,,,,,,,
4,31,IV,5,1.64551598045869,4.44700029114866,IV,5,1.64551598045869,4.44700029114866,
4,32,I,6,1.79302770329101,4.46862450618083,I,6,1.79302770329101,4.46862450618083,
4,33,IV,6,1.55596169581446,4.38297116994889,IV,6,1.55596169581446,4.38297116994889,
4,34,I,7,1.35145787698578,4.02608185746101,I,7,1.35145787698578,4.02608185746101,
4,35,IV,8,1.56641139704076,4.28967774636509,IV,8,1.56641139704076,4.28967774636509,
4,36,i,10,6.46670373873302,4.34449478336461,#ivo,10,6.47715662629543,4.34449478336461,0.0104528875624066
4,37,i,3,4.04542656796893,5.07660997171168,i,4,7.57391134478434,3.50136330228643,
4,38,-VII,3,4.23601053896818,5.00436626352279,-VII,1,5.16716271248685,5.44900615343481,
4,39,IV,4,2.14515672087737,4.30231865178897,IV,2,4.39217981353255,5.24633830433854,
4,40,i,5,1.38116062860262,3.91789644416077,i,3,4.13958255354276,5.05984633404188,
4,41,i,5,0.396452498117082,2.0603484040667,i,4,3.03239055453999,5.15646720678392,
,,,,,,,,,,
5,71,i,6,1.3962080168629,3.93187992029719,i,6,1.3962080168629,3.93187992029719,
5,72,IV,7,4.74630166685706,4.45720620706291,IV,7,4.74630166685706,4.45720620706291,
5,73,IV,4,0.674035065923914,2.84223912290945,IV,4,0.674035065923914,2.84223912290945,
5,74,I,6,2.80485211089092,4.31683566226352,I,6,2.80485211089092,4.31683566226352,
5,75,I,4,0.579443898374724,2.64444571869315,I,4,0.579443898374724,2.64444571869315,
5,76,-III,7,5.7871786907096,4.84451606860153,VI,7,5.76272657071327,4.84451606860153,0.0244521199963357
5,77,IV,5,3.95186435320385,4.88856128623299,IV,4,5.18759320478755,2.63489156609617,
5,78,IV,5,3.91788511301279,4.24089234448668,IV,4,5.09525047060428,4.44609413576894,
5,79,I,5,1.78679669057886,4.45419647565357,I,3,3.65545322918223,5.17844967746922,
5,80,I,5,1.16886283757456,3.79853726219735,I,4,3.85564820093904,4.74293639623822,
5,81,IV,5,4.53853125451294,4.06787906279943,IV,4,3.87615968396047,5.25252681914961,
,,,,,,,,,,
6,18,I,5,4.13273709192608,4.14554935407603,I,5,4.13273709192608,4.14554935407603,
6,19,I,5,2.55417430650946,4.5392344011069,I,5,2.55417430650946,4.5392344011069,
6,20,IV,6,3.00564753735226,4.71303661438604,IV,6,3.00564753735226,4.71303661438604,
