Comparison,Row,Orig_Symbol,Orig_Order,Orig_IC,Orig_Entropy,Swap_Symbol,Swap_Order,Swap_IC,Swap_Entropy,Distance
1,34,IV,5,1.28191691783087,3.71551067822404,IV,5,1.28191691783087,3.71551067822404,
1,35,IV,6,2.44025661905597,4.0492612899272,IV,6,2.44025661905597,4.0492612899272,
1,36,ii,7,2.42246508982099,4.0321782637783,ii,7,2.42246508982099,4.0321782637783,
1,37,V,5,0.546253121501849,2.41076024614993,V,5,0.546253121501849,2.41076024614993,
1,38,I,9,2.58203275251614,4.32787514895353,I,9,2.58203275251614,4.32787514895353,
1,39,III,5,6.04962687926794,5.03977081462768,v,5,6.0389476760193,5.03977081462768,0.010679203248638
1,40,vi,4,1.43201627595085,3.68873876718041,vi,4,6.45287178663722,4.87758356712887,
1,41,I,5,2.61459257176607,3.93146247615207,I,2,5.33037636163201,5.26569772324247,
1,42,IV,5,2.68583768987752,4.84861760706027,IV,2,3.58596961229013,5.22363801981595,
1,43,I,6,4.38138309900443,3.99765035738529,I,3,3.50872538167037,5.2030344598433,
1,44,vi,4,4.35192915351068,5.20488924170663,vi,4,4.35192915351068,5.20488924170663,
,,,,,,,,,,
2,34,IV,5,1.28191691783087,3.71551067822404,IV,5,1.28191691783087,3.71551067822404,
2,35,IV,6,2.44025661905597,4.0492612899272,IV,6,2.44025661905597,4.0492612899272,
2,36,ii,7,2.42246508982099,4.0321782637783,ii,7,2.42246508982099,4.0321782637783,
2,37,V,5,0.546253121501849,2.41076024614993,V,5,0.546253121501849,2.41076024614993,
2,38,I,9,2.58203275251614,4.32787514895353,I,9,2.58203275251614,4.32787514895353,
2,39,III,5,6.04962687926794,5.03977081462768,II,5,6.02691201144071,5.03977081462768,0.0227148678272249
2,40,vi,4,1.43201627595085,3.68873876718041,vi,4,6.83547413095455,4.65832576068843,
2,41,I,5,2.61459257176607,3.93146247615207,I,2,5.33689929615309,5.1865068861257,
2,42,IV,5,2.68583768987752,4.84861760706027,IV,2,3.58596961229013,5.22363801981595,
2,43,I,6,4.38138309900443,3.99765035738529,I,3,3.50872538167037,5.2030344598433,
2,44,vi,4,4.35192915351068,5.20488924170663,vi,4,4.35192915351068,5.20488924170663,
,,,,,,,,,,
3,34,IV,5,1.28191691783087,3.71551067822404,IV,5,1.28191691783087,3.71551067822404,
3,35,IV,6,2.44025661905597,4.0492612899272,IV,6,2.44025661905597,4.0492612899272,
3,36,ii,7,2.42246508982099,4.0321782637783,ii,7,2.42246508982099,4.0321782637783,
3,37,V,5,0.546253121501849,2.41076024614993,V,5,0.546253121501849,2.41076024614993,
3,38,I,9,2.58203275251614,4.32787514895353,I,9,2.58203275251614,4.32787514895353,
3,39,III,5,6.04962687926794,5.03977081462768,-III,5,6.02229304776331,5.03977081462768,0.027333831504631
3,40,vi,4,1.43201627595085,3.68873876718041,vi,3,6.53363302004441,5.1939589581792,
3,41,I,5,2.61459257176607,3.93146247615207,I,2,5.34339287087646,5.03553230479444,
3,42,IV,5,2.68583768987752,4.84861760706027,IV,2,3.58596961229013,5.22363801981595,
3,43,I,6,4.38138309900443,3.99765035738529,I,3,3.50872538167037,5.2030344598433,
3,44,vi,4,4.35192915351068,5.20488924170663,vi,4,4.35192915351068,5.20488924170663,
,,,,,,,,,,
4,34,IV,5,1.28191691783087,3.71551067822404,IV,5,1.28191691783087,3.71551067822404,
4,35,IV,6,2.44025661905597,4.0492612899272,IV,6,2.44025661905597,4.0492612899272,
4,36,ii,7,2.42246508982099,4.0321782637783,ii,7,2.42246508982099,4.0321782637783,
4,37,V,5,0.546253121501849,2.41076024614993,V,5,0.546253121501849,2.41076024614993,
4,38,I,9,2.58203275251614,4.32787514895353,I,9,2.58203275251614,4.32787514895353,
4,39,III,5,6.04962687926794,5.03977081462768,VI,5,6.00915108104021,5.03977081462768,0.0404757982277255
4,40,vi,4,1.43201627595085,3.68873876718041,vi,4,6.03081230386271,4.36463608992685,
4,41,I,5,2.61459257176607,3.93146247615207,I,3,5.66488066000418,4.69899163916014,
4,42,IV,5,2.68583768987752,4.84861760706027,IV,2,3.58596961229013,5.22363801981595,
4,43,I,6,4.38138309900443,3.99765035738529,I,3,3.50872538167037,5.2030344598433,
4,44,vi,4,4.35192915351068,5.20488924170663,vi,4,4.35192915351068,5.20488924170663,
,,,,,,,,,,
5,6,vi,4,3.50693340191484,4.27871673690657,vi,4,3.50693340191484,4.27871673690657,
5,7,I,4,3.62510222664709,4.60698841837886,I,4,3.62510222664709,4.60698841837886,
5,8,IV,4,1.93302206653153,4.52231622067748,IV,4,1.93302206653153,4.52231622067748,
5,9,I,5,4.09235974438754,4.50491338100884,I,5,4.09235974438754,4.50491338100884,
