Comparison,Row,Orig_Symbol,Orig_Order,Orig_IC,Orig_Entropy,Swap_Symbol,Swap_Order,Swap_IC,Swap_Entropy,Distance
1,56,IV,8,3.36099414512982,4.12961737551833,IV,8,3.36099414512982,4.12961737551833,
1,57,I,8,1.30219168913105,3.6853264451203,I,8,1.30219168913105,3.6853264451203,
1,58,V,9,3.89906897835262,4.16130069494675,V,9,3.89906897835262,4.16130069494675,
1,59,iii,6,4.95780636946229,4.48186179763324,iii,6,4.95780636946229,4.48186179763324,
1,60,vi,5,4.72537419987252,4.16395718054554,vi,5,4.72537419987252,4.16395718054554,
1,61,iii,3,5.02408434524596,5.06605201900199,v,3,5.03973346099286,5.06605201900199,0.0156491157469016
1,62,IV,3,3.586072914352,5.06635748731988,IV,3,3.97137521467231,4.63762679603013,
1,63,V,4,2.96577737640971,4.94302293091307,V,3,3.64782614654677,5.16620952280086,
1,64,I,5,3.64680548043131,4.37431830116973,I,4,4.73950979891623,4.56884438585093,
1,65,IV,5,4.50590147553312,5.18013035630914,IV,3,4.44981806190563,5.37538199446497,
1,66,I,5,2.50830488107543,4.49389364111781,I,4,2.94857097215911,4.76189788822481,
,,,,,,,,,,
2,7,I,5,1.83459535253259,4.45055548737113,I,5,1.83459535253259,4.45055548737113,
2,8,I,6,1.69281651956131,4.22245732835594,I,6,1.69281651956131,4.22245732835594,
2,9,I,7,3.39503752100509,4.60950620113929,I,7,3.39503752100509,4.60950620113929,
2,10,I,7,1.47962119003991,4.16878740277647,I,7,1.47962119003991,4.16878740277647,
2,11,I,8,2.38993437425558,4.62254475736763,I,8,2.38993437425558,4.62254475736763,
2,12,IV,9,5.00811667308732,3.69784109868044,-VII,9,4.95856990431421,3.69784109868044,0.0495467687731113
2,13,I,7,2.61339061008145,4.55966844245047,I,8,2.34048263102186,3.88678651634844,
2,14,I,8,1.53834048631666,4.06654847164288,I,8,3.21009179165071,3.77504008421736,
2,15,I,9,2.08890137208642,4.3847024838474,I,8,2.32708420202476,4.53637782092935,
2,16,IV,10,3.26870622120052,3.96034484838752,IV,8,4.34028327581291,4.22376684110052,
2,17,I,9,2.89828593934792,4.52081224677347,I,6,1.78850413375206,4.49825298274377,
,,,,,,,,,,
3,11,I,8,2.38993437425558,4.62254475736763,I,8,2.38993437425558,4.62254475736763,
3,12,IV,9,5.00811667308732,3.69784109868044,IV,9,5.00811667308732,3.69784109868044,
3,13,I,7,2.61339061008145,4.55966844245047,I,7,2.61339061008145,4.55966844245047,
3,14,I,8,1.53834048631666,4.06654847164288,I,8,1.53834048631666,4.06654847164288,
3,15,I,9,2.08890137208642,4.3847024838474,I,9,2.08890137208642,4.3847024838474,
3,16,IV,10,3.26870622120052,3.96034484838752,V,10,3.21397274051367,3.96034484838752,0.0547334806868478
3,17,I,9,2.89828593934792,4.52081224677347,I,9,3.39520368373851,4.05327063057982,
3,18,I,9,1.78001334777313,4.1645741343763,I,9,1.17020555232019,3.57269477161695,
3,19,IV,10,2.76750206783912,3.26784904850775,IV,10,2.96898875222353,3.51397440330306,
3,20,IV,10,1.21213198947611,3.50437948544813,IV,8,1.10927384007192,3.58664587615936,
3,21,IV,10,4.03207026880903,3.88817151947261,IV,9,4.38347934999696,3.26547677375242,
,,,,,,,,,,
4,19,IV,10,2.76750206783912,3.26784904850775,IV,10,2.76750206783912,3.26784904850775,
4,20,IV,10,1.21213198947611,3.50437948544813,IV,10,1.21213198947611,3.50437948544813,
4,21,IV,10,4.03207026880903,3.88817151947261,IV,10,4.03207026880903,3.88817151947261,
4,22,IV,7,2.53509823104853,3.56370783661806,IV,7,2.53509823104853,3.56370783661806,
4,23,I,7,2.98878265970921,4.75205590525695,I,7,2.98878265970921,4.75205590525695,
4,24,IV,8,3.89651547538126,4.62834857215928,V,8,3.95324911615453,4.62834857215928,0.0567336407732686
4,25,I,6,0.692170006601802,2.78847161901465,I,7,4.65397791302829,2.62952876846121,
4,26,I,9,1.46678391054206,3.81599088101743,I,6,2.96786340611819,4.94245955931721,
4,27,V,10,2.88324195462341,4.42666243021645,V,7,3.07918065720335,4.49435351381646,
4,28,V,9,1.41976800463961,3.70825053416409,V,8,2.68586581164789,4.35992637750543,
4,29,IV,7,1.15430740877477,3.58110937721396,IV,7,3.86105793177707,4.0304823907596,
,,,,,,,,,,
