Comparison,Row,Orig_Symbol,Orig_Order,Orig_IC,Orig_Entropy,Swap_Symbol,Swap_Order,Swap_IC,Swap_Entropy,Distance
1,24,i,4,5.07201705552356,4.5802827937518,i,4,5.07201705552356,4.5802827937518,
1,25,i,4,1.54954472141385,4.10315051325604,i,4,1.54954472141385,4.10315051325604,
1,26,-i,5,8.96097201593939,3.81629823324507,-i,5,8.96097201593939,3.81629823324507,
1,27,-i,0,6.71593189429401,5.10157046428372,-i,0,6.71593189429401,5.10157046428372,
1,28,IV,0,5.67845718887535,5.10157046428372,IV,0,5.67845718887535,5.10157046428372,
1,29,-III,1,5.28411077648376,5.15670737768207,-VI,1,5.28411077648376,5.15670737768207,0
1,30,-II,2,5.55095836134125,4.930611435113,-II,2,5.96514756554665,4.79823835544846,
1,31,-II,3,5.50786280559064,4.31070610917428,-II,2,5.35610146374904,4.79244828732712,
1,32,r,2,2.6915816302853,4.9006809801952,r,2,2.6915816302853,4.9006809801952,
1,33,i,2,4.07344206747233,2.74974023764709,i,2,4.07344206747233,2.74974023764709,
1,34,IV,2,4.37130664162377,4.13521055165104,IV,2,4.37130664162377,4.13521055165104,
,,,,,,,,,,
2,17,i,4,2.22336845137723,3.95073824470884,i,4,2.22336845137723,3.95073824470884,
2,18,iv,5,1.64402605243072,3.83492878294676,iv,5,1.64402605243072,3.83492878294676,
2,19,iv,6,1.46765367609717,3.78468095093188,iv,6,1.46765367609717,3.78468095093188,
2,20,i,7,1.65390445040464,3.90429341622432,i,7,1.65390445040464,3.90429341622432,
2,21,IV,8,6.39986715442386,3.39698236269803,IV,8,6.39986715442386,3.39698236269803,
2,22,IV,3,4.5284376530829,4.33470849539359,V,3,4.51000341415868,4.33470849539359,0.0184342389242289
2,23,IV,3,3.88104761994215,4.83507036750975,IV,3,4.84636945901639,4.56275454445491,
2,24,i,4,5.07201705552356,4.5802827937518,i,3,5.54661316630054,4.63188497511657,
2,25,i,4,1.54954472141385,4.10315051325604,i,3,2.54618845123333,4.69073967804827,
2,26,-i,5,8.96097201593939,3.81629823324507,-i,4,8.59742516830923,3.96244637386009,
2,27,-i,0,6.71593189429401,5.10157046428372,-i,0,6.71593189429401,5.10157046428372,
,,,,,,,,,,
3,60,i,4,2.22336845137723,3.95073824470884,i,4,2.22336845137723,3.95073824470884,
3,61,iv,5,1.64402605243072,3.83492878294676,iv,5,1.64402605243072,3.83492878294676,
3,62,iv,6,1.46765367609717,3.78468095093188,iv,6,1.46765367609717,3.78468095093188,
3,63,i,7,1.65390445040464,3.90429341622432,i,7,1.65390445040464,3.90429341622432,
3,64,IV,8,6.39986715442386,3.39698236269803,IV,8,6.39986715442386,3.39698236269803,
3,65,IV,3,4.5284376530829,4.33470849539359,V,3,4.51000341415868,4.33470849539359,0.0184342389242289
3,66,i,3,3.4569921188116,4.83507036750975,i,3,5.50490737408213,4.56275454445491,
3,67,i,4,2.30606120666688,4.13999722002813,i,3,3.29793653483357,4.78941095690225,
3,68,-i,5,8.91687819374335,3.91018488742307,-i,4,8.56020899469475,4.20038160464173,
3,69,-i,0,6.71593189429401,5.10157046428372,-i,0,6.71593189429401,5.10157046428372,
3,70,IV,0,5.67845718887535,5.10157046428372,IV,0,5.67845718887535,5.10157046428372,
,,,,,,,,,,
4,3,i,2,1.61127026952635,4.13521055165104,i,2,1.61127026952635,4.13521055165104,
4,4,i,3,1.36842711601579,3.85120252427281,i,3,1.36842711601579,3.85120252427281,
4,5,i,4,1.03695988379999,3.43174907347862,i,4,1.03695988379999,3.43174907347862,
4,6,i,5,1.5676756091702,3.98316754635947,i,5,1.5676756091702,3.98316754635947,
4,7,i,6,1.15440021279549,3.53405185086165,i,6,1.15440021279549,3.53405185086165,
4,8,-VII,7,4.08866945221781,3.82006503727763,iv,7,4.06201777454299,3.82006503727763,0.0266516776748214
4,9,-VII,8,1.51713133843946,3.75035062754078,-VII,8,3.55021339014923,3.85913743662043,
4,10,i,9,2.642083664111,3.36489713433487,i,6,2.16380304056052,3.04210980263968,
4,11,i,6,0.285977194349747,1.44109141839204,i,5,3.49994114531767,3.00730192305887,
4,12,-VII,10,1.8452793818132,3.1236770426724,-VII,5,4.59104659312223,3.96956897135086,
4,13,-VII,8,0.785315032826408,2.65188219042974,-VII,4,2.47016141390299,4.11821112885882,
,,,,,,,,,,
5,87,i,5,2.0521511025683,3.85486661284775,i,5,2.0521511025683,3.85486661284775,
5,88,-VII,6,1.56328173427223,3.62396247839456,-VII,6,1.56328173427223,3.62396247839456,
5,89,-VI,7,1.21754187858987,3.33615143409549,-VI,7,1.21754187858987,3.33615143409549,
5,90,-VII,8,1.38548674475978,3.69179216528543,-VII,8,1.38548674475978,3.69179216528543,
5,91,i,9,1.09985978173234,3.06356946789861,i,9,1.09985978173234,3.06356946789861,
