Comparison,Row,Orig_Symbol,Orig_Order,Orig_IC,Orig_Entropy,Swap_Symbol,Swap_Order,Swap_IC,Swap_Entropy,Distance
1,21,I,8,0.711846922900945,2.82704486414333,I,8,0.711846922900945,2.82704486414333,
1,22,V,10,2.34757846227406,3.8427608991089,V,10,2.34757846227406,3.8427608991089,
1,23,vi,10,4.04461349371326,4.01014041180727,vi,10,4.04461349371326,4.01014041180727,
1,24,iii,8,1.29497487109971,3.53995240195995,iii,8,1.29497487109971,3.53995240195995,
1,25,IV,8,3.35021060789626,2.89654735066233,IV,8,3.35021060789626,2.89654735066233,
1,26,I,6,3.14129733671584,4.58231380927145,IV,6,3.15380636993868,4.58231380927145,0.0125090332228384
1,27,r,5,4.21380024673528,3.45986731787807,r,5,3.91905624159188,4.02698648117946,
1,28,r,3,1.78197952218551,3.64072838776739,r,4,1.68970307983114,2.80080404047016,
1,29,I,4,2.38753000444104,2.56077194780628,I,4,2.06118352669153,3.15527763625837,
1,30,V,4,3.89814670037802,4.41855819415861,V,5,4.21725517185862,3.860288558719,
1,31,vi,4,2.89498222692448,4.03154991900344,vi,4,2.89498222692448,4.03154991900344,
,,,,,,,,,,
2,29,I,4,2.38753000444104,2.56077194780628,I,4,2.38753000444104,2.56077194780628,
2,30,V,4,3.89814670037802,4.41855819415861,V,4,3.89814670037802,4.41855819415861,
2,31,vi,4,2.89498222692448,4.03154991900344,vi,4,2.89498222692448,4.03154991900344,
2,32,iii,5,5.31226943934942,4.26879110221457,iii,5,5.31226943934942,4.26879110221457,
2,33,IV,4,3.22758087803082,5.00752101047027,IV,4,3.22758087803082,5.00752101047027,
2,34,I,5,3.48763476580176,4.85940465063266,IV,5,3.50639317166123,4.85940465063266,0.0187584058594696
2,35,r,5,4.21380024673528,3.45986731787807,r,5,3.91905624159188,4.02698648117946,
2,36,r,3,1.78197952218551,3.64072838776739,r,4,1.68970307983114,2.80080404047016,
2,37,IV,4,4.64740497801201,2.56077194780628,IV,4,3.75544809089112,3.15527763625837,
2,38,I,4,3.56972434868254,4.35814593308515,I,4,3.56972434868254,4.35814593308515,
2,39,V,4,3.40630395574531,4.92304676225624,V,4,3.40630395574531,4.92304676225624,
,,,,,,,,,,
3,5,I,4,1.34540135659816,4.04614247252156,I,4,1.34540135659816,4.04614247252156,
3,6,IV,5,4.64347675791111,4.61611798909578,IV,5,4.64347675791111,4.61611798909578,
3,7,I,5,2.90313766214185,4.82619443157504,I,5,2.90313766214185,4.82619443157504,
3,8,V,6,3.99491710482365,5.07725703648554,V,6,3.99491710482365,5.07725703648554,
3,9,I,7,2.09959126472148,4.2613882650031,I,7,2.09959126472148,4.2613882650031,
3,10,IV,8,3.34746155713583,4.85188238840315,I,8,3.32014619654789,4.85188238840315,0.027315360587941
3,11,I,9,1.83575050245614,4.03795405151304,I,9,2.12457635488706,4.22419852706771,
3,12,V,10,1.23976761583303,3.90268993920576,V,9,3.78662228952066,2.8015619285761,
3,13,I,10,0.121721211773004,0.754139616600011,I,7,0.352492397093395,1.7305253955679,
3,14,IV,10,1.13718795354357,3.36442988536211,IV,8,4.74844537674397,1.670179118584,
3,15,I,10,0.523675091541799,2.21439909324213,I,8,2.47435150807958,4.01087688813607,
,,,,,,,,,,
4,15,I,10,0.523675091541799,2.21439909324213,I,10,0.523675091541799,2.21439909324213,
4,16,V,10,1.23976761583303,3.90268993920576,V,10,1.23976761583303,3.90268993920576,
4,17,I,10,0.121721211773004,0.754139616600011,I,10,0.121721211773004,0.754139616600011,
4,18,V,10,3.20640899763279,3.36442988536211,V,10,3.20640899763279,3.36442988536211,
4,19,I,9,0.589717381347412,2.52346458325621,I,9,0.589717381347412,2.52346458325621,
4,20,V,10,2.60033030955992,4.49540791039615,IV,10,2.57268113494766,4.49540791039615,0.0276491746122618
4,21,I,8,0.711846922900945,2.82704486414333,I,7,0.270863287979356,1.38444136675676,
4,22,V,10,2.34757846227406,3.8427608991089,V,10,0.962527672436645,3.20318892799342,
4,23,vi,10,4.04461349371326,4.01014041180727,vi,9,4.17263674972911,2.32047792913568,
4,24,iii,8,1.29497487109971,3.53995240195995,iii,6,3.9631883457898,3.08324185490283,
4,25,IV,8,3.35021060789626,2.89654735066233,IV,6,1.3320312055603,3.8876923118522,
,,,,,,,,,,
5,85,I,10,0.523675091541799,2.21439909324213,I,10,0.523675091541799,2.21439909324213,
5,86,V,10,1.23976761583303,3.90268993920576,V,10,1.23976761583303,3.90268993920576,
5,87,I,10,0.121721211773004,0.754139616600011,I,10,0.121721211773004,0.754139616600011,
5,88,V,10,3.20640899763279,3.36442988536211,V,10,3.20640899763279,3.36442988536211,
5,89,I,9,0.589717381347412,2.52346458325621,I,9,0.589717381347412,2.52346458325621,
5,90,V,10,2.60033030955992,4.49540791039615,IV,10,2.57268113494766,4.49540791039615,0.0276491746122618
5,91,I,8,0.711846922900945,2.82704486414333,I,7,0.270863287979356,1.38444136675676,
5,92,-III,10,5.5601566505558,3.8427608991089,-III,10,6.51861006584527,3.20318892799342,
5,93,-VI,4,4.84120582530847,4.75112159198989,-VI,5,6.57686455438767,2.98929356373874,
5,94,V,4,4.94532789525282,4.63100575565249,V,3,4.64047716331846,5.1240382354214,
5,95,IV,3,4.80342183959326,4.9272637014598,IV,3,4.80342183959326,4.9272637014598,
,,,,,,,,,,
6,108,I,10,0.523675091541799,2.21439909324213,I,10,0.523675091541799,2.21439909324213,
6,109,V,10,1.23976761583303,3.90268993920576,V,10,1.23976761583303,3.90268993920576,
6,110,I,10,0.121721211773004,0.754139616600011,I,10,0.121721211773004,0.754139616600011,
6,111,V,10,3.20640899763279,3.36442988536211,V,10,3.20640899763279,3.36442988536211,
6,112,I,9,0.589717381347412,2.52346458325621,I,9,0.589717381347412,2.52346458325621,
6,113,V,10,2.60033030955992,4.49540791039615,IV,10,2.57268113494766,4.49540791039615,0.0276491746122618
6,114,I,8,0.711846922900945,2.82704486414333,I,7,0.270863287979356,1.38444136675676,
6,115,V,10,2.34757846227406,3.8427608991089,V,10,0.962527672436645,3.20318892799342,
6,116,I,10,1.5563097207321,4.01014041180727,I,9,0.544155622006147,2.32047792913568,
6,117,V,10,1.66276013684207,4.29993777170864,V,10,2.25321299966787,4.33255445692684,
6,118,I,10,1.65929666960062,4.02848954470961,I,10,0.756538664505949,2.92512448310821,
,,,,,,,,,,
7,91,I,8,0.711846922900945,2.82704486414333,I,8,0.711846922900945,2.82704486414333,
7,92,-III,10,5.5601566505558,3.8427608991089,-III,10,5.5601566505558,3.8427608991089,
7,93,-VI,4,4.84120582530847,4.75112159198989,-VI,4,4.84120582530847,4.75112159198989,
7,94,V,4,4.94532789525282,4.63100575565249,V,4,4.94532789525282,4.63100575565249,
7,95,IV,3,4.80342183959326,4.9272637014598,IV,3,4.80342183959326,4.9272637014598,
7,96,I,3,3.79974972675705,4.99895851720259,iii,3,3.85618724635567,4.99895851720259,0.0564375195986124
7,97,V,4,4.61725495199305,4.83919447820724,V,4,4.13264172998005,4.27563870351441,
7,98,I,4,3.11765132948214,4.80717938182879,I,4,4.04089759522323,4.77177100867374,
7,99,IV,5,3.5489477701887,5.0587186770578,IV,4,4.76909832161928,4.8493861498084,
7,100,I,6,2.33389966218155,4.27208739219631,I,4,3.8136791121451,4.90441368594168,
7,101,V,7,4.16964252763387,4.88144939342905,V,4,4.16955905274754,5.23330675327445,
,,,,,,,,,,
8,92,-III,10,5.5601566505558,3.8427608991089,-III,10,5.5601566505558,3.8427608991089,
8,93,-VI,4,4.84120582530847,4.75112159198989,-VI,4,4.84120582530847,4.75112159198989,
8,94,V,4,4.94532789525282,4.63100575565249,V,4,4.94532789525282,4.63100575565249,
8,95,IV,3,4.80342183959326,4.9272637014598,IV,3,4.80342183959326,4.9272637014598,
8,96,I,3,3.79974972675705,4.99895851720259,I,3,3.79974972675705,4.99895851720259,
8,97,V,4,4.61725495199305,4.83919447820724,vi,4,4.54135583368594,4.83919447820724,0.0758991183071078
8,98,I,4,3.11765132948214,4.80717938182879,I,4,3.35149068571658,4.60145186972004,
8,99,IV,5,3.5489477701887,5.0587186770578,IV,5,3.10662137999882,3.65512265835062,
8,100,I,6,2.33389966218155,4.27208739219631,I,5,1.92728678081037,4.47462548665814,
8,101,V,7,4.16964252763387,4.88144939342905,V,6,5.21488139389189,4.73058797560855,
8,102,I,7,2.09959126472148,4.2613882650031,I,4,3.25051248167317,4.88176414989252,
,,,,,,,,,,
9,18,V,10,3.20640899763279,3.36442988536211,V,10,3.20640899763279,3.36442988536211,
9,19,I,9,0.589717381347412,2.52346458325621,I,9,0.589717381347412,2.52346458325621,
9,20,V,10,2.60033030955992,4.49540791039615,V,10,2.60033030955992,4.49540791039615,
9,21,I,8,0.711846922900945,2.82704486414333,I,8,0.711846922900945,2.82704486414333,
9,22,V,10,2.34757846227406,3.8427608991089,V,10,2.34757846227406,3.8427608991089,
9,23,vi,10,4.04461349371326,4.01014041180727,V,10,4.12696802774736,4.01014041180727,0.0823545340341063
9,24,iii,8,1.29497487109971,3.53995240195995,iii,7,6.2228383849259,3.8145620888586,
9,25,IV,8,3.35021060789626,2.89654735066233,IV,4,4.07734901207463,4.83010007789265,
9,26,I,6,3.14129733671584,4.58231380927145,I,4,2.59682925031745,4.51472441656425,
9,27,r,5,4.21380024673528,3.45986731787807,r,5,3.84766129132742,4.11968500343115,
9,28,r,3,1.78197952218551,3.64072838776739,r,3,1.78197952218551,3.64072838776739,
,,,,,,,,,,
10,28,r,3,1.78197952218551,3.64072838776739,r,3,1.78197952218551,3.64072838776739,
10,29,I,4,2.38753000444104,2.56077194780628,I,4,2.38753000444104,2.56077194780628,
10,30,V,4,3.89814670037802,4.41855819415861,V,4,3.89814670037802,4.41855819415861,
10,31,vi,4,2.89498222692448,4.03154991900344,vi,4,2.89498222692448,4.03154991900344,
10,32,iii,5,5.31226943934942,4.26879110221457,iii,5,5.31226943934942,4.26879110221457,
10,33,IV,4,3.22758087803082,5.00752101047027,vi,4,3.14235888954775,5.00752101047027,0.0852219884830654
10,34,I,5,3.48763476580176,4.85940465063266,I,5,5.45543789807396,4.47546677757474,
10,35,r,5,4.21380024673528,3.45986731787807,r,3,3.19259202494203,4.94758526351037,
10,36,r,3,1.78197952218551,3.64072838776739,r,3,1.10776361984865,3.1764994052144,
10,37,IV,4,4.64740497801201,2.56077194780628,IV,4,4.44945874259206,2.80311977186671,
10,38,I,4,3.56972434868254,4.35814593308515,I,4,3.56972434868254,4.35814593308515,
,,,,,,,,,,
11,33,IV,4,3.22758087803082,5.00752101047027,IV,4,3.22758087803082,5.00752101047027,
11,34,I,5,3.48763476580176,4.85940465063266,I,5,3.48763476580176,4.85940465063266,
