Comparison,Row,Orig_Symbol,Orig_Order,Orig_IC,Orig_Entropy,Swap_Symbol,Swap_Order,Swap_IC,Swap_Entropy,Distance
1,82,IV,10,0.361584762165145,1.7435329190014,IV,10,0.361584762165145,1.7435329190014,
1,83,V,10,0.45868080849297,2.03613518841312,V,10,0.45868080849297,2.03613518841312,
1,84,I,10,0.481394553655155,2.17085717855778,I,10,0.481394553655155,2.17085717855778,
1,85,V,10,0.527827452387893,2.21189351140477,V,10,0.527827452387893,2.21189351140477,
1,86,IV,10,0.361584762165145,1.7435329190014,IV,10,0.361584762165145,1.7435329190014,
1,87,-VII,10,6.45467149825042,2.03613518841312,vi,10,6.46038061855111,2.03613518841312,0.00570912030068982
1,88,I,6,1.98584406074241,4.71392581113686,I,5,2.85524130472942,4.38135971744239,
1,89,-VII,6,5.02523538484796,3.79812282101138,-VII,5,6.36985879722952,3.75973591662871,
1,90,I,4,2.08957521603603,4.23909947027257,I,3,3.86933901969742,4.69128425721531,
1,91,-VI,5,4.65966029538567,4.85200613937902,-VI,3,4.70948331865699,5.19047559984443,
1,92,-VII,5,3.80424326875675,4.4969456046536,-VII,4,3.45771772897112,4.88220819085251,
,,,,,,,,,,
2,91,-VI,5,4.65966029538567,4.85200613937902,-VI,5,4.65966029538567,4.85200613937902,
2,92,-VII,5,3.80424326875675,4.4969456046536,-VII,5,3.80424326875675,4.4969456046536,
2,93,v,4,4.23693075868928,4.25054677186039,v,4,4.23693075868928,4.25054677186039,
2,94,I,4,2.42978272453397,4.72957710220746,I,4,2.42978272453397,4.72957710220746,
2,95,i,5,6.40536104793437,4.32062418314292,i,5,6.40536104793437,4.32062418314292,
2,96,-VII,3,5.34316829570289,4.89921572719671,I,3,5.32644737789015,4.89921572719671,0.0167209178127408
2,97,-VI,3,4.20291225588168,4.78219193369038,-VI,3,3.44247182037183,5.1772519268598,
2,98,-VII,3,3.56185375624532,4.91981735468112,-VII,4,3.70085318355004,4.30923587374563,
2,99,i,4,2.46992817003931,4.4453251818033,i,4,4.82117672269182,3.9447779001486,
2,100,-VII,5,3.09432107050917,4.64237900846773,-VII,3,3.50484111190535,4.8436074311352,
2,101,-VI,6,2.06081291419405,4.25919553676875,-VI,4,3.12714632012913,4.70013117789134,
,,,,,,,,,,
3,92,-VII,5,3.80424326875675,4.4969456046536,-VII,5,3.80424326875675,4.4969456046536,
3,93,v,4,4.23693075868928,4.25054677186039,v,4,4.23693075868928,4.25054677186039,
3,94,I,4,2.42978272453397,4.72957710220746,I,4,2.42978272453397,4.72957710220746,
3,95,i,5,6.40536104793437,4.32062418314292,i,5,6.40536104793437,4.32062418314292,
3,96,-VII,3,5.34316829570289,4.89921572719671,-VII,3,5.34316829570289,4.89921572719671,
3,97,-VI,3,4.20291225588168,4.78219193369038,i,3,4.22991772692733,4.78219193369038,0.027005471045654
3,98,-VII,3,3.56185375624532,4.91981735468112,-VII,3,2.66392785108778,4.69982399369828,
3,99,i,4,2.46992817003931,4.4453251818033,i,4,2.80581860541872,4.81015332492801,
3,100,-VII,5,3.09432107050917,4.64237900846773,-VII,5,2.11407654753325,4.34082713023974,
3,101,-VI,6,2.06081291419405,4.25919553676875,-VI,6,3.50327292674003,4.91255596827049,
3,102,-VII,7,1.97318318739775,4.2863162986531,-VII,7,2.37206732642678,4.5875028403596,
