"Row","Symbol","Order","Information_content","Entropy"
1,"r",0,2.53085509538171,5.47634857876957
2,"r",1,2.31056119997994,4.04662068322288
3,"r",2,1.85123749467927,3.69167488857668
4,"r",3,1.6022756991941,3.4971799084565
5,"r",4,1.61932294839933,3.52808904205392
6,"I",5,2.05954706400168,3.45334700564947
7,"IV",6,3.45106627506924,4.55652912289386
8,"I",7,0.949038246671898,3.30443460481496
9,"IV",8,2.08090343895368,4.22572415775393
10,"I",7,1.00348959937501,3.50201404972182
11,"IV",8,1.0894202812277,3.57866105114374
12,"I",8,0.655689144155402,2.75540032496202
13,"I",10,3.37535340006007,4.21334142205919
14,"V",9,3.44893921892991,4.66515450070156
15,"V",9,3.6061982302525,3.47057401043489
16,"IV",7,1.75579964535734,4.15935223539738
17,"V",8,3.61992926739949,4.27712010924961
18,"V",6,3.66167663671109,4.51398857215152
19,"I",6,2.16351159924476,4.35906144950673
20,"IV",7,2.66848700128385,3.98429500955785
21,"I",7,2.80186458219159,3.72490113052227
22,"IV",6,3.07796713878978,4.93871237359863
23,"I",7,0.882840126706029,3.27587819951419
24,"IV",8,0.946694193183464,3.32775834928615
25,"I",9,0.845527343483466,3.1074431297041
26,"iii",10,6.44532785994108,3.91298077458391
27,"iii",5,5.69735370798976,3.31357546189546
28,"iii",3,4.09351418826117,5.15326978366869
29,"iii",4,1.77059349320955,4.46360410311188
30,"V",5,4.24475161076389,4.19740133903351
31,"IV",4,5.86377745147755,4.19279222447669
32,"V",3,4.45999792267993,4.88960417989364
33,"I",3,3.61762816356003,5.17614345397013
34,"IV",4,4.05365620554576,5.25693437638937
35,"I",5,2.28824753120549,4.24260460632308
36,"I",6,2.89832201727771,4.76576276022602
37,"IV",7,2.82501347156045,4.71459394348624
38,"I",8,2.21902750562397,3.49422573873976
39,"I",8,2.75037417146228,4.64142644468298
40,"V",9,4.67907723611704,4.1338461150269
41,"V",6,2.7220612219079,4.46048446112153
42,"V",7,3.88431522302693,4.23489908994554
43,"IV",6,5.02408405321997,3.92960534994304
44,"V",5,3.25592612493921,4.26445750954187
45,"I",5,2.19678001969363,4.55622938544794
46,"I",6,2.94821278100371,4.76136286187578
47,"I",6,4.46198003965446,2.98354976893724
48,"IV",6,3.16005067981758,4.48671348930413
49,"I",7,2.81307821710395,4.07335245165002
50,"iii",7,4.14838952378886,4.63327678955659
51,"iii",5,5.69735370798976,3.31357546189546
52,"iii",3,4.09351418826117,5.15326978366869
53,"iii",4,1.77059349320955,4.46360410311188
54,"V",5,4.24475161076389,4.19740133903351
55,"IV",4,5.86377745147755,4.19279222447669
56,"V",3,4.45999792267993,4.88960417989364
57,"I",3,3.61762816356003,5.17614345397013
58,"IV",4,4.05365620554576,5.25693437638937
59,"I",5,2.28824753120549,4.24260460632308
60,"IV",6,2.81491753770573,4.76576276022602
61,"IV",7,3.83630997147346,4.46534146049145
62,"I",7,2.80211576885526,4.82618648224975
63,"I",8,1.57107921167829,3.93891348123355
64,"V",8,3.48943201098784,4.14204030342686
65,"IV",7,3.76504813759309,4.58052205895451
66,"V",7,2.7301928671787,4.2711498424063
67,"I",6,4.93715280503475,1.07734301501132
68,"I",6,2.59390467221116,4.89962297808784
69,"IV",7,2.48193607893342,4.56773068828071
70,"IV",7,1.77956572860665,4.26152542626864
71,"I",8,3.64780759297976,4.32610960597175
72,"I",7,1.66186069542702,4.0988796429445
