"swapped_idx","alphabet_idx","true_chord","true_ic","true_ent","swapped_chord","swapped_ic","swapped_ent","dist"
58,5,"IV",3.0330320844979,4.86199807188181,"I",3.07759959192705,4.86199807188181,0.0445675074291505
122,5,"IV",3.0330320844979,4.86199807188181,"I",3.07759959192705,4.86199807188181,0.0445675074291505
66,13,"I",2.13723489324605,4.00747530626569,"-VII",2.08558844591199,4.00747530626569,0.0516464473340599
130,13,"I",2.13723489324605,4.00747530626569,"-VII",2.08558844591199,4.00747530626569,0.0516464473340599
75,9,"I",2.30996820163938,4.34166995336733,"IV",2.24530956339453,4.34166995336733,0.0646586382448571
139,9,"I",2.30996820163938,4.34166995336733,"IV",2.24530956339453,4.34166995336733,0.0646586382448571
19,3,"-VII",6.22287417885301,3.33394367540204,"ii",6.30021094911176,3.33394367540204,0.0773367702587588
83,3,"-VII",6.22287417885301,3.33394367540204,"ii",6.30021094911176,3.33394367540204,0.0773367702587588
29,9,"I",3.15461824894387,4.86844649299363,"IV",3.23550366471193,4.86844649299363,0.0808854157680687
48,9,"I",3.15461824894387,4.86844649299363,"IV",3.23550366471193,4.86844649299363,0.0808854157680687
93,9,"I",3.15461824894387,4.86844649299363,"IV",3.23550366471193,4.86844649299363,0.0808854157680687
112,9,"I",3.15461824894387,4.86844649299363,"IV",3.23550366471193,4.86844649299363,0.0808854157680687
