"Comparison","Row","Orig_Symbol","Orig_Order","Orig_IC","Orig_Entropy","Swap_Symbol","Swap_Order","Swap_IC","Swap_Entropy","Distance"
1,48,"I",6,4.11780942711032,4.04413915722042,"I",6,4.11780942711032,4.04413915722042,
1,49,"iv",6,5.96974493687733,4.64299676364759,"iv",6,5.96974493687733,4.64299676364759,
1,50,"-VII",4,4.94838395702807,4.85507084677486,"-VII",4,4.94838395702807,4.85507084677486,
1,51,"iii",4,4.42487407667228,4.04409892186718,"iii",4,4.42487407667228,4.04409892186718,
1,52,"vi",2,6.07907476641044,3.05425874438315,"vi",2,6.07907476641044,3.05425874438315,
1,53,"V",2,4.59081345413954,5.28042503094991,"iii",2,4.59256607031891,5.28042503094991,0.00175261617936684
1,54,"V",3,3.33740067175919,4.90176252318473,"V",3,4.25717938419704,5.04679161730179,
1,55,"I",4,3.74320453132022,4.75264440435415,"I",4,4.66471551577429,4.57872371355071,
1,56,"vi",4,4.329296359768,5.04269435736791,"vi",3,5.38464819812326,5.23772977887379,
1,57,"I",5,4.07855096979885,4.59960756705196,"I",3,4.15559245856987,5.17323080217181,
1,58,"vi",5,2.04485797988752,4.22894844500605,"vi",4,2.30744733728103,4.47635195893078,
,,,,,,,,,,
2,29,"I",5,4.02440844886185,4.66602083702246,"I",5,4.02440844886185,4.66602083702246,
2,30,"vi",5,2.0714972276294,4.24353461660805,"vi",5,2.0714972276294,4.24353461660805,
2,31,"V",6,3.95746178151328,4.29401056363252,"V",6,3.95746178151328,4.29401056363252,
2,32,"I",6,2.47562003519166,4.35370966677302,"I",6,2.47562003519166,4.35370966677302,
2,33,"iii",5,6.61172294115709,4.10639796946718,"iii",5,6.61172294115709,4.10639796946718,
2,34,"vi",3,3.01184280301974,4.87330131350924,"IV",3,3.00525243619787,4.87330131350924,0.00659036682187253
2,35,"V",4,4.07431936273442,5.01732260719701,"V",4,3.42301024656229,5.03174603764416,
2,36,"I",5,5.37621291178561,3.48444236143089,"I",5,2.73191647140345,4.70716822586332,
2,37,"IV",3,3.67430397894387,5.1849731150322,"IV",6,3.91448133167931,5.10174528940195,
2,38,"IV",4,4.21233567311155,4.89547955100396,"IV",7,3.68564637657648,4.49557562318324,
2,39,"iii",4,4.55022114755022,5.01005654310145,"iii",5,4.04923534185496,4.78111763126839,
,,,,,,,,,,
3,57,"I",5,4.07855096979885,4.59960756705196,"I",5,4.07855096979885,4.59960756705196,
3,58,"vi",5,2.04485797988752,4.22894844500605,"vi",5,2.04485797988752,4.22894844500605,
3,59,"V",6,4.02047624608085,4.28753035692979,"V",6,4.02047624608085,4.28753035692979,
3,60,"I",6,2.47562003519166,4.35370966677302,"I",6,2.47562003519166,4.35370966677302,
3,61,"iii",5,6.61172294115709,4.10639796946718,"iii",5,6.61172294115709,4.10639796946718,
3,62,"vi",3,3.01184280301974,4.87330131350924,"IV",3,3.00525243619787,4.87330131350924,0.00659036682187253
3,63,"V",4,4.07431936273442,5.01732260719701,"V",4,3.42301024656229,5.03174603764416,
3,64,"I",5,5.37621291178561,3.48444236143089,"I",5,2.73191647140345,4.70716822586332,
3,65,"IV",3,3.67430397894387,5.1849731150322,"IV",6,3.91448133167931,5.10174528940195,
3,66,"IV",4,4.21233567311155,4.89547955100396,"IV",7,3.68564637657648,4.49557562318324,
3,67,"iii",4,4.55022114755022,5.01005654310145,"iii",5,4.04923534185496,4.78111763126839,
,,,,,,,,,,
4,75,"I",4,4.41702515974397,5.03959917929746,"I",4,4.41702515974397,5.03959917929746,
4,76,"vi",4,2.9539181129937,4.46802597754831,"vi",4,2.9539181129937,4.46802597754831,
4,77,"V",5,4.40434654111314,4.02885314136276,"V",5,4.40434654111314,4.02885314136276,
4,78,"I",5,2.99212178842132,4.64153749095898,"I",5,2.99212178842132,4.64153749095898,
4,79,"iii",5,6.61172294115709,4.10639796946718,"iii",5,6.61172294115709,4.10639796946718,
4,80,"vi",3,3.01184280301974,4.87330131350924,"IV",3,3.00525243619787,4.87330131350924,0.00659036682187253
4,81,"V",4,4.07431936273442,5.01732260719701,"V",4,3.42301024656229,5.03174603764416,
4,82,"I",5,5.37621291178561,3.48444236143089,"I",5,2.73191647140345,4.70716822586332,
4,83,"IV",3,3.67430397894387,5.1849731150322,"IV",6,3.91448133167931,5.10174528940195,
4,84,"IV",4,4.21233567311155,4.89547955100396,"IV",7,3.68564637657648,4.49557562318324,
4,85,"iii",4,4.55022114755022,5.01005654310145,"iii",5,4.04923534185496,4.78111763126839,
,,,,,,,,,,
5,93,"I",4,4.41702515974397,5.03959917929746,"I",4,4.41702515974397,5.03959917929746,
5,94,"vi",4,2.9539181129937,4.46802597754831,"vi",4,2.9539181129937,4.46802597754831,
5,95,"V",5,4.40434654111314,4.02885314136276,"V",5,4.40434654111314,4.02885314136276,
5,96,"I",5,2.99212178842132,4.64153749095898,"I",5,2.99212178842132,4.64153749095898,
5,97,"iii",5,6.61172294115709,4.10639796946718,"iii",5,6.61172294115709,4.10639796946718,
5,98,"vi",3,3.01184280301974,4.87330131350924,"IV",3,3.00525243619787,4.87330131350924,0.00659036682187253
5,99,"V",4,4.07431936273442,5.01732260719701,"V",4,3.42301024656229,5.03174603764416,
5,100,"I",5,5.37621291178561,3.48444236143089,"I",5,2.73191647140345,4.70716822586332,
5,101,"IV",3,3.67430397894387,5.1849731150322,"IV",6,3.91448133167931,5.10174528940195,
5,102,"IV",4,4.21233567311155,4.89547955100396,"IV",7,3.68564637657648,4.49557562318324,
5,103,"iii",4,4.55022114755022,5.01005654310145,"iii",5,4.04923534185496,4.78111763126839,
,,,,,,,,,,
6,28,"vi",5,4.62137914650052,5.20919016618925,"vi",5,4.62137914650052,5.20919016618925,
6,29,"I",5,4.02440844886185,4.66602083702246,"I",5,4.02440844886185,4.66602083702246,
6,30,"vi",5,2.0714972276294,4.24353461660805,"vi",5,2.0714972276294,4.24353461660805,
6,31,"V",6,3.95746178151328,4.29401056363252,"V",6,3.95746178151328,4.29401056363252,
6,32,"I",6,2.47562003519166,4.35370966677302,"I",6,2.47562003519166,4.35370966677302,
6,33,"iii",5,6.61172294115709,4.10639796946718,"-III",5,6.62475727704029,4.10639796946718,0.013034335883205
6,34,"vi",3,3.01184280301974,4.87330131350924,"vi",3,6.53363302004441,5.1939589581792,
6,35,"V",4,4.07431936273442,5.01732260719701,"V",2,5.31831933325361,5.03553230479444,
6,36,"I",5,5.37621291178561,3.48444236143089,"I",2,3.89249420147071,5.25658621626701,
6,37,"IV",3,3.67430397894387,5.1849731150322,"IV",3,3.67430397894387,5.1849731150322,
6,38,"IV",4,4.21233567311155,4.89547955100396,"IV",4,4.21233567311155,4.89547955100396,
,,,,,,,,,,
7,56,"vi",4,4.329296359768,5.04269435736791,"vi",4,4.329296359768,5.04269435736791,
7,57,"I",5,4.07855096979885,4.59960756705196,"I",5,4.07855096979885,4.59960756705196,
7,58,"vi",5,2.04485797988752,4.22894844500605,"vi",5,2.04485797988752,4.22894844500605,
7,59,"V",6,4.02047624608085,4.28753035692979,"V",6,4.02047624608085,4.28753035692979,
7,60,"I",6,2.47562003519166,4.35370966677302,"I",6,2.47562003519166,4.35370966677302,
7,61,"iii",5,6.61172294115709,4.10639796946718,"-III",5,6.62475727704029,4.10639796946718,0.013034335883205
7,62,"vi",3,3.01184280301974,4.87330131350924,"vi",3,6.53363302004441,5.1939589581792,
7,63,"V",4,4.07431936273442,5.01732260719701,"V",2,5.31831933325361,5.03553230479444,
7,64,"I",5,5.37621291178561,3.48444236143089,"I",2,3.89249420147071,5.25658621626701,
7,65,"IV",3,3.67430397894387,5.1849731150322,"IV",3,3.67430397894387,5.1849731150322,
7,66,"IV",4,4.21233567311155,4.89547955100396,"IV",4,4.21233567311155,4.89547955100396,
,,,,,,,,,,
8,74,"vi",4,5.0818165142834,4.97794969541571,"vi",4,5.0818165142834,4.97794969541571,
8,75,"I",4,4.41702515974397,5.03959917929746,"I",4,4.41702515974397,5.03959917929746,
8,76,"vi",4,2.9539181129937,4.46802597754831,"vi",4,2.9539181129937,4.46802597754831,
8,77,"V",5,4.40434654111314,4.02885314136276,"V",5,4.40434654111314,4.02885314136276,
8,78,"I",5,2.99212178842132,4.64153749095898,"I",5,2.99212178842132,4.64153749095898,
8,79,"iii",5,6.61172294115709,4.10639796946718,"-III",5,6.62475727704029,4.10639796946718,0.013034335883205
8,80,"vi",3,3.01184280301974,4.87330131350924,"vi",3,6.53363302004441,5.1939589581792,
8,81,"V",4,4.07431936273442,5.01732260719701,"V",2,5.31831933325361,5.03553230479444,
8,82,"I",5,5.37621291178561,3.48444236143089,"I",2,3.89249420147071,5.25658621626701,
8,83,"IV",3,3.67430397894387,5.1849731150322,"IV",3,3.67430397894387,5.1849731150322,
8,84,"IV",4,4.21233567311155,4.89547955100396,"IV",4,4.21233567311155,4.89547955100396,
,,,,,,,,,,
9,92,"vi",4,5.0818165142834,4.97794969541571,"vi",4,5.0818165142834,4.97794969541571,
9,93,"I",4,4.41702515974397,5.03959917929746,"I",4,4.41702515974397,5.03959917929746,
9,94,"vi",4,2.9539181129937,4.46802597754831,"vi",4,2.9539181129937,4.46802597754831,
9,95,"V",5,4.40434654111314,4.02885314136276,"V",5,4.40434654111314,4.02885314136276,
9,96,"I",5,2.99212178842132,4.64153749095898,"I",5,2.99212178842132,4.64153749095898,
9,97,"iii",5,6.61172294115709,4.10639796946718,"-III",5,6.62475727704029,4.10639796946718,0.013034335883205
9,98,"vi",3,3.01184280301974,4.87330131350924,"vi",3,6.53363302004441,5.1939589581792,
9,99,"V",4,4.07431936273442,5.01732260719701,"V",2,5.31831933325361,5.03553230479444,
9,100,"I",5,5.37621291178561,3.48444236143089,"I",2,3.89249420147071,5.25658621626701,
9,101,"IV",3,3.67430397894387,5.1849731150322,"IV",3,3.67430397894387,5.1849731150322,
9,102,"IV",4,4.21233567311155,4.89547955100396,"IV",4,4.21233567311155,4.89547955100396,
,,,,,,,,,,
10,20,"V",6,5.28165184080003,1.54027516703442,"V",6,5.28165184080003,1.54027516703442,
10,21,"iii",6,5.5257941425691,4.42247006964283,"iii",6,5.5257941425691,4.42247006964283,
10,22,"III",4,3.60027843315784,4.68562860098296,"III",4,3.60027843315784,4.68562860098296,
10,23,"I",4,5.86852483070562,2.65468609721266,"I",4,5.86852483070562,2.65468609721266,
10,24,"IV",3,4.5912156289155,4.98465653082902,"IV",3,4.5912156289155,4.98465653082902,
