"Comparison","Row","Orig_Symbol","Orig_Order","Orig_IC","Orig_Entropy","Swap_Symbol","Swap_Order","Swap_IC","Swap_Entropy","Distance"
1,76,"IV",9,0.6262051006748,2.48292280437437,"IV",9,0.6262051006748,2.48292280437437,
1,77,"ii",10,5.73327039456466,4.00993100303902,"ii",10,5.73327039456466,4.00993100303902,
1,78,"III",5,5.23522879441004,4.42616835168597,"III",5,5.23522879441004,4.42616835168597,
1,79,"vi",4,3.70458479859854,4.22411184721515,"vi",4,3.70458479859854,4.22411184721515,
1,80,"ii",3,4.33336809623961,5.05406867353031,"ii",3,4.33336809623961,5.05406867353031,
1,81,"vi",3,4.13912726118386,5.1885043779164,"IV",3,4.13739145663146,5.1885043779164,0.00173580455239986
1,82,"ii",4,3.02681564181206,4.16740205760472,"ii",4,4.42680717510858,4.35693035966452,
1,83,"iii",4,5.05890190857802,4.94894806152861,"iii",4,5.19165617034328,3.87821887261391,
1,84,"IV",3,2.33498260922035,4.15792433564089,"IV",3,2.74220036416824,4.25718807576671,
1,85,"V",4,2.02971119828839,4.45329064571633,"V",4,1.4875789695009,4.201005561831,
1,86,"I",5,2.49715777686822,4.52522557472737,"I",5,3.27042522219175,4.36392681169945,
,,,,,,,,,,
2,27,"I",5,4.52224312715629,4.04432989759581,"I",5,4.52224312715629,4.04432989759581,
2,28,"I",4,4.2821585991996,5.01332366554477,"I",4,4.2821585991996,5.01332366554477,
2,29,"vii",4,6.12997873266232,5.00524779294972,"vii",4,6.12997873266232,5.00524779294972,
2,30,"vi",3,3.20341126828128,3.53626618350114,"vi",3,3.20341126828128,3.53626618350114,
2,31,"ii",3,5.34892370589856,5.18757958145389,"ii",3,5.34892370589856,5.18757958145389,
2,32,"vi",2,4.26168190614576,5.30356792331845,"IV",2,4.25953677930424,5.30356792331845,0.00214512684151735
2,33,"ii",3,2.64659673769166,4.79769628042075,"ii",3,4.05201428907247,4.81573589098382,
2,34,"iii",4,5.05890190857802,4.94894806152861,"iii",4,5.19165617034328,3.87821887261391,
2,35,"IV",3,2.33498260922035,4.15792433564089,"IV",3,2.74220036416824,4.25718807576671,
2,36,"V",4,2.02971119828839,4.45329064571633,"V",4,1.4875789695009,4.201005561831,
2,37,"I",5,2.49715777686822,4.52522557472737,"I",5,3.27042522219175,4.36392681169945,
,,,,,,,,,,
3,76,"IV",9,0.6262051006748,2.48292280437437,"IV",9,0.6262051006748,2.48292280437437,
3,77,"ii",10,5.73327039456466,4.00993100303902,"ii",10,5.73327039456466,4.00993100303902,
3,78,"III",5,5.23522879441004,4.42616835168597,"III",5,5.23522879441004,4.42616835168597,
3,79,"vi",4,3.70458479859854,4.22411184721515,"vi",4,3.70458479859854,4.22411184721515,
3,80,"ii",3,4.33336809623961,5.05406867353031,"ii",3,4.33336809623961,5.05406867353031,
3,81,"vi",3,4.13912726118386,5.1885043779164,"I",3,4.14275848676061,5.1885043779164,0.0036312255767541
3,82,"ii",4,3.02681564181206,4.16740205760472,"ii",4,4.67764408046508,5.17893429078609,
3,83,"iii",4,5.05890190857802,4.94894806152861,"iii",4,4.19031314999092,4.66326443604494,
3,84,"IV",3,2.33498260922035,4.15792433564089,"IV",4,2.46702081451904,4.22617409100653,
3,85,"V",4,2.02971119828839,4.45329064571633,"V",5,2.58390602531148,4.04326212190968,
3,86,"I",5,2.49715777686822,4.52522557472737,"I",5,3.31286167677696,4.38197377117497,
,,,,,,,,,,
4,16,"ii",8,5.37884821730573,4.18371576529549,"ii",8,5.37884821730573,4.18371576529549,
4,17,"I",5,4.46409024422695,4.05119912818588,"I",5,4.46409024422695,4.05119912818588,
4,18,"I",4,4.2821585991996,5.01332366554477,"I",4,4.2821585991996,5.01332366554477,
4,19,"V",4,5.12240631577069,5.00524779294972,"V",4,5.12240631577069,5.00524779294972,
4,20,"I",4,3.93313165112124,4.8992730396842,"I",4,3.93313165112124,4.8992730396842,
4,21,"I",4,3.55711977001666,5.18935331474889,"V",4,3.56734310908153,5.18935331474889,0.0102233390648734
