"Row","Symbol","Order","Information_content","Entropy"
1,"r",0,1.93087282238195,5.10156016480016
2,"r",1,2.13121155807882,3.57907726440129
3,"ii",2,5.97276247271455,3.29641192106615
4,"V",3,1.93059636738912,4.22266344964208
5,"I",4,1.9688395324294,4.19467248488158
6,"V",5,4.77955533031182,4.61533209567285
7,"I",4,2.66378624711991,4.60239865436043
8,"V",5,3.26836592310404,4.75481572913419
9,"I",6,2.39503596009453,4.23089307604131
10,"I",7,3.20691035600447,4.34645374003081
11,"viio",7,7.91197568488411,3.74652166887331
12,"iii",3,8.37427519080945,2.62743752233277
13,"III",1,4.70318652043338,5.10808985926336
14,"vi",2,2.26048203254579,4.48829132060279
15,"vi",3,4.41109227896246,4.3438549675258
16,"vi",3,3.54908631861945,4.74624837642159
17,"vi",4,2.68681316368678,4.65021883532546
18,"vi",5,3.77117438191944,4.75003844478514
19,"II",5,4.29824252722322,4.79389752836263
20,"V",5,2.90435032078805,3.58366966345841
21,"iii",5,6.47034256998786,4.1687551091761
22,"-III+",3,8.11283576155566,4.36348038641518
23,"V",0,5.60582578233691,5.10156016480016
24,"-viio",1,6.75263228273797,5.15746381177777
25,"vi",2,6.98900921608202,3.85645439228813
26,"II",1,4.76284958940065,5.14857741735815
27,"r",2,2.74307732658175,4.78632206539123
28,"r",3,0.644715482019914,2.1205861818182
29,"ii",4,6.53333877260067,2.72583737754801
30,"V",3,1.93059636738912,4.22266344964208
31,"I",4,1.9688395324294,4.19467248488158
32,"V",5,4.77955533031182,4.61533209567285
33,"I",4,2.66378624711991,4.60239865436043
34,"V",5,3.26836592310404,4.75481572913419
35,"I",6,2.39503596009453,4.23089307604131
36,"I",7,3.20691035600447,4.34645374003081
37,"ii",7,5.11215595578905,3.74652166887331
38,"ii",5,4.07280967559931,3.00447186655419
39,"IV",5,3.30102464171297,4.37049399523505
40,"IV",6,2.64358767450672,3.28328904775299
41,"iii",6,5.56401713843024,4.41054184362008
42,"I",3,4.60631191702141,4.61177850147175
43,"IV",3,5.25190007398967,4.50609560338312
44,"IV",3,4.50730717800076,4.68656266159735
45,"I",3,3.95359778461886,4.96529287240605
46,"II",4,5.00936166944451,4.68018356344719
47,"I",5,4.03074188884572,3.68192354029833
48,"vi",4,5.83134472767496,3.84427034776504
49,"ii",3,4.5269627988436,4.44763255367434
50,"V",3,2.28742087314486,4.4412394814888
51,"I",4,2.77503648071809,4.69610393465323
52,"I",5,3.21551624702711,4.90406834521445
53,"IV",6,3.41181609725719,4.68477890987937
54,"iio",7,6.93702716342969,4.47850259614904
55,"I",3,0.585895631276603,2.51921954991025
56,"ii",3,6.97848713982673,2.56567281363785
57,"V",2,3.65633063898417,5.01203499033417
58,"I",3,2.96515330570053,4.7899445555004
59,"I",4,3.47047470422134,5.01550389503148
60,"IV",5,3.15636205062411,4.61830236173687
61,"IV",6,2.83398089978974,4.53907015522239
62,"iii",7,5.12010282281088,4.16823764713243
63,"I",5,5.42739262853686,3.62726703476856
64,"IV",3,5.25190007398967,4.50609560338312
65,"IV",3,4.50730717800076,4.68656266159735
66,"I",3,3.95359778461886,4.96529287240605
67,"II",4,5.00936166944451,4.68018356344719
68,"I",5,4.03074188884572,3.68192354029833
69,"vi",4,5.83134472767496,3.84427034776504
70,"I",3,2.96723171416787,4.44763255367434
71,"I",4,3.74192827365977,4.03445640561633
72,"IV",4,3.51531442630339,4.60114361876503
73,"iio",5,6.78544405582271,4.3136853303956
74,"I",3,0.585895631276603,2.51921954991025
75,"ii",3,6.97848713982673,2.56567281363785
76,"-VI",2,5.46943688310041,5.01203499033417
77,"I",3,6.00347242684909,3.58873343136429
78,"I",2,4.00972448210535,5.10294105296495
79,"r",3,2.64966095102674,5.0929292485866
80,"r",3,1.67870417350385,3.33876491619961
