"Row","Symbol","Order","Information_content","Entropy"
1,"r",0,2.53085509538171,5.47634857876957
2,"r",1,2.31056119997994,4.04662068322288
3,"r",2,1.85123749467927,3.69167488857668
4,"r",3,1.6022756991941,3.4971799084565
5,"r",4,1.61932294839933,3.52808904205392
6,"I",5,2.05954706400168,3.45334700564947
7,"I",6,2.06218272650971,4.56136885049228
8,"I",7,1.6391002047417,4.25060372392601
9,"I",7,0.198200046021276,1.18956429172123
10,"I",9,1.09152658629184,3.41814984544857
11,"vi",9,6.80881299403769,2.20565191226759
12,"IV",6,3.40248447884223,4.6564259777582
13,"V",7,1.25767476523857,3.57881232471196
14,"I",7,2.00866216397129,3.25789268345848
15,"vi",7,1.92810637915512,4.42148835002554
16,"IV",8,1.40929734914812,3.79584899771649
17,"V",9,1.09214836537359,3.39303729456807
18,"vi",10,4.5623258568998,3.57284289726187
19,"iii",9,4.77300973353832,4.18913453329262
20,"IV",4,0.808701853541932,3.16044560124228
21,"V",5,2.40378547798929,4.66454321446835
22,"V",6,3.62559633925162,4.7102579556025
23,"I",5,3.3827707924033,4.59512042240339
24,"IV",5,4.15385968180781,4.94130278854058
25,"I",5,2.27519540911324,4.37447587004513
26,"V",6,3.73347567835713,4.9335103821939
27,"I",7,2.59695540305361,4.4763874338886
28,"IV",8,3.33059784064992,4.24339946974029
29,"I",8,1.59174029756368,4.02969712303591
30,"V",9,3.98002271780059,4.63334597930916
31,"IV",9,3.41441967113759,3.49348145522768
32,"I",7,1.34835292553712,3.77658769794551
33,"ii",8,4.97028714602264,4.01248964639056
34,"I",5,4.62495620285364,2.39092478699209
35,"IV",5,3.98065564605022,4.73659272854944
36,"I",5,2.76117095858186,4.75025461224558
37,"ii",6,2.20203945184495,4.52631085737055
38,"I",7,3.12168478830534,4.84132063796053
39,"I",8,3.33741417121515,4.35231897126363
40,"r",7,4.45014023776308,3.10179128924938
41,"r",4,1.42672357437516,3.46490054355847
42,"I",4,1.76881494444358,3.32735428917072
43,"I",5,1.92200645768837,4.28071745529943
44,"I",6,1.75541672958552,4.4076697079261
45,"I",6,0.833946007821396,3.24145853673394
46,"I",8,1.17785495528395,3.60925470551824
47,"vi",8,5.95357065297334,3.47457595093437
48,"IV",6,3.40248447884223,4.6564259777582
49,"V",7,1.25767476523857,3.57881232471196
50,"I",7,2.00866216397129,3.25789268345848
51,"vi",7,1.92810637915512,4.42148835002554
52,"IV",8,1.40929734914812,3.79584899771649
53,"V",9,1.09214836537359,3.39303729456807
54,"vi",10,4.5623258568998,3.57284289726187
55,"iii",9,4.77300973353832,4.18913453329262
56,"IV",4,0.808701853541932,3.16044560124228
57,"V",5,2.40378547798929,4.66454321446835
58,"V",6,3.62559633925162,4.7102579556025
59,"I",5,3.3827707924033,4.59512042240339
60,"IV",5,4.15385968180781,4.94130278854058
61,"I",5,2.27519540911324,4.37447587004513
62,"V",6,3.73347567835713,4.9335103821939
63,"I",7,2.59695540305361,4.4763874338886
64,"IV",8,3.33059784064992,4.24339946974029
65,"I",8,1.59174029756368,4.02969712303591
66,"V",9,3.98002271780059,4.63334597930916
67,"IV",9,3.41441967113759,3.49348145522768
68,"I",7,1.34835292553712,3.77658769794551
69,"ii",8,4.97028714602264,4.01248964639056
70,"I",5,4.62495620285364,2.39092478699209
71,"IV",5,3.98065564605022,4.73659272854944
72,"I",5,2.76117095858186,4.75025461224558
73,"ii",6,2.20203945184495,4.52631085737055
74,"I",7,3.12168478830534,4.84132063796053
75,"I",8,3.33741417121515,4.35231897126363
76,"r",7,4.45014023776308,3.10179128924938
77,"r",4,1.42672357437516,3.46490054355847
78,"I",4,1.76881494444358,3.32735428917072
79,"I",5,1.92200645768837,4.28071745529943
80,"I",6,1.75541672958552,4.4076697079261
81,"I",6,0.833946007821396,3.24145853673394
82,"I",8,1.17785495528395,3.60925470551824
83,"I",8,0.952516152440123,3.47457595093437
84,"I",9,1.39080376662825,4.06095026658685
85,"I",10,1.01158987749043,3.60414917827823
86,"I",10,1.77007531575421,4.41842890939548
87,"IV",10,3.93676291814815,4.03857584286938
88,"I",10,2.99568948125275,3.48363095935971
89,"ii",10,3.04973807013029,3.50111977545693
90,"I",10,3.53213671372217,3.54167131918098
91,"IV",6,1.1676636154232,3.71790030966187
92,"I",7,3.55800859652792,3.73941838720623
93,"ii",7,1.2222537788174,3.73829569918995
94,"I",8,2.55766119082403,4.53358760959921
95,"IV",9,2.09135808512323,4.35231897126363
96,"I",10,1.82563964399836,4.05032984950088
97,"ii",7,0.547318816406508,2.42080048705744
98,"I",9,0.582634578962209,2.46862516794767
99,"r",10,3.9216925485185,3.85525846504046
100,"r",4,0.821125835191602,2.67642617175495
