"Comparison","Row","Orig_Symbol","Orig_Order","Orig_IC","Orig_Entropy","Swap_Symbol","Swap_Order","Swap_IC","Swap_Entropy","Distance"
1,5,"i",2,4.49511562780562,5.34432070279144,"i",2,4.49511562780562,5.34432070279144,
1,6,"i",3,2.68237451357196,4.78113330045436,"i",3,2.68237451357196,4.78113330045436,
1,7,"v",4,4.88402467319801,4.88612155090994,"v",4,4.88402467319801,4.88612155090994,
1,8,"-VII",4,6.36587437840469,4.30555533415729,"-VII",4,6.36587437840469,4.30555533415729,
1,9,"i",2,4.49511562780562,5.34432070279144,"i",2,4.49511562780562,5.34432070279144,
1,10,"v",3,4.79394842985687,4.78113330045436,"IV",3,4.77578204030713,4.78113330045436,0.0181663895497461
1,11,"iv",3,3.35570314635149,4.84386257883438,"iv",3,5.38931102410625,4.8307191843998,
1,12,"i",4,4.89724304193858,5.1393051441483,"i",3,3.7769115679202,5.161018556024,
1,13,"v",3,5.31300862230018,5.04470124337185,"v",4,5.86647239132338,4.1047262863751,
1,14,"-VII",3,6.01748482414773,4.56948728059065,"-VII",3,6.01748482414773,4.56948728059065,
1,15,"i",2,4.49511562780562,5.34432070279144,"i",2,4.49511562780562,5.34432070279144,
,,,,,,,,,,
2,19,"i",2,4.49511562780562,5.34432070279144,"i",2,4.49511562780562,5.34432070279144,
2,20,"i",3,2.68237451357196,4.78113330045436,"i",3,2.68237451357196,4.78113330045436,
2,21,"v",4,4.88402467319801,4.88612155090994,"v",4,4.88402467319801,4.88612155090994,
2,22,"-VII",4,6.36587437840469,4.30555533415729,"-VII",4,6.36587437840469,4.30555533415729,
2,23,"i",2,4.49511562780562,5.34432070279144,"i",2,4.49511562780562,5.34432070279144,
2,24,"v",3,4.79394842985687,4.78113330045436,"IV",3,4.77578204030713,4.78113330045436,0.0181663895497461
2,25,"iv",3,3.35570314635149,4.84386257883438,"iv",3,5.38931102410625,4.8307191843998,
2,26,"i",4,4.89724304193858,5.1393051441483,"i",3,3.7769115679202,5.161018556024,
2,27,"v",3,5.31300862230018,5.04470124337185,"v",4,5.86647239132338,4.1047262863751,
2,28,"-VII",3,6.01748482414773,4.56948728059065,"-VII",3,6.01748482414773,4.56948728059065,
2,29,"i",2,4.49511562780562,5.34432070279144,"i",2,4.49511562780562,5.34432070279144,
,,,,,,,,,,
3,43,"i",2,4.49511562780562,5.34432070279144,"i",2,4.49511562780562,5.34432070279144,
3,44,"i",3,2.68237451357196,4.78113330045436,"i",3,2.68237451357196,4.78113330045436,
3,45,"v",4,4.88402467319801,4.88612155090994,"v",4,4.88402467319801,4.88612155090994,
3,46,"-VII",4,6.36587437840469,4.30555533415729,"-VII",4,6.36587437840469,4.30555533415729,
3,47,"i",2,4.49511562780562,5.34432070279144,"i",2,4.49511562780562,5.34432070279144,
3,48,"v",3,4.79394842985687,4.78113330045436,"IV",3,4.77578204030713,4.78113330045436,0.0181663895497461
3,49,"iv",3,3.35570314635149,4.84386257883438,"iv",3,5.38931102410625,4.8307191843998,
3,50,"i",4,4.89724304193858,5.1393051441483,"i",3,3.7769115679202,5.161018556024,
3,51,"v",3,5.31300862230018,5.04470124337185,"v",4,5.86647239132338,4.1047262863751,
3,52,"-VII",3,6.01748482414773,4.56948728059065,"-VII",3,6.01748482414773,4.56948728059065,
3,53,"i",2,4.49511562780562,5.34432070279144,"i",2,4.49511562780562,5.34432070279144,
,,,,,,,,,,
4,7,"v",4,4.88402467319801,4.88612155090994,"v",4,4.88402467319801,4.88612155090994,
4,8,"-VII",4,6.36587437840469,4.30555533415729,"-VII",4,6.36587437840469,4.30555533415729,
4,9,"i",2,4.49511562780562,5.34432070279144,"i",2,4.49511562780562,5.34432070279144,
4,10,"v",3,4.79394842985687,4.78113330045436,"v",3,4.79394842985687,4.78113330045436,
4,11,"iv",3,3.35570314635149,4.84386257883438,"iv",3,3.35570314635149,4.84386257883438,
4,12,"i",4,4.89724304193858,5.1393051441483,"V",4,4.94111706423191,5.1393051441483,0.0438740222933252
4,13,"v",3,5.31300862230018,5.04470124337185,"v",3,6.16973904067005,5.04767481953666,
4,14,"-VII",3,6.01748482414773,4.56948728059065,"-VII",2,5.59735893066133,5.12397135112786,
4,15,"i",2,4.49511562780562,5.34432070279144,"i",2,4.49511562780562,5.34432070279144,
4,16,"i",3,2.68237451357196,4.78113330045436,"i",3,2.68237451357196,4.78113330045436,
4,17,"v",4,4.88402467319801,4.88612155090994,"v",4,4.88402467319801,4.88612155090994,
,,,,,,,,,,
5,21,"v",4,4.88402467319801,4.88612155090994,"v",4,4.88402467319801,4.88612155090994,
5,22,"-VII",4,6.36587437840469,4.30555533415729,"-VII",4,6.36587437840469,4.30555533415729,
5,23,"i",2,4.49511562780562,5.34432070279144,"i",2,4.49511562780562,5.34432070279144,
5,24,"v",3,4.79394842985687,4.78113330045436,"v",3,4.79394842985687,4.78113330045436,
5,25,"iv",3,3.35570314635149,4.84386257883438,"iv",3,3.35570314635149,4.84386257883438,
5,26,"i",4,4.89724304193858,5.1393051441483,"V",4,4.94111706423191,5.1393051441483,0.0438740222933252
5,27,"v",3,5.31300862230018,5.04470124337185,"v",3,6.16973904067005,5.04767481953666,
5,28,"-VII",3,6.01748482414773,4.56948728059065,"-VII",2,5.59735893066133,5.12397135112786,
5,29,"i",2,4.49511562780562,5.34432070279144,"i",2,4.49511562780562,5.34432070279144,
5,30,"r",3,3.25256093243937,4.78113330045436,"r",3,3.25256093243937,4.78113330045436,
5,31,"r",3,1.10925307126662,3.08041445158367,"r",3,1.10925307126662,3.08041445158367,
,,,,,,,,,,
6,45,"v",4,4.88402467319801,4.88612155090994,"v",4,4.88402467319801,4.88612155090994,
6,46,"-VII",4,6.36587437840469,4.30555533415729,"-VII",4,6.36587437840469,4.30555533415729,
6,47,"i",2,4.49511562780562,5.34432070279144,"i",2,4.49511562780562,5.34432070279144,
6,48,"v",3,4.79394842985687,4.78113330045436,"v",3,4.79394842985687,4.78113330045436,
6,49,"iv",3,3.35570314635149,4.84386257883438,"iv",3,3.35570314635149,4.84386257883438,
6,50,"i",4,4.89724304193858,5.1393051441483,"V",4,4.94111706423191,5.1393051441483,0.0438740222933252
6,51,"v",3,5.31300862230018,5.04470124337185,"v",3,6.16973904067005,5.04767481953666,
6,52,"-VII",3,6.01748482414773,4.56948728059065,"-VII",2,5.59735893066133,5.12397135112786,
6,53,"i",2,4.49511562780562,5.34432070279144,"i",2,4.49511562780562,5.34432070279144,
6,54,"i",3,2.68237451357196,4.78113330045436,"i",3,2.68237451357196,4.78113330045436,
6,55,"v",4,4.88402467319801,4.88612155090994,"v",4,4.88402467319801,4.88612155090994,
,,,,,,,,,,
7,5,"i",2,4.49511562780562,5.34432070279144,"i",2,4.49511562780562,5.34432070279144,
7,6,"i",3,2.68237451357196,4.78113330045436,"i",3,2.68237451357196,4.78113330045436,
7,7,"v",4,4.88402467319801,4.88612155090994,"v",4,4.88402467319801,4.88612155090994,
7,8,"-VII",4,6.36587437840469,4.30555533415729,"-VII",4,6.36587437840469,4.30555533415729,
7,9,"i",2,4.49511562780562,5.34432070279144,"i",2,4.49511562780562,5.34432070279144,
7,10,"v",3,4.79394842985687,4.78113330045436,"-III",3,4.74375650493984,4.78113330045436,0.0501919249170291
7,11,"iv",3,3.35570314635149,4.84386257883438,"iv",3,4.89412044693147,5.12133909776672,
7,12,"i",4,4.89724304193858,5.1393051441483,"i",3,4.18368560443578,5.22019587939999,
7,13,"v",3,5.31300862230018,5.04470124337185,"v",4,4.46282311695458,4.6145273426356,
7,14,"-VII",3,6.01748482414773,4.56948728059065,"-VII",3,6.32348255820929,3.99327864295582,
7,15,"i",2,4.49511562780562,5.34432070279144,"i",2,4.49511562780562,5.34432070279144,
,,,,,,,,,,
8,19,"i",2,4.49511562780562,5.34432070279144,"i",2,4.49511562780562,5.34432070279144,
8,20,"i",3,2.68237451357196,4.78113330045436,"i",3,2.68237451357196,4.78113330045436,
8,21,"v",4,4.88402467319801,4.88612155090994,"v",4,4.88402467319801,4.88612155090994,
8,22,"-VII",4,6.36587437840469,4.30555533415729,"-VII",4,6.36587437840469,4.30555533415729,
8,23,"i",2,4.49511562780562,5.34432070279144,"i",2,4.49511562780562,5.34432070279144,
8,24,"v",3,4.79394842985687,4.78113330045436,"-III",3,4.74375650493984,4.78113330045436,0.0501919249170291
8,25,"iv",3,3.35570314635149,4.84386257883438,"iv",3,4.89412044693147,5.12133909776672,
8,26,"i",4,4.89724304193858,5.1393051441483,"i",3,4.18368560443578,5.22019587939999,
8,27,"v",3,5.31300862230018,5.04470124337185,"v",4,4.46282311695458,4.6145273426356,
8,28,"-VII",3,6.01748482414773,4.56948728059065,"-VII",3,6.32348255820929,3.99327864295582,
8,29,"i",2,4.49511562780562,5.34432070279144,"i",2,4.49511562780562,5.34432070279144,
,,,,,,,,,,
9,43,"i",2,4.49511562780562,5.34432070279144,"i",2,4.49511562780562,5.34432070279144,
9,44,"i",3,2.68237451357196,4.78113330045436,"i",3,2.68237451357196,4.78113330045436,
9,45,"v",4,4.88402467319801,4.88612155090994,"v",4,4.88402467319801,4.88612155090994,
9,46,"-VII",4,6.36587437840469,4.30555533415729,"-VII",4,6.36587437840469,4.30555533415729,
9,47,"i",2,4.49511562780562,5.34432070279144,"i",2,4.49511562780562,5.34432070279144,
9,48,"v",3,4.79394842985687,4.78113330045436,"-III",3,4.74375650493984,4.78113330045436,0.0501919249170291
9,49,"iv",3,3.35570314635149,4.84386257883438,"iv",3,4.89412044693147,5.12133909776672,
9,50,"i",4,4.89724304193858,5.1393051441483,"i",3,4.18368560443578,5.22019587939999,
9,51,"v",3,5.31300862230018,5.04470124337185,"v",4,4.46282311695458,4.6145273426356,
9,52,"-VII",3,6.01748482414773,4.56948728059065,"-VII",3,6.32348255820929,3.99327864295582,
9,53,"i",2,4.49511562780562,5.34432070279144,"i",2,4.49511562780562,5.34432070279144,
,,,,,,,,,,
10,6,"i",3,2.68237451357196,4.78113330045436,"i",3,2.68237451357196,4.78113330045436,
10,7,"v",4,4.88402467319801,4.88612155090994,"v",4,4.88402467319801,4.88612155090994,
10,8,"-VII",4,6.36587437840469,4.30555533415729,"-VII",4,6.36587437840469,4.30555533415729,
10,9,"i",2,4.49511562780562,5.34432070279144,"i",2,4.49511562780562,5.34432070279144,
10,10,"v",3,4.79394842985687,4.78113330045436,"v",3,4.79394842985687,4.78113330045436,
10,11,"iv",3,3.35570314635149,4.84386257883438,"i",3,3.41288209250563,4.84386257883438,0.057178946154143
10,12,"i",4,4.89724304193858,5.1393051441483,"i",4,2.21725846116316,4.28216288024627,
10,13,"v",3,5.31300862230018,5.04470124337185,"v",5,5.73239318931292,4.21176931744412,
10,14,"-VII",3,6.01748482414773,4.56948728059065,"-VII",3,5.99801385934161,4.79759674970001,
10,15,"i",2,4.49511562780562,5.34432070279144,"i",2,4.49511562780562,5.34432070279144,
10,16,"i",3,2.68237451357196,4.78113330045436,"i",3,2.68237451357196,4.78113330045436,
,,,,,,,,,,
11,20,"i",3,2.68237451357196,4.78113330045436,"i",3,2.68237451357196,4.78113330045436,
